"level0","level1","level2","Highest qualification","count"
"Level 4 Certificate","East Coast Bays","North Island general electorates","Female",993
"Level 5 or Level 6 Diploma(1)","East Coast Bays","North Island general electorates","Female",2553
"Bachelor Degree and Level 7 Qualification","East Coast Bays","North Island general electorates","Female",4380
"Post-graduate and Honours Degrees","East Coast Bays","North Island general electorates","Female",915
"Masters Degree","East Coast Bays","North Island general electorates","Female",819
"Doctorate Degree","East Coast Bays","North Island general electorates","Female",135
"Overseas Secondary School Qualification","East Coast Bays","North Island general electorates","Female",3837
"Not Elsewhere Included(3)","East Coast Bays","North Island general electorates","Female",2055
"No Qualification","Epsom","North Island general electorates","Female",1770
"Level 1 Certificate","Epsom","North Island general electorates","Female",1821
"Level 2 Certificate","Epsom","North Island general electorates","Female",1959
"Level 3 Certificate","Epsom","North Island general electorates","Female",2550
"Level 4 Certificate","Epsom","North Island general electorates","Female",807
"Level 5 or Level 6 Diploma(1)","Epsom","North Island general electorates","Female",2589
"Bachelor Degree and Level 7 Qualification","Epsom","North Island general electorates","Female",6894
"Post-graduate and Honours Degrees","Epsom","North Island general electorates","Female",1506
"Masters Degree","Epsom","North Island general electorates","Female",1644
"Doctorate Degree","Epsom","North Island general electorates","Female",390
"Overseas Secondary School Qualification","Epsom","North Island general electorates","Female",2445
"Not Elsewhere Included(3)","Epsom","North Island general electorates","Female",2397
"No Qualification","Hamilton East","North Island general electorates","Female",4431
"Level 1 Certificate","Hamilton East","North Island general electorates","Female",3087
"Level 2 Certificate","Hamilton East","North Island general electorates","Female",2658
"Level 3 Certificate","Hamilton East","North Island general electorates","Female",3627
"Level 4 Certificate","Hamilton East","North Island general electorates","Female",1314
"Level 5 or Level 6 Diploma(1)","Hamilton East","North Island general electorates","Female",2571
"Bachelor Degree and Level 7 Qualification","Hamilton East","North Island general electorates","Female",5040
"Post-graduate and Honours Degrees","Hamilton East","North Island general electorates","Female",1029
"Masters Degree","Hamilton East","North Island general electorates","Female",1035
"Doctorate Degree","Hamilton East","North Island general electorates","Female",273
"Overseas Secondary School Qualification","Hamilton East","North Island general electorates","Female",1803
"Not Elsewhere Included(3)","Hamilton East","North Island general electorates","Female",3039
"No Qualification","Hamilton West","North Island general electorates","Female",5607
"Level 1 Certificate","Hamilton West","North Island general electorates","Female",3624
"Level 2 Certificate","Hamilton West","North Island general electorates","Female",2907
"Level 3 Certificate","Hamilton West","North Island general electorates","Female",2817
"Level 4 Certificate","Hamilton West","North Island general electorates","Female",1611
"Level 5 or Level 6 Diploma(1)","Hamilton West","North Island general electorates","Female",2535
"Bachelor Degree and Level 7 Qualification","Hamilton West","North Island general electorates","Female",4164
"Post-graduate and Honours Degrees","Hamilton West","North Island general electorates","Female",777
"Masters Degree","Hamilton West","North Island general electorates","Female",624
"Doctorate Degree","Hamilton West","North Island general electorates","Female",90
"Overseas Secondary School Qualification","Hamilton West","North Island general electorates","Female",1431
"Not Elsewhere Included(3)","Hamilton West","North Island general electorates","Female",2967
"No Qualification","Helensville","North Island general electorates","Female",3120
"Level 1 Certificate","Helensville","North Island general electorates","Female",3216
"Level 2 Certificate","Helensville","North Island general electorates","Female",2739
"Level 3 Certificate","Helensville","North Island general electorates","Female",2163
"Level 4 Certificate","Helensville","North Island general electorates","Female",1170
"Level 5 or Level 6 Diploma(1)","Helensville","North Island general electorates","Female",2460
"Bachelor Degree and Level 7 Qualification","Helensville","North Island general electorates","Female",3534
"Post-graduate and Honours Degrees","Helensville","North Island general electorates","Female",918
"Masters Degree","Helensville","North Island general electorates","Female",672
"Doctorate Degree","Helensville","North Island general electorates","Female",144
"Overseas Secondary School Qualification","Helensville","North Island general electorates","Female",1557
"Not Elsewhere Included(3)","Helensville","North Island general electorates","Female",2271
"No Qualification","Hunua","North Island general electorates","Female",4821
"Level 1 Certificate","Hunua","North Island general electorates","Female",3600
"Level 2 Certificate","Hunua","North Island general electorates","Female",2853
"Level 3 Certificate","Hunua","North Island general electorates","Female",1905
"Level 4 Certificate","Hunua","North Island general electorates","Female",1266
"Level 5 or Level 6 Diploma(1)","Hunua","North Island general electorates","Female",2511
"Bachelor Degree and Level 7 Qualification","Hunua","North Island general electorates","Female",3141
"Post-graduate and Honours Degrees","Hunua","North Island general electorates","Female",666
"Masters Degree","Hunua","North Island general electorates","Female",420
"Doctorate Degree","Hunua","North Island general electorates","Female",57
"Overseas Secondary School Qualification","Hunua","North Island general electorates","Female",1878
"Not Elsewhere Included(3)","Hunua","North Island general electorates","Female",2550
"No Qualification","Hutt South","North Island general electorates","Female",4635
"Level 1 Certificate","Hutt South","North Island general electorates","Female",3447
"Level 2 Certificate","Hutt South","North Island general electorates","Female",3084
"Level 3 Certificate","Hutt South","North Island general electorates","Female",2595
"Level 4 Certificate","Hutt South","North Island general electorates","Female",1431
"Level 5 or Level 6 Diploma(1)","Hutt South","North Island general electorates","Female",2541
"Bachelor Degree and Level 7 Qualification","Hutt South","North Island general electorates","Female",4392
"Post-graduate and Honours Degrees","Hutt South","North Island general electorates","Female",1047
"Masters Degree","Hutt South","North Island general electorates","Female",939
"Doctorate Degree","Hutt South","North Island general electorates","Female",189
"Overseas Secondary School Qualification","Hutt South","North Island general electorates","Female",1581
"Not Elsewhere Included(3)","Hutt South","North Island general electorates","Female",2634
"No Qualification","Kelston","North Island general electorates","Female",4644
"Level 1 Certificate","Kelston","North Island general electorates","Female",2826
"Level 2 Certificate","Kelston","North Island general electorates","Female",2259
"Level 3 Certificate","Kelston","North Island general electorates","Female",2541
"Level 4 Certificate","Kelston","North Island general electorates","Female",1107
"Level 5 or Level 6 Diploma(1)","Kelston","North Island general electorates","Female",1968
"Bachelor Degree and Level 7 Qualification","Kelston","North Island general electorates","Female",3378
"Post-graduate and Honours Degrees","Kelston","North Island general electorates","Female",600
"Masters Degree","Kelston","North Island general electorates","Female",648
"Doctorate Degree","Kelston","North Island general electorates","Female",78
"Overseas Secondary School Qualification","Kelston","North Island general electorates","Female",2241
"Not Elsewhere Included(3)","Kelston","North Island general electorates","Female",3348
"No Qualification","Mana","North Island general electorates","Female",4686
"Level 1 Certificate","Mana","North Island general electorates","Female",3507
"Level 2 Certificate","Mana","North Island general electorates","Female",3006
"Level 3 Certificate","Mana","North Island general electorates","Female",2475
"Level 4 Certificate","Mana","North Island general electorates","Female",1341
"Level 5 or Level 6 Diploma(1)","Mana","North Island general electorates","Female",2496
"Bachelor Degree and Level 7 Qualification","Mana","North Island general electorates","Female",3873
"Post-graduate and Honours Degrees","Mana","North Island general electorates","Female",942
"Masters Degree","Mana","North Island general electorates","Female",789
"Doctorate Degree","Mana","North Island general electorates","Female",120
"Overseas Secondary School Qualification","Mana","North Island general electorates","Female",1437
"Not Elsewhere Included(3)","Mana","North Island general electorates","Female",3144
"No Qualification","Mangere","North Island general electorates","Female",5772
"Level 1 Certificate","Mangere","North Island general electorates","Female",2535
"Level 2 Certificate","Mangere","North Island general electorates","Female",2268
"Level 3 Certificate","Mangere","North Island general electorates","Female",2796
"Level 4 Certificate","Mangere","North Island general electorates","Female",1017
"Level 5 or Level 6 Diploma(1)","Mangere","North Island general electorates","Female",1521
"Bachelor Degree and Level 7 Qualification","Mangere","North Island general electorates","Female",1701
"Post-graduate and Honours Degrees","Mangere","North Island general electorates","Female",258
"Masters Degree","Mangere","North Island general electorates","Female",222
"Doctorate Degree","Mangere","North Island general electorates","Female",24
"Overseas Secondary School Qualification","Mangere","North Island general electorates","Female",2118
"Not Elsewhere Included(3)","Mangere","North Island general electorates","Female",4524
"No Qualification","Manukau East","North Island general electorates","Female",5865
"Level 1 Certificate","Manukau East","North Island general electorates","Female",2433
"Level 2 Certificate","Manukau East","North Island general electorates","Female",1905
"Level 3 Certificate","Manukau East","North Island general electorates","Female",2532
"Level 4 Certificate","Manukau East","North Island general electorates","Female",1032
"Level 5 or Level 6 Diploma(1)","Manukau East","North Island general electorates","Female",1668
"Bachelor Degree and Level 7 Qualification","Manukau East","North Island general electorates","Female",1944
"Post-graduate and Honours Degrees","Manukau East","North Island general electorates","Female",300
"Masters Degree","Manukau East","North Island general electorates","Female",300
"Doctorate Degree","Manukau East","North Island general electorates","Female",21
"Overseas Secondary School Qualification","Manukau East","North Island general electorates","Female",2760
"Not Elsewhere Included(3)","Manukau East","North Island general electorates","Female",4407
"No Qualification","Manurewa","North Island general electorates","Female",6561
"Level 1 Certificate","Manurewa","North Island general electorates","Female",3135
"Level 2 Certificate","Manurewa","North Island general electorates","Female",2352
"Level 3 Certificate","Manurewa","North Island general electorates","Female",2787
"Level 4 Certificate","Manurewa","North Island general electorates","Female",1185
"Level 5 or Level 6 Diploma(1)","Manurewa","North Island general electorates","Female",1788
"Bachelor Degree and Level 7 Qualification","Manurewa","North Island general electorates","Female",2226
"Post-graduate and Honours Degrees","Manurewa","North Island general electorates","Female",315
"Masters Degree","Manurewa","North Island general electorates","Female",285
"Doctorate Degree","Manurewa","North Island general electorates","Female",24
"Overseas Secondary School Qualification","Manurewa","North Island general electorates","Female",2373
"Not Elsewhere Included(3)","Manurewa","North Island general electorates","Female",4884
"No Qualification","Maungakiekie","North Island general electorates","Female",4272
"Level 1 Certificate","Maungakiekie","North Island general electorates","Female",2403
"Level 2 Certificate","Maungakiekie","North Island general electorates","Female",2133
"Level 3 Certificate","Maungakiekie","North Island general electorates","Female",2574
"Level 4 Certificate","Maungakiekie","North Island general electorates","Female",1089
"Level 5 or Level 6 Diploma(1)","Maungakiekie","North Island general electorates","Female",2334
"Bachelor Degree and Level 7 Qualification","Maungakiekie","North Island general electorates","Female",5079
"Post-graduate and Honours Degrees","Maungakiekie","North Island general electorates","Female",1116
"Masters Degree","Maungakiekie","North Island general electorates","Female",960
"Doctorate Degree","Maungakiekie","North Island general electorates","Female",135
"Overseas Secondary School Qualification","Maungakiekie","North Island general electorates","Female",2526
"Not Elsewhere Included(3)","Maungakiekie","North Island general electorates","Female",3552
"No Qualification","Mt Albert","North Island general electorates","Female",2256
"Level 1 Certificate","Mt Albert","North Island general electorates","Female",1716
"Level 2 Certificate","Mt Albert","North Island general electorates","Female",2025
"Level 3 Certificate","Mt Albert","North Island general electorates","Female",2583
"Level 4 Certificate","Mt Albert","North Island general electorates","Female",897
"Level 5 or Level 6 Diploma(1)","Mt Albert","North Island general electorates","Female",2352
"Bachelor Degree and Level 7 Qualification","Mt Albert","North Island general electorates","Female",6864
"Post-graduate and Honours Degrees","Mt Albert","North Island general electorates","Female",1635
"Masters Degree","Mt Albert","North Island general electorates","Female",1644
"Doctorate Degree","Mt Albert","North Island general electorates","Female",291
"Overseas Secondary School Qualification","Mt Albert","North Island general electorates","Female",1836
"Not Elsewhere Included(3)","Mt Albert","North Island general electorates","Female",2616
"No Qualification","Mt Roskill","North Island general electorates","Female",3420
"Level 1 Certificate","Mt Roskill","North Island general electorates","Female",2082
"Level 2 Certificate","Mt Roskill","North Island general electorates","Female",1899
"Level 3 Certificate","Mt Roskill","North Island general electorates","Female",2535
"Level 4 Certificate","Mt Roskill","North Island general electorates","Female",879
"Level 5 or Level 6 Diploma(1)","Mt Roskill","North Island general electorates","Female",2232
"Bachelor Degree and Level 7 Qualification","Mt Roskill","North Island general electorates","Female",5124
"Post-graduate and Honours Degrees","Mt Roskill","North Island general electorates","Female",960
"Masters Degree","Mt Roskill","North Island general electorates","Female",1173
"Doctorate Degree","Mt Roskill","North Island general electorates","Female",159
"Overseas Secondary School Qualification","Mt Roskill","North Island general electorates","Female",2859
"Not Elsewhere Included(3)","Mt Roskill","North Island general electorates","Female",2670
"No Qualification","Napier","North Island general electorates","Female",6777
"Level 1 Certificate","Napier","North Island general electorates","Female",4425
"Level 2 Certificate","Napier","North Island general electorates","Female",3255
"Level 3 Certificate","Napier","North Island general electorates","Female",2094
"Level 4 Certificate","Napier","North Island general electorates","Female",1587
"Level 5 or Level 6 Diploma(1)","Napier","North Island general electorates","Female",3009
"Bachelor Degree and Level 7 Qualification","Napier","North Island general electorates","Female",3006
"Post-graduate and Honours Degrees","Napier","North Island general electorates","Female",573
"Masters Degree","Napier","North Island general electorates","Female",384
"Doctorate Degree","Napier","North Island general electorates","Female",51
"Overseas Secondary School Qualification","Napier","North Island general electorates","Female",1050
"Not Elsewhere Included(3)","Napier","North Island general electorates","Female",3339
"No Qualification","New Lynn","North Island general electorates","Female",3927
"Level 1 Certificate","New Lynn","North Island general electorates","Female",2343
"Level 2 Certificate","New Lynn","North Island general electorates","Female",2037
"Level 3 Certificate","New Lynn","North Island general electorates","Female",2349
"Level 4 Certificate","New Lynn","North Island general electorates","Female",855
"Level 5 or Level 6 Diploma(1)","New Lynn","North Island general electorates","Female",2196
"Bachelor Degree and Level 7 Qualification","New Lynn","North Island general electorates","Female",4326
"Post-graduate and Honours Degrees","New Lynn","North Island general electorates","Female",774
"Masters Degree","New Lynn","North Island general electorates","Female",972
"Doctorate Degree","New Lynn","North Island general electorates","Female",120
"Overseas Secondary School Qualification","New Lynn","North Island general electorates","Female",2895
"Not Elsewhere Included(3)","New Lynn","North Island general electorates","Female",2940
"No Qualification","New Plymouth","North Island general electorates","Female",6267
"Level 1 Certificate","New Plymouth","North Island general electorates","Female",4323
"Level 2 Certificate","New Plymouth","North Island general electorates","Female",3090
"Level 3 Certificate","New Plymouth","North Island general electorates","Female",2016
"Level 4 Certificate","New Plymouth","North Island general electorates","Female",1566
"Level 5 or Level 6 Diploma(1)","New Plymouth","North Island general electorates","Female",2838
"Bachelor Degree and Level 7 Qualification","New Plymouth","North Island general electorates","Female",3000
"Post-graduate and Honours Degrees","New Plymouth","North Island general electorates","Female",657
"Masters Degree","New Plymouth","North Island general electorates","Female",381
"Doctorate Degree","New Plymouth","North Island general electorates","Female",48
"Overseas Secondary School Qualification","New Plymouth","North Island general electorates","Female",1116
"Not Elsewhere Included(3)","New Plymouth","North Island general electorates","Female",3339
"No Qualification","North Shore","North Island general electorates","Female",2604
"Level 1 Certificate","North Shore","North Island general electorates","Female",2736
"Level 2 Certificate","North Shore","North Island general electorates","Female",2496
"Level 3 Certificate","North Shore","North Island general electorates","Female",2634
"Level 4 Certificate","North Shore","North Island general electorates","Female",1035
"Level 5 or Level 6 Diploma(1)","North Shore","North Island general electorates","Female",3051
"Bachelor Degree and Level 7 Qualification","North Shore","North Island general electorates","Female",5640
"Post-graduate and Honours Degrees","North Shore","North Island general electorates","Female",1212
"Masters Degree","North Shore","North Island general electorates","Female",1233
"Doctorate Degree","North Shore","North Island general electorates","Female",219
"Overseas Secondary School Qualification","North Shore","North Island general electorates","Female",2796
"Not Elsewhere Included(3)","North Shore","North Island general electorates","Female",1962
"No Qualification","Northcote","North Island general electorates","Female",3204
"Level 1 Certificate","Northcote","North Island general electorates","Female",2505
"Level 2 Certificate","Northcote","North Island general electorates","Female",2262
"Level 3 Certificate","Northcote","North Island general electorates","Female",2679
"Level 4 Certificate","Northcote","North Island general electorates","Female",1119
"Level 5 or Level 6 Diploma(1)","Northcote","North Island general electorates","Female",2631
"Bachelor Degree and Level 7 Qualification","Northcote","North Island general electorates","Female",5289
"Post-graduate and Honours Degrees","Northcote","North Island general electorates","Female",1011
"Masters Degree","Northcote","North Island general electorates","Female",978
"Doctorate Degree","Northcote","North Island general electorates","Female",144
"Overseas Secondary School Qualification","Northcote","North Island general electorates","Female",2841
"Not Elsewhere Included(3)","Northcote","North Island general electorates","Female",2550
"No Qualification","Northland","North Island general electorates","Female",7671
"Level 1 Certificate","Northland","North Island general electorates","Female",5169
"Level 2 Certificate","Northland","North Island general electorates","Female",3429
"Level 3 Certificate","Northland","North Island general electorates","Female",2121
"Level 4 Certificate","Northland","North Island general electorates","Female",1710
"Level 5 or Level 6 Diploma(1)","Northland","North Island general electorates","Female",2976
"Bachelor Degree and Level 7 Qualification","Northland","North Island general electorates","Female",2616
"Post-graduate and Honours Degrees","Northland","North Island general electorates","Female",591
"Masters Degree","Northland","North Island general electorates","Female",372
"Doctorate Degree","Northland","North Island general electorates","Female",66
"Overseas Secondary School Qualification","Northland","North Island general electorates","Female",1500
"Not Elsewhere Included(3)","Northland","North Island general electorates","Female",5364
"No Qualification","Ohariu","North Island general electorates","Female",2268
"Level 1 Certificate","Ohariu","North Island general electorates","Female",2205
"Level 2 Certificate","Ohariu","North Island general electorates","Female",2424
"Level 3 Certificate","Ohariu","North Island general electorates","Female",2274
"Level 4 Certificate","Ohariu","North Island general electorates","Female",1002
"Level 5 or Level 6 Diploma(1)","Ohariu","North Island general electorates","Female",2367
"Bachelor Degree and Level 7 Qualification","Ohariu","North Island general electorates","Female",5664
"Post-graduate and Honours Degrees","Ohariu","North Island general electorates","Female",1551
"Masters Degree","Ohariu","North Island general electorates","Female",1380
"Doctorate Degree","Ohariu","North Island general electorates","Female",267
"Overseas Secondary School Qualification","Ohariu","North Island general electorates","Female",1635
"Not Elsewhere Included(3)","Ohariu","North Island general electorates","Female",1512
"No Qualification","Otaki","North Island general electorates","Female",6894
"Level 1 Certificate","Otaki","North Island general electorates","Female",4197
"Level 2 Certificate","Otaki","North Island general electorates","Female",2928
"Level 3 Certificate","Otaki","North Island general electorates","Female",1836
"Level 4 Certificate","Otaki","North Island general electorates","Female",1479
"Level 5 or Level 6 Diploma(1)","Otaki","North Island general electorates","Female",2613
"Bachelor Degree and Level 7 Qualification","Otaki","North Island general electorates","Female",2460
"Post-graduate and Honours Degrees","Otaki","North Island general electorates","Female",591
"Masters Degree","Otaki","North Island general electorates","Female",477
"Doctorate Degree","Otaki","North Island general electorates","Female",84
"Overseas Secondary School Qualification","Otaki","North Island general electorates","Female",1452
"Not Elsewhere Included(3)","Otaki","North Island general electorates","Female",3273
"No Qualification","Pakuranga","North Island general electorates","Female",3681
"Level 1 Certificate","Pakuranga","North Island general electorates","Female",2631
"Level 2 Certificate","Pakuranga","North Island general electorates","Female",2256
"Level 3 Certificate","Pakuranga","North Island general electorates","Female",2115
"Level 4 Certificate","Pakuranga","North Island general electorates","Female",1119
"Level 5 or Level 6 Diploma(1)","Pakuranga","North Island general electorates","Female",2508
"Bachelor Degree and Level 7 Qualification","Pakuranga","North Island general electorates","Female",4434
"Post-graduate and Honours Degrees","Pakuranga","North Island general electorates","Female",765
"Masters Degree","Pakuranga","North Island general electorates","Female",747
"Doctorate Degree","Pakuranga","North Island general electorates","Female",90
"Overseas Secondary School Qualification","Pakuranga","North Island general electorates","Female",3669
"Not Elsewhere Included(3)","Pakuranga","North Island general electorates","Female",2070
"No Qualification","Palmerston North","North Island general electorates","Female",5301
"Level 1 Certificate","Palmerston North","North Island general electorates","Female",3504
"Level 2 Certificate","Palmerston North","North Island general electorates","Female",2730
"Level 3 Certificate","Palmerston North","North Island general electorates","Female",3399
"Level 4 Certificate","Palmerston North","North Island general electorates","Female",1443
"Level 5 or Level 6 Diploma(1)","Palmerston North","North Island general electorates","Female",2367
"Bachelor Degree and Level 7 Qualification","Palmerston North","North Island general electorates","Female",3774
"Post-graduate and Honours Degrees","Palmerston North","North Island general electorates","Female",810
"Masters Degree","Palmerston North","North Island general electorates","Female",750
"Doctorate Degree","Palmerston North","North Island general electorates","Female",333
"Overseas Secondary School Qualification","Palmerston North","North Island general electorates","Female",1134
"Not Elsewhere Included(3)","Palmerston North","North Island general electorates","Female",2961
"No Qualification","Papakura","North Island general electorates","Female",6360
"Level 1 Certificate","Papakura","North Island general electorates","Female",3870
"Level 2 Certificate","Papakura","North Island general electorates","Female",2847
"Level 3 Certificate","Papakura","North Island general electorates","Female",2583
"Level 4 Certificate","Papakura","North Island general electorates","Female",1473
"Level 5 or Level 6 Diploma(1)","Papakura","North Island general electorates","Female",2394
"Bachelor Degree and Level 7 Qualification","Papakura","North Island general electorates","Female",3051
"Post-graduate and Honours Degrees","Papakura","North Island general electorates","Female",519
"Masters Degree","Papakura","North Island general electorates","Female",414
"Doctorate Degree","Papakura","North Island general electorates","Female",36
"Overseas Secondary School Qualification","Papakura","North Island general electorates","Female",2013
"Not Elsewhere Included(3)","Papakura","North Island general electorates","Female",3699
"No Qualification","Rangitikei","North Island general electorates","Female",6324
"Level 1 Certificate","Rangitikei","North Island general electorates","Female",4185
"Level 2 Certificate","Rangitikei","North Island general electorates","Female",2967
"Level 3 Certificate","Rangitikei","North Island general electorates","Female",2373
"Level 4 Certificate","Rangitikei","North Island general electorates","Female",1443
"Level 5 or Level 6 Diploma(1)","Rangitikei","North Island general electorates","Female",2460
"Bachelor Degree and Level 7 Qualification","Rangitikei","North Island general electorates","Female",2712
"Post-graduate and Honours Degrees","Rangitikei","North Island general electorates","Female",579
"Masters Degree","Rangitikei","North Island general electorates","Female",447
"Doctorate Degree","Rangitikei","North Island general electorates","Female",195
"Overseas Secondary School Qualification","Rangitikei","North Island general electorates","Female",912
"Not Elsewhere Included(3)","Rangitikei","North Island general electorates","Female",2619
"No Qualification","Rimutaka","North Island general electorates","Female",6039
"Level 1 Certificate","Rimutaka","North Island general electorates","Female",3984
"Level 2 Certificate","Rimutaka","North Island general electorates","Female",3087
"Level 3 Certificate","Rimutaka","North Island general electorates","Female",2553
"Level 4 Certificate","Rimutaka","North Island general electorates","Female",1506
"Level 5 or Level 6 Diploma(1)","Rimutaka","North Island general electorates","Female",2199
"Bachelor Degree and Level 7 Qualification","Rimutaka","North Island general electorates","Female",2886
"Post-graduate and Honours Degrees","Rimutaka","North Island general electorates","Female",618
"Masters Degree","Rimutaka","North Island general electorates","Female",480
"Doctorate Degree","Rimutaka","North Island general electorates","Female",96
"Overseas Secondary School Qualification","Rimutaka","North Island general electorates","Female",1479
"Not Elsewhere Included(3)","Rimutaka","North Island general electorates","Female",3297
"No Qualification","Rodney","North Island general electorates","Female",4611
"Level 1 Certificate","Rodney","North Island general electorates","Female",3897
"Level 2 Certificate","Rodney","North Island general electorates","Female",2928
"Level 3 Certificate","Rodney","North Island general electorates","Female",1926
"Level 4 Certificate","Rodney","North Island general electorates","Female",1269
"Level 5 or Level 6 Diploma(1)","Rodney","North Island general electorates","Female",2961
"Bachelor Degree and Level 7 Qualification","Rodney","North Island general electorates","Female",3051
"Post-graduate and Honours Degrees","Rodney","North Island general electorates","Female",681
"Masters Degree","Rodney","North Island general electorates","Female",471
"Doctorate Degree","Rodney","North Island general electorates","Female",81
"Overseas Secondary School Qualification","Rodney","North Island general electorates","Female",2340
"Not Elsewhere Included(3)","Rodney","North Island general electorates","Female",2463
"No Qualification","Rongotai","North Island general electorates","Female",3135
"Level 1 Certificate","Rongotai","North Island general electorates","Female",1974
"Level 2 Certificate","Rongotai","North Island general electorates","Female",2127
"Level 3 Certificate","Rongotai","North Island general electorates","Female",2688
"Level 4 Certificate","Rongotai","North Island general electorates","Female",990
"Level 5 or Level 6 Diploma(1)","Rongotai","North Island general electorates","Female",2319
"Bachelor Degree and Level 7 Qualification","Rongotai","North Island general electorates","Female",5961
"Post-graduate and Honours Degrees","Rongotai","North Island general electorates","Female",1932
"Masters Degree","Rongotai","North Island general electorates","Female",1584
"Doctorate Degree","Rongotai","North Island general electorates","Female",306
"Overseas Secondary School Qualification","Rongotai","North Island general electorates","Female",1551
"Not Elsewhere Included(3)","Rongotai","North Island general electorates","Female",2451
"No Qualification","Rotorua","North Island general electorates","Female",6432
"Level 1 Certificate","Rotorua","North Island general electorates","Female",4440
"Level 2 Certificate","Rotorua","North Island general electorates","Female",3081
"Level 3 Certificate","Rotorua","North Island general electorates","Female",2229
"Level 4 Certificate","Rotorua","North Island general electorates","Female",1749
"Level 5 or Level 6 Diploma(1)","Rotorua","North Island general electorates","Female",2988
"Bachelor Degree and Level 7 Qualification","Rotorua","North Island general electorates","Female",3183
"Post-graduate and Honours Degrees","Rotorua","North Island general electorates","Female",669
"Masters Degree","Rotorua","North Island general electorates","Female",444
"Doctorate Degree","Rotorua","North Island general electorates","Female",78
"Overseas Secondary School Qualification","Rotorua","North Island general electorates","Female",1362
"Not Elsewhere Included(3)","Rotorua","North Island general electorates","Female",4632
"No Qualification","Tamaki","North Island general electorates","Female",2349
"Level 1 Certificate","Tamaki","North Island general electorates","Female",2277
"Level 2 Certificate","Tamaki","North Island general electorates","Female",2115
"Level 3 Certificate","Tamaki","North Island general electorates","Female",2193
"Level 4 Certificate","Tamaki","North Island general electorates","Female",996
"Level 5 or Level 6 Diploma(1)","Tamaki","North Island general electorates","Female",2721
"Bachelor Degree and Level 7 Qualification","Tamaki","North Island general electorates","Female",5484
"Post-graduate and Honours Degrees","Tamaki","North Island general electorates","Female",1296
"Masters Degree","Tamaki","North Island general electorates","Female",1272
"Doctorate Degree","Tamaki","North Island general electorates","Female",303
"Overseas Secondary School Qualification","Tamaki","North Island general electorates","Female",2115
"Not Elsewhere Included(3)","Tamaki","North Island general electorates","Female",2418
"No Qualification","Taranaki-King Country","North Island general electorates","Female",5802
"Level 1 Certificate","Taranaki-King Country","North Island general electorates","Female",4122
"Level 2 Certificate","Taranaki-King Country","North Island general electorates","Female",3120
"Level 3 Certificate","Taranaki-King Country","North Island general electorates","Female",1890
"Level 4 Certificate","Taranaki-King Country","North Island general electorates","Female",1500
"Level 5 or Level 6 Diploma(1)","Taranaki-King Country","North Island general electorates","Female",2592
"Bachelor Degree and Level 7 Qualification","Taranaki-King Country","North Island general electorates","Female",2721
"Post-graduate and Honours Degrees","Taranaki-King Country","North Island general electorates","Female",570
"Masters Degree","Taranaki-King Country","North Island general electorates","Female",366
"Doctorate Degree","Taranaki-King Country","North Island general electorates","Female",72
"Overseas Secondary School Qualification","Taranaki-King Country","North Island general electorates","Female",882
"Not Elsewhere Included(3)","Taranaki-King Country","North Island general electorates","Female",2865
"No Qualification","Taupo","North Island general electorates","Female",6690
"Level 1 Certificate","Taupo","North Island general electorates","Female",4569
"Level 2 Certificate","Taupo","North Island general electorates","Female",3345
"Level 3 Certificate","Taupo","North Island general electorates","Female",2100
"Level 4 Certificate","Taupo","North Island general electorates","Female",1662
"Level 5 or Level 6 Diploma(1)","Taupo","North Island general electorates","Female",2895
"Bachelor Degree and Level 7 Qualification","Taupo","North Island general electorates","Female",2886
"Post-graduate and Honours Degrees","Taupo","North Island general electorates","Female",636
"Masters Degree","Taupo","North Island general electorates","Female",369
"Doctorate Degree","Taupo","North Island general electorates","Female",57
"Overseas Secondary School Qualification","Taupo","North Island general electorates","Female",1455
"Not Elsewhere Included(3)","Taupo","North Island general electorates","Female",3474
"No Qualification","Tauranga","North Island general electorates","Female",5418
"Level 1 Certificate","Tauranga","North Island general electorates","Female",3867
"Level 2 Certificate","Tauranga","North Island general electorates","Female",2880
"Level 3 Certificate","Tauranga","North Island general electorates","Female",2025
"Level 4 Certificate","Tauranga","North Island general electorates","Female",1602
"Level 5 or Level 6 Diploma(1)","Tauranga","North Island general electorates","Female",2997
"Bachelor Degree and Level 7 Qualification","Tauranga","North Island general electorates","Female",3333
"Post-graduate and Honours Degrees","Tauranga","North Island general electorates","Female",690
"Masters Degree","Tauranga","North Island general electorates","Female",402
"Doctorate Degree","Tauranga","North Island general electorates","Female",42
"Overseas Secondary School Qualification","Tauranga","North Island general electorates","Female",1530
"Not Elsewhere Included(3)","Tauranga","North Island general electorates","Female",2988
"No Qualification","Te Atatu","North Island general electorates","Female",5421
"Level 1 Certificate","Te Atatu","North Island general electorates","Female",3153
"Level 2 Certificate","Te Atatu","North Island general electorates","Female",2460
"Level 3 Certificate","Te Atatu","North Island general electorates","Female",2505
"Level 4 Certificate","Te Atatu","North Island general electorates","Female",1188
"Level 5 or Level 6 Diploma(1)","Te Atatu","North Island general electorates","Female",2100
"Bachelor Degree and Level 7 Qualification","Te Atatu","North Island general electorates","Female",3645
"Post-graduate and Honours Degrees","Te Atatu","North Island general electorates","Female",576
"Masters Degree","Te Atatu","North Island general electorates","Female",570
"Doctorate Degree","Te Atatu","North Island general electorates","Female",69
