"level0","level1","Legally registered relationship status(1)","count"
"Tamaki","North Island general electorates","Divorced or dissolved(3)",3402
"Taranaki-King Country","North Island general electorates","Divorced or dissolved(3)",3651
"Taupo","North Island general electorates","Divorced or dissolved(3)",4488
"Tauranga","North Island general electorates","Divorced or dissolved(3)",4764
"Te Atatu","North Island general electorates","Divorced or dissolved(3)",3513
"Tukituki","North Island general electorates","Divorced or dissolved(3)",4422
"Upper Harbour","North Island general electorates","Divorced or dissolved(3)",3261
"Waikato","North Island general electorates","Divorced or dissolved(3)",3648
"Wairarapa","North Island general electorates","Divorced or dissolved(3)",4263
"Wellington Central","North Island general electorates","Divorced or dissolved(3)",2862
"Whanganui","North Island general electorates","Divorced or dissolved(3)",4689
"Whangarei","North Island general electorates","Divorced or dissolved(3)",4695
"Christchurch Central","South Island general electorates","Divorced or dissolved(3)",4797
"Christchurch East","South Island general electorates","Divorced or dissolved(3)",4617
"Clutha-Southland","South Island general electorates","Divorced or dissolved(3)",2955
"Dunedin North","South Island general electorates","Divorced or dissolved(3)",3159
"Dunedin South","South Island general electorates","Divorced or dissolved(3)",3792
"Ilam","South Island general electorates","Divorced or dissolved(3)",3141
"Invercargill","South Island general electorates","Divorced or dissolved(3)",3702
"Kaikoura","South Island general electorates","Divorced or dissolved(3)",4113
"Nelson","South Island general electorates","Divorced or dissolved(3)",4785
"Port Hills","South Island general electorates","Divorced or dissolved(3)",4239
"Rangitata","South Island general electorates","Divorced or dissolved(3)",3645
"Selwyn","South Island general electorates","Divorced or dissolved(3)",3000
"Waimakariri","South Island general electorates","Divorced or dissolved(3)",3537
"Waitaki","South Island general electorates","Divorced or dissolved(3)",3690
"West Coast-Tasman","South Island general electorates","Divorced or dissolved(3)",4431
"Wigram","South Island general electorates","Divorced or dissolved(3)",3696
"Area Outside General Electorate","South Island general electorates","Divorced or dissolved(3)",NA
"Auckland Central","North Island general electorates","Widowed or surviving civil union partner",897
