"level0","level1","level2","Unpaid activities(1)","count"
"Looking After a Child Who Does Not Live in Own Household","Manukau East","North Island general electorates","Male",1512
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Manukau East","North Island general electorates","Male",1134
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Manukau East","North Island general electorates","Male",2064
"Not Elsewhere Included(3)","Manukau East","North Island general electorates","Male",4155
"No Activities","Manurewa","North Island general electorates","Male",3930
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Manurewa","North Island general electorates","Male",15762
"Looking After a Child Who is a Member of Own Household","Manurewa","North Island general electorates","Male",6066
"Looking After a Member of Own Household Who is Ill or Has a Disability","Manurewa","North Island general electorates","Male",1644
"Looking After a Child Who Does Not Live in Own Household","Manurewa","North Island general electorates","Male",2028
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Manurewa","North Island general electorates","Male",1224
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Manurewa","North Island general electorates","Male",2343
"Not Elsewhere Included(3)","Manurewa","North Island general electorates","Male",4671
"No Activities","Maungakiekie","North Island general electorates","Male",3354
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Maungakiekie","North Island general electorates","Male",17961
"Looking After a Child Who is a Member of Own Household","Maungakiekie","North Island general electorates","Male",5841
"Looking After a Member of Own Household Who is Ill or Has a Disability","Maungakiekie","North Island general electorates","Male",1314
"Looking After a Child Who Does Not Live in Own Household","Maungakiekie","North Island general electorates","Male",1929
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Maungakiekie","North Island general electorates","Male",1167
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Maungakiekie","North Island general electorates","Male",2490
"Not Elsewhere Included(3)","Maungakiekie","North Island general electorates","Male",3435
"No Activities","Mt Albert","North Island general electorates","Male",3141
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Mt Albert","North Island general electorates","Male",18702
"Looking After a Child Who is a Member of Own Household","Mt Albert","North Island general electorates","Male",6123
"Looking After a Member of Own Household Who is Ill or Has a Disability","Mt Albert","North Island general electorates","Male",1146
"Looking After a Child Who Does Not Live in Own Household","Mt Albert","North Island general electorates","Male",2130
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Mt Albert","North Island general electorates","Male",1317
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Mt Albert","North Island general electorates","Male",2586
"Not Elsewhere Included(3)","Mt Albert","North Island general electorates","Male",2487
"No Activities","Mt Roskill","North Island general electorates","Male",3771
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Mt Roskill","North Island general electorates","Male",16671
"Looking After a Child Who is a Member of Own Household","Mt Roskill","North Island general electorates","Male",5223
"Looking After a Member of Own Household Who is Ill or Has a Disability","Mt Roskill","North Island general electorates","Male",1209
"Looking After a Child Who Does Not Live in Own Household","Mt Roskill","North Island general electorates","Male",1569
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Mt Roskill","North Island general electorates","Male",1134
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Mt Roskill","North Island general electorates","Male",2553
"Not Elsewhere Included(3)","Mt Roskill","North Island general electorates","Male",2394
"No Activities","Napier","North Island general electorates","Male",3486
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Napier","North Island general electorates","Male",19299
"Looking After a Child Who is a Member of Own Household","Napier","North Island general electorates","Male",6222
"Looking After a Member of Own Household Who is Ill or Has a Disability","Napier","North Island general electorates","Male",1533
"Looking After a Child Who Does Not Live in Own Household","Napier","North Island general electorates","Male",2907
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Napier","North Island general electorates","Male",1716
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Napier","North Island general electorates","Male",3426
"Not Elsewhere Included(3)","Napier","North Island general electorates","Male",2844
"No Activities","New Lynn","North Island general electorates","Male",3630
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","New Lynn","North Island general electorates","Male",16761
"Looking After a Child Who is a Member of Own Household","New Lynn","North Island general electorates","Male",5454
"Looking After a Member of Own Household Who is Ill or Has a Disability","New Lynn","North Island general electorates","Male",1275
"Looking After a Child Who Does Not Live in Own Household","New Lynn","North Island general electorates","Male",1686
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","New Lynn","North Island general electorates","Male",1140
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","New Lynn","North Island general electorates","Male",2385
"Not Elsewhere Included(3)","New Lynn","North Island general electorates","Male",2700
"No Activities","New Plymouth","North Island general electorates","Male",3186
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","New Plymouth","North Island general electorates","Male",19383
"Looking After a Child Who is a Member of Own Household","New Plymouth","North Island general electorates","Male",6327
"Looking After a Member of Own Household Who is Ill or Has a Disability","New Plymouth","North Island general electorates","Male",1362
"Looking After a Child Who Does Not Live in Own Household","New Plymouth","North Island general electorates","Male",2853
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","New Plymouth","North Island general electorates","Male",1527
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","New Plymouth","North Island general electorates","Male",3183
"Not Elsewhere Included(3)","New Plymouth","North Island general electorates","Male",2889
"No Activities","North Shore","North Island general electorates","Male",3117
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","North Shore","North Island general electorates","Male",19047
"Looking After a Child Who is a Member of Own Household","North Shore","North Island general electorates","Male",6366
"Looking After a Member of Own Household Who is Ill or Has a Disability","North Shore","North Island general electorates","Male",1077
"Looking After a Child Who Does Not Live in Own Household","North Shore","North Island general electorates","Male",2307
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","North Shore","North Island general electorates","Male",1281
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","North Shore","North Island general electorates","Male",2808
"Not Elsewhere Included(3)","North Shore","North Island general electorates","Male",1749
"No Activities","Northcote","North Island general electorates","Male",3078
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Northcote","North Island general electorates","Male",18660
"Looking After a Child Who is a Member of Own Household","Northcote","North Island general electorates","Male",6207
"Looking After a Member of Own Household Who is Ill or Has a Disability","Northcote","North Island general electorates","Male",1164
"Looking After a Child Who Does Not Live in Own Household","Northcote","North Island general electorates","Male",2076
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Northcote","North Island general electorates","Male",1143
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Northcote","North Island general electorates","Male",2505
"Not Elsewhere Included(3)","Northcote","North Island general electorates","Male",2265
"No Activities","Northland","North Island general electorates","Male",3954
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Northland","North Island general electorates","Male",21630
"Looking After a Child Who is a Member of Own Household","Northland","North Island general electorates","Male",6771
"Looking After a Member of Own Household Who is Ill or Has a Disability","Northland","North Island general electorates","Male",2076
"Looking After a Child Who Does Not Live in Own Household","Northland","North Island general electorates","Male",3015
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Northland","North Island general electorates","Male",2313
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Northland","North Island general electorates","Male",5274
"Not Elsewhere Included(3)","Northland","North Island general electorates","Male",5103
"No Activities","Ohariu","North Island general electorates","Male",2022
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Ohariu","North Island general electorates","Male",18666
"Looking After a Child Who is a Member of Own Household","Ohariu","North Island general electorates","Male",6972
"Looking After a Member of Own Household Who is Ill or Has a Disability","Ohariu","North Island general electorates","Male",1134
"Looking After a Child Who Does Not Live in Own Household","Ohariu","North Island general electorates","Male",2172
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Ohariu","North Island general electorates","Male",1200
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Ohariu","North Island general electorates","Male",3300
"Not Elsewhere Included(3)","Ohariu","North Island general electorates","Male",1521
"No Activities","Otaki","North Island general electorates","Male",2874
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Otaki","North Island general electorates","Male",18099
"Looking After a Child Who is a Member of Own Household","Otaki","North Island general electorates","Male",5004
"Looking After a Member of Own Household Who is Ill or Has a Disability","Otaki","North Island general electorates","Male",1527
"Looking After a Child Who Does Not Live in Own Household","Otaki","North Island general electorates","Male",2667
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Otaki","North Island general electorates","Male",1839
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Otaki","North Island general electorates","Male",3312
"Not Elsewhere Included(3)","Otaki","North Island general electorates","Male",2595
"No Activities","Pakuranga","North Island general electorates","Male",3390
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Pakuranga","North Island general electorates","Male",17955
"Looking After a Child Who is a Member of Own Household","Pakuranga","North Island general electorates","Male",6069
"Looking After a Member of Own Household Who is Ill or Has a Disability","Pakuranga","North Island general electorates","Male",1137
"Looking After a Child Who Does Not Live in Own Household","Pakuranga","North Island general electorates","Male",1884
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Pakuranga","North Island general electorates","Male",1071
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Pakuranga","North Island general electorates","Male",2343
"Not Elsewhere Included(3)","Pakuranga","North Island general electorates","Male",1800
"No Activities","Palmerston North","North Island general electorates","Male",3165
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Palmerston North","North Island general electorates","Male",18411
"Looking After a Child Who is a Member of Own Household","Palmerston North","North Island general electorates","Male",5808
"Looking After a Member of Own Household Who is Ill or Has a Disability","Palmerston North","North Island general electorates","Male",1383
"Looking After a Child Who Does Not Live in Own Household","Palmerston North","North Island general electorates","Male",2604
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Palmerston North","North Island general electorates","Male",1521
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Palmerston North","North Island general electorates","Male",3156
"Not Elsewhere Included(3)","Palmerston North","North Island general electorates","Male",2607
"No Activities","Papakura","North Island general electorates","Male",3486
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Papakura","North Island general electorates","Male",18816
"Looking After a Child Who is a Member of Own Household","Papakura","North Island general electorates","Male",6753
"Looking After a Member of Own Household Who is Ill or Has a Disability","Papakura","North Island general electorates","Male",1542
"Looking After a Child Who Does Not Live in Own Household","Papakura","North Island general electorates","Male",2502
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Papakura","North Island general electorates","Male",1371
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Papakura","North Island general electorates","Male",2655
"Not Elsewhere Included(3)","Papakura","North Island general electorates","Male",3336
"No Activities","Rangitikei","North Island general electorates","Male",3600
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rangitikei","North Island general electorates","Male",19578
"Looking After a Child Who is a Member of Own Household","Rangitikei","North Island general electorates","Male",6492
"Looking After a Member of Own Household Who is Ill or Has a Disability","Rangitikei","North Island general electorates","Male",1443
"Looking After a Child Who Does Not Live in Own Household","Rangitikei","North Island general electorates","Male",2763
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Rangitikei","North Island general electorates","Male",1644
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Rangitikei","North Island general electorates","Male",3936
"Not Elsewhere Included(3)","Rangitikei","North Island general electorates","Male",2610
"No Activities","Rimutaka","North Island general electorates","Male",3132
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rimutaka","North Island general electorates","Male",19296
"Looking After a Child Who is a Member of Own Household","Rimutaka","North Island general electorates","Male",6633
