"level0","level1","level2","Unpaid activities(1)","count"
"No Activities","Manukau East","North Island general electorates","Female",2871
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Manukau East","North Island general electorates","Female",17244
"Looking After a Child Who is a Member of Own Household","Manukau East","North Island general electorates","Female",7974
"Looking After a Member of Own Household Who is Ill or Has a Disability","Manukau East","North Island general electorates","Female",2439
"Looking After a Child Who Does Not Live in Own Household","Manukau East","North Island general electorates","Female",3105
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Manukau East","North Island general electorates","Female",1842
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Manukau East","North Island general electorates","Female",2523
"Not Elsewhere Included(3)","Manukau East","North Island general electorates","Female",4227
"No Activities","Manurewa","North Island general electorates","Female",2787
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Manurewa","North Island general electorates","Female",19650
"Looking After a Child Who is a Member of Own Household","Manurewa","North Island general electorates","Female",9549
"Looking After a Member of Own Household Who is Ill or Has a Disability","Manurewa","North Island general electorates","Female",2817
"Looking After a Child Who Does Not Live in Own Household","Manurewa","North Island general electorates","Female",4038
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Manurewa","North Island general electorates","Female",2202
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Manurewa","North Island general electorates","Female",2976
"Not Elsewhere Included(3)","Manurewa","North Island general electorates","Female",4641
"No Activities","Maungakiekie","North Island general electorates","Female",2640
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Maungakiekie","North Island general electorates","Female",21450
"Looking After a Child Who is a Member of Own Household","Maungakiekie","North Island general electorates","Female",8097
"Looking After a Member of Own Household Who is Ill or Has a Disability","Maungakiekie","North Island general electorates","Female",2037
"Looking After a Child Who Does Not Live in Own Household","Maungakiekie","North Island general electorates","Female",3819
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Maungakiekie","North Island general electorates","Female",2049
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Maungakiekie","North Island general electorates","Female",3357
"Not Elsewhere Included(3)","Maungakiekie","North Island general electorates","Female",3402
"No Activities","Mt Albert","North Island general electorates","Female",2094
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Mt Albert","North Island general electorates","Female",21570
"Looking After a Child Who is a Member of Own Household","Mt Albert","North Island general electorates","Female",7953
"Looking After a Member of Own Household Who is Ill or Has a Disability","Mt Albert","North Island general electorates","Female",1611
"Looking After a Child Who Does Not Live in Own Household","Mt Albert","North Island general electorates","Female",4179
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Mt Albert","North Island general electorates","Female",2250
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Mt Albert","North Island general electorates","Female",3606
"Not Elsewhere Included(3)","Mt Albert","North Island general electorates","Female",2496
"No Activities","Mt Roskill","North Island general electorates","Female",2772
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Mt Roskill","North Island general electorates","Female",19977
"Looking After a Child Who is a Member of Own Household","Mt Roskill","North Island general electorates","Female",7401
"Looking After a Member of Own Household Who is Ill or Has a Disability","Mt Roskill","North Island general electorates","Female",1827
"Looking After a Child Who Does Not Live in Own Household","Mt Roskill","North Island general electorates","Female",3111
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Mt Roskill","North Island general electorates","Female",1938
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Mt Roskill","North Island general electorates","Female",3303
"Not Elsewhere Included(3)","Mt Roskill","North Island general electorates","Female",2583
"No Activities","Napier","North Island general electorates","Female",2397
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Napier","North Island general electorates","Female",23490
"Looking After a Child Who is a Member of Own Household","Napier","North Island general electorates","Female",9096
"Looking After a Member of Own Household Who is Ill or Has a Disability","Napier","North Island general electorates","Female",2526
"Looking After a Child Who Does Not Live in Own Household","Napier","North Island general electorates","Female",5883
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Napier","North Island general electorates","Female",3576
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Napier","North Island general electorates","Female",4776
"Not Elsewhere Included(3)","Napier","North Island general electorates","Female",3030
"No Activities","New Lynn","North Island general electorates","Female",2589
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","New Lynn","North Island general electorates","Female",19704
"Looking After a Child Who is a Member of Own Household","New Lynn","North Island general electorates","Female",7692
"Looking After a Member of Own Household Who is Ill or Has a Disability","New Lynn","North Island general electorates","Female",1818
"Looking After a Child Who Does Not Live in Own Household","New Lynn","North Island general electorates","Female",3171
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","New Lynn","North Island general electorates","Female",2007
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","New Lynn","North Island general electorates","Female",3003
"Not Elsewhere Included(3)","New Lynn","North Island general electorates","Female",2781
"No Activities","New Plymouth","North Island general electorates","Female",2190
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","New Plymouth","North Island general electorates","Female",22932
"Looking After a Child Who is a Member of Own Household","New Plymouth","North Island general electorates","Female",8823
"Looking After a Member of Own Household Who is Ill or Has a Disability","New Plymouth","North Island general electorates","Female",2199
"Looking After a Child Who Does Not Live in Own Household","New Plymouth","North Island general electorates","Female",5559
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","New Plymouth","North Island general electorates","Female",3075
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","New Plymouth","North Island general electorates","Female",4527
"Not Elsewhere Included(3)","New Plymouth","North Island general electorates","Female",2961
"No Activities","North Shore","North Island general electorates","Female",2319
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","North Shore","North Island general electorates","Female",22752
"Looking After a Child Who is a Member of Own Household","North Shore","North Island general electorates","Female",8475
"Looking After a Member of Own Household Who is Ill or Has a Disability","North Shore","North Island general electorates","Female",1680
"Looking After a Child Who Does Not Live in Own Household","North Shore","North Island general electorates","Female",4293
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","North Shore","North Island general electorates","Female",2535
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","North Shore","North Island general electorates","Female",3963
"Not Elsewhere Included(3)","North Shore","North Island general electorates","Female",2001
"No Activities","Northcote","North Island general electorates","Female",2331
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Northcote","North Island general electorates","Female",21810
"Looking After a Child Who is a Member of Own Household","Northcote","North Island general electorates","Female",8313
"Looking After a Member of Own Household Who is Ill or Has a Disability","Northcote","North Island general electorates","Female",1680
"Looking After a Child Who Does Not Live in Own Household","Northcote","North Island general electorates","Female",4050
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Northcote","North Island general electorates","Female",2166
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Northcote","North Island general electorates","Female",3591
"Not Elsewhere Included(3)","Northcote","North Island general electorates","Female",2469
"No Activities","Northland","North Island general electorates","Female",2265
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Northland","North Island general electorates","Female",25725
"Looking After a Child Who is a Member of Own Household","Northland","North Island general electorates","Female",9954
"Looking After a Member of Own Household Who is Ill or Has a Disability","Northland","North Island general electorates","Female",3492
"Looking After a Child Who Does Not Live in Own Household","Northland","North Island general electorates","Female",6375
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Northland","North Island general electorates","Female",4092
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Northland","North Island general electorates","Female",7233
"Not Elsewhere Included(3)","Northland","North Island general electorates","Female",4863
"No Activities","Ohariu","North Island general electorates","Female",1452
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Ohariu","North Island general electorates","Female",21291
"Looking After a Child Who is a Member of Own Household","Ohariu","North Island general electorates","Female",8685
"Looking After a Member of Own Household Who is Ill or Has a Disability","Ohariu","North Island general electorates","Female",1632
"Looking After a Child Who Does Not Live in Own Household","Ohariu","North Island general electorates","Female",4044
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Ohariu","North Island general electorates","Female",2181
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Ohariu","North Island general electorates","Female",4449
"Not Elsewhere Included(3)","Ohariu","North Island general electorates","Female",1443
"No Activities","Otaki","North Island general electorates","Female",2418
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Otaki","North Island general electorates","Female",22413
"Looking After a Child Who is a Member of Own Household","Otaki","North Island general electorates","Female",7287
"Looking After a Member of Own Household Who is Ill or Has a Disability","Otaki","North Island general electorates","Female",2418
"Looking After a Child Who Does Not Live in Own Household","Otaki","North Island general electorates","Female",5049
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Otaki","North Island general electorates","Female",3555
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Otaki","North Island general electorates","Female",4842
"Not Elsewhere Included(3)","Otaki","North Island general electorates","Female",2868
"No Activities","Pakuranga","North Island general electorates","Female",2616
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Pakuranga","North Island general electorates","Female",20988
"Looking After a Child Who is a Member of Own Household","Pakuranga","North Island general electorates","Female",8226
"Looking After a Member of Own Household Who is Ill or Has a Disability","Pakuranga","North Island general electorates","Female",1656
"Looking After a Child Who Does Not Live in Own Household","Pakuranga","North Island general electorates","Female",3546
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Pakuranga","North Island general electorates","Female",1941
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Pakuranga","North Island general electorates","Female",3156
"Not Elsewhere Included(3)","Pakuranga","North Island general electorates","Female",1932
"No Activities","Palmerston North","North Island general electorates","Female",2379
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Palmerston North","North Island general electorates","Female",22803
"Looking After a Child Who is a Member of Own Household","Palmerston North","North Island general electorates","Female",8373
"Looking After a Member of Own Household Who is Ill or Has a Disability","Palmerston North","North Island general electorates","Female",2199
"Looking After a Child Who Does Not Live in Own Household","Palmerston North","North Island general electorates","Female",5388
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Palmerston North","North Island general electorates","Female",3045
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Palmerston North","North Island general electorates","Female",4356
"Not Elsewhere Included(3)","Palmerston North","North Island general electorates","Female",2739
"No Activities","Papakura","North Island general electorates","Female",2394
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Papakura","North Island general electorates","Female",22737
"Looking After a Child Who is a Member of Own Household","Papakura","North Island general electorates","Female",10011
"Looking After a Member of Own Household Who is Ill or Has a Disability","Papakura","North Island general electorates","Female",2694
"Looking After a Child Who Does Not Live in Own Household","Papakura","North Island general electorates","Female",5091
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Papakura","North Island general electorates","Female",2655
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Papakura","North Island general electorates","Female",3657
"Not Elsewhere Included(3)","Papakura","North Island general electorates","Female",3420
"No Activities","Rangitikei","North Island general electorates","Female",2001
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rangitikei","North Island general electorates","Female",22368
"Looking After a Child Who is a Member of Own Household","Rangitikei","North Island general electorates","Female",8934
"Looking After a Member of Own Household Who is Ill or Has a Disability","Rangitikei","North Island general electorates","Female",2367
"Looking After a Child Who Does Not Live in Own Household","Rangitikei","North Island general electorates","Female",5592
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Rangitikei","North Island general electorates","Female",3093
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Rangitikei","North Island general electorates","Female",4974
"Not Elsewhere Included(3)","Rangitikei","North Island general electorates","Female",2313
"No Activities","Rimutaka","North Island general electorates","Female",2334
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rimutaka","North Island general electorates","Female",22323
"Looking After a Child Who is a Member of Own Household","Rimutaka","North Island general electorates","Female",9234
"Looking After a Member of Own Household Who is Ill or Has a Disability","Rimutaka","North Island general electorates","Female",2295
"Looking After a Child Who Does Not Live in Own Household","Rimutaka","North Island general electorates","Female",5376
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Rimutaka","North Island general electorates","Female",2922
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Rimutaka","North Island general electorates","Female",4065
"Not Elsewhere Included(3)","Rimutaka","North Island general electorates","Female",2907
"No Activities","Rodney","North Island general electorates","Female",2103
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rodney","North Island general electorates","Female",21843
"Looking After a Child Who is a Member of Own Household","Rodney","North Island general electorates","Female",7983
"Looking After a Member of Own Household Who is Ill or Has a Disability","Rodney","North Island general electorates","Female",2070
"Looking After a Child Who Does Not Live in Own Household","Rodney","North Island general electorates","Female",4737
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Rodney","North Island general electorates","Female",2745
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Rodney","North Island general electorates","Female",4197
"Not Elsewhere Included(3)","Rodney","North Island general electorates","Female",2217
"No Activities","Rongotai","North Island general electorates","Female",1839
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rongotai","North Island general electorates","Female",22308
"Looking After a Child Who is a Member of Own Household","Rongotai","North Island general electorates","Female",7842
"Looking After a Member of Own Household Who is Ill or Has a Disability","Rongotai","North Island general electorates","Female",1701
"Looking After a Child Who Does Not Live in Own Household","Rongotai","North Island general electorates","Female",4401
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Rongotai","North Island general electorates","Female",2526
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Rongotai","North Island general electorates","Female",4659
"Not Elsewhere Included(3)","Rongotai","North Island general electorates","Female",2373
"No Activities","Rotorua","North Island general electorates","Female",2244
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rotorua","North Island general electorates","Female",24234
"Looking After a Child Who is a Member of Own Household","Rotorua","North Island general electorates","Female",10284
"Looking After a Member of Own Household Who is Ill or Has a Disability","Rotorua","North Island general electorates","Female",2805
"Looking After a Child Who Does Not Live in Own Household","Rotorua","North Island general electorates","Female",6261
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Rotorua","North Island general electorates","Female",3333
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Rotorua","North Island general electorates","Female",5130
"Not Elsewhere Included(3)","Rotorua","North Island general electorates","Female",4164
"No Activities","Tamaki","North Island general electorates","Female",1899
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Tamaki","North Island general electorates","Female",20616
"Looking After a Child Who is a Member of Own Household","Tamaki","North Island general electorates","Female",7767
"Looking After a Member of Own Household Who is Ill or Has a Disability","Tamaki","North Island general electorates","Female",1596
"Looking After a Child Who Does Not Live in Own Household","Tamaki","North Island general electorates","Female",3978
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Tamaki","North Island general electorates","Female",2337
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Tamaki","North Island general electorates","Female",3735
"Not Elsewhere Included(3)","Tamaki","North Island general electorates","Female",2514
"No Activities","Taranaki-King Country","North Island general electorates","Female",1545
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Taranaki-King Country","North Island general electorates","Female",21852
"Looking After a Child Who is a Member of Own Household","Taranaki-King Country","North Island general electorates","Female",8979
"Looking After a Member of Own Household Who is Ill or Has a Disability","Taranaki-King Country","North Island general electorates","Female",2337
"Looking After a Child Who Does Not Live in Own Household","Taranaki-King Country","North Island general electorates","Female",5640
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Taranaki-King Country","North Island general electorates","Female",3051
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Taranaki-King Country","North Island general electorates","Female",4788
"Not Elsewhere Included(3)","Taranaki-King Country","North Island general electorates","Female",2601
"No Activities","Taupo","North Island general electorates","Female",2046
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Taupo","North Island general electorates","Female",24315
"Looking After a Child Who is a Member of Own Household","Taupo","North Island general electorates","Female",9720
"Looking After a Member of Own Household Who is Ill or Has a Disability","Taupo","North Island general electorates","Female",2610
"Looking After a Child Who Does Not Live in Own Household","Taupo","North Island general electorates","Female",5916
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Taupo","North Island general electorates","Female",3312
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Taupo","North Island general electorates","Female",5361
"Not Elsewhere Included(3)","Taupo","North Island general electorates","Female",3126
"No Activities","Tauranga","North Island general electorates","Female",2403
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Tauranga","North Island general electorates","Female",22032
"Looking After a Child Who is a Member of Own Household","Tauranga","North Island general electorates","Female",7866
"Looking After a Member of Own Household Who is Ill or Has a Disability","Tauranga","North Island general electorates","Female",2064
"Looking After a Child Who Does Not Live in Own Household","Tauranga","North Island general electorates","Female",4992
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Tauranga","North Island general electorates","Female",3150
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Tauranga","North Island general electorates","Female",4203
"Not Elsewhere Included(3)","Tauranga","North Island general electorates","Female",2703
"No Activities","Te Atatu","North Island general electorates","Female",2592
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Te Atatu","North Island general electorates","Female",21279
"Looking After a Child Who is a Member of Own Household","Te Atatu","North Island general electorates","Female",9447
"Looking After a Member of Own Household Who is Ill or Has a Disability","Te Atatu","North Island general electorates","Female",2340
"Looking After a Child Who Does Not Live in Own Household","Te Atatu","North Island general electorates","Female",4470
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Te Atatu","North Island general electorates","Female",2271
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Te Atatu","North Island general electorates","Female",3339
"Not Elsewhere Included(3)","Te Atatu","North Island general electorates","Female",3093
"No Activities","Tukituki","North Island general electorates","Female",2196
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Tukituki","North Island general electorates","Female",23367
"Looking After a Child Who is a Member of Own Household","Tukituki","North Island general electorates","Female",9738
"Looking After a Member of Own Household Who is Ill or Has a Disability","Tukituki","North Island general electorates","Female",2811
"Looking After a Child Who Does Not Live in Own Household","Tukituki","North Island general electorates","Female",6003
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Tukituki","North Island general electorates","Female",3543
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Tukituki","North Island general electorates","Female",4524
"Not Elsewhere Included(3)","Tukituki","North Island general electorates","Female",3525
"No Activities","Upper Harbour","North Island general electorates","Female",2229
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Upper Harbour","North Island general electorates","Female",21222
"Looking After a Child Who is a Member of Own Household","Upper Harbour","North Island general electorates","Female",9279
"Looking After a Member of Own Household Who is Ill or Has a Disability","Upper Harbour","North Island general electorates","Female",1962
"Looking After a Child Who Does Not Live in Own Household","Upper Harbour","North Island general electorates","Female",3996
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Upper Harbour","North Island general electorates","Female",1962
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Upper Harbour","North Island general electorates","Female",3039
"Not Elsewhere Included(3)","Upper Harbour","North Island general electorates","Female",2544
"No Activities","Waikato","North Island general electorates","Female",1923
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Waikato","North Island general electorates","Female",23280
"Looking After a Child Who is a Member of Own Household","Waikato","North Island general electorates","Female",9858
"Looking After a Member of Own Household Who is Ill or Has a Disability","Waikato","North Island general electorates","Female",2562
"Looking After a Child Who Does Not Live in Own Household","Waikato","North Island general electorates","Female",5754
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Waikato","North Island general electorates","Female",3153
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Waikato","North Island general electorates","Female",4746
"Not Elsewhere Included(3)","Waikato","North Island general electorates","Female",2961
"No Activities","Wairarapa","North Island general electorates","Female",2061
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Wairarapa","North Island general electorates","Female",22314
"Looking After a Child Who is a Member of Own Household","Wairarapa","North Island general electorates","Female",8289
"Looking After a Member of Own Household Who is Ill or Has a Disability","Wairarapa","North Island general electorates","Female",2196
"Looking After a Child Who Does Not Live in Own Household","Wairarapa","North Island general electorates","Female",5784
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Wairarapa","North Island general electorates","Female",3357
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Wairarapa","North Island general electorates","Female",5088
"Not Elsewhere Included(3)","Wairarapa","North Island general electorates","Female",2682
"No Activities","Wellington Central","North Island general electorates","Female",2031
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Wellington Central","North Island general electorates","Female",24153
"Looking After a Child Who is a Member of Own Household","Wellington Central","North Island general electorates","Female",5406
"Looking After a Member of Own Household Who is Ill or Has a Disability","Wellington Central","North Island general electorates","Female",1284
"Looking After a Child Who Does Not Live in Own Household","Wellington Central","North Island general electorates","Female",3870
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Wellington Central","North Island general electorates","Female",2292
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Wellington Central","North Island general electorates","Female",4881
"Not Elsewhere Included(3)","Wellington Central","North Island general electorates","Female",2196
"No Activities","Whanganui","North Island general electorates","Female",2442
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Whanganui","North Island general electorates","Female",23061
"Looking After a Child Who is a Member of Own Household","Whanganui","North Island general electorates","Female",8910
"Looking After a Member of Own Household Who is Ill or Has a Disability","Whanganui","North Island general electorates","Female",2649
"Looking After a Child Who Does Not Live in Own Household","Whanganui","North Island general electorates","Female",5985
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Whanganui","North Island general electorates","Female",3708
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Whanganui","North Island general electorates","Female",5022
"Not Elsewhere Included(3)","Whanganui","North Island general electorates","Female",3516
"No Activities","Whangarei","North Island general electorates","Female",2253
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Whangarei","North Island general electorates","Female",23991
"Looking After a Child Who is a Member of Own Household","Whangarei","North Island general electorates","Female",9318
"Looking After a Member of Own Household Who is Ill or Has a Disability","Whangarei","North Island general electorates","Female",2736
"Looking After a Child Who Does Not Live in Own Household","Whangarei","North Island general electorates","Female",5937
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Whangarei","North Island general electorates","Female",3594
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Whangarei","North Island general electorates","Female",4926
"Not Elsewhere Included(3)","Whangarei","North Island general electorates","Female",3531
"No Activities","Christchurch Central","South Island general electorates","Female",2499
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Christchurch Central","South Island general electorates","Female",21834
"Looking After a Child Who is a Member of Own Household","Christchurch Central","South Island general electorates","Female",7251
"Looking After a Member of Own Household Who is Ill or Has a Disability","Christchurch Central","South Island general electorates","Female",1806
"Looking After a Child Who Does Not Live in Own Household","Christchurch Central","South Island general electorates","Female",4707
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Christchurch Central","South Island general electorates","Female",2766
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Christchurch Central","South Island general electorates","Female",3486
"Not Elsewhere Included(3)","Christchurch Central","South Island general electorates","Female",2853
"No Activities","Christchurch East","South Island general electorates","Female",1929
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Christchurch East","South Island general electorates","Female",21249
"Looking After a Child Who is a Member of Own Household","Christchurch East","South Island general electorates","Female",8535
"Looking After a Member of Own Household Who is Ill or Has a Disability","Christchurch East","South Island general electorates","Female",2316
"Looking After a Child Who Does Not Live in Own Household","Christchurch East","South Island general electorates","Female",5361
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Christchurch East","South Island general electorates","Female",2838
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Christchurch East","South Island general electorates","Female",3300
"Not Elsewhere Included(3)","Christchurch East","South Island general electorates","Female",2811
"No Activities","Clutha-Southland","South Island general electorates","Female",1626
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Clutha-Southland","South Island general electorates","Female",21297
"Looking After a Child Who is a Member of Own Household","Clutha-Southland","South Island general electorates","Female",7815
"Looking After a Member of Own Household Who is Ill or Has a Disability","Clutha-Southland","South Island general electorates","Female",1593
"Looking After a Child Who Does Not Live in Own Household","Clutha-Southland","South Island general electorates","Female",4965
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Clutha-Southland","South Island general electorates","Female",2289
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Clutha-Southland","South Island general electorates","Female",4746
"Not Elsewhere Included(3)","Clutha-Southland","South Island general electorates","Female",2553
"No Activities","Dunedin North","South Island general electorates","Female",2520
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Dunedin North","South Island general electorates","Female",22569
"Looking After a Child Who is a Member of Own Household","Dunedin North","South Island general electorates","Female",6303
"Looking After a Member of Own Household Who is Ill or Has a Disability","Dunedin North","South Island general electorates","Female",1812
"Looking After a Child Who Does Not Live in Own Household","Dunedin North","South Island general electorates","Female",4476
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Dunedin North","South Island general electorates","Female",2682
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Dunedin North","South Island general electorates","Female",4707
"Not Elsewhere Included(3)","Dunedin North","South Island general electorates","Female",2463
"No Activities","Dunedin South","South Island general electorates","Female",2142
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Dunedin South","South Island general electorates","Female",21231
"Looking After a Child Who is a Member of Own Household","Dunedin South","South Island general electorates","Female",7767
"Looking After a Member of Own Household Who is Ill or Has a Disability","Dunedin South","South Island general electorates","Female",2040
"Looking After a Child Who Does Not Live in Own Household","Dunedin South","South Island general electorates","Female",5043
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Dunedin South","South Island general electorates","Female",3030
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Dunedin South","South Island general electorates","Female",4164
"Not Elsewhere Included(3)","Dunedin South","South Island general electorates","Female",2361
"No Activities","Ilam","South Island general electorates","Female",2313
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Ilam","South Island general electorates","Female",21588
"Looking After a Child Who is a Member of Own Household","Ilam","South Island general electorates","Female",7416
"Looking After a Member of Own Household Who is Ill or Has a Disability","Ilam","South Island general electorates","Female",1839
"Looking After a Child Who Does Not Live in Own Household","Ilam","South Island general electorates","Female",4263
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Ilam","South Island general electorates","Female",2820
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Ilam","South Island general electorates","Female",4209
"Not Elsewhere Included(3)","Ilam","South Island general electorates","Female",2004
"No Activities","Invercargill","South Island general electorates","Female",2013
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Invercargill","South Island general electorates","Female",21480
"Looking After a Child Who is a Member of Own Household","Invercargill","South Island general electorates","Female",8355
"Looking After a Member of Own Household Who is Ill or Has a Disability","Invercargill","South Island general electorates","Female",2022
"Looking After a Child Who Does Not Live in Own Household","Invercargill","South Island general electorates","Female",5922
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Invercargill","South Island general electorates","Female",3057
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Invercargill","South Island general electorates","Female",4233
"Not Elsewhere Included(3)","Invercargill","South Island general electorates","Female",2313
