"level0","level1","level2","Age group and sex","count"
"25–29 Years","Hamilton West","North Island general electorates","Male",2820
"30–34 Years","Hamilton West","North Island general electorates","Male",2559
"35–39 Years","Hamilton West","North Island general electorates","Male",2265
"40–44 Years","Hamilton West","North Island general electorates","Male",2181
"45–49 Years","Hamilton West","North Island general electorates","Male",2088
"50–54 Years","Hamilton West","North Island general electorates","Male",1950
"55–59 Years","Hamilton West","North Island general electorates","Male",1782
"60–64 Years","Hamilton West","North Island general electorates","Male",1599
"65–69 Years","Hamilton West","North Island general electorates","Male",1242
"70–74 Years","Hamilton West","North Island general electorates","Male",849
"75–79 Years","Hamilton West","North Island general electorates","Male",618
"80–84 Years","Hamilton West","North Island general electorates","Male",432
"85 Years And Over","Hamilton West","North Island general electorates","Male",303
"18 Years And Over","Hamilton West","North Island general electorates","Male",24618
"0–4 Years","Helensville","North Island general electorates","Male",2007
"5–9 Years","Helensville","North Island general electorates","Male",2262
"10–14 Years","Helensville","North Island general electorates","Male",2319
"15–19 Years","Helensville","North Island general electorates","Male",2124
"20–24 Years","Helensville","North Island general electorates","Male",1773
"25–29 Years","Helensville","North Island general electorates","Male",1362
"30–34 Years","Helensville","North Island general electorates","Male",1425
"35–39 Years","Helensville","North Island general electorates","Male",1860
"40–44 Years","Helensville","North Island general electorates","Male",2613
"45–49 Years","Helensville","North Island general electorates","Male",2784
"50–54 Years","Helensville","North Island general electorates","Male",2613
"55–59 Years","Helensville","North Island general electorates","Male",2052
"60–64 Years","Helensville","North Island general electorates","Male",1758
"65–69 Years","Helensville","North Island general electorates","Male",1392
"70–74 Years","Helensville","North Island general electorates","Male",885
"75–79 Years","Helensville","North Island general electorates","Male",486
"80–84 Years","Helensville","North Island general electorates","Male",279
"85 Years And Over","Helensville","North Island general electorates","Male",210
"18 Years And Over","Helensville","North Island general electorates","Male",22302
"0–4 Years","Hunua","North Island general electorates","Male",2382
"5–9 Years","Hunua","North Island general electorates","Male",2676
"10–14 Years","Hunua","North Island general electorates","Male",2625
"15–19 Years","Hunua","North Island general electorates","Male",2316
"20–24 Years","Hunua","North Island general electorates","Male",1716
"25–29 Years","Hunua","North Island general electorates","Male",1446
"30–34 Years","Hunua","North Island general electorates","Male",1554
"35–39 Years","Hunua","North Island general electorates","Male",1968
"40–44 Years","Hunua","North Island general electorates","Male",2493
"45–49 Years","Hunua","North Island general electorates","Male",2532
"50–54 Years","Hunua","North Island general electorates","Male",2403
"55–59 Years","Hunua","North Island general electorates","Male",1968
"60–64 Years","Hunua","North Island general electorates","Male",1761
"65–69 Years","Hunua","North Island general electorates","Male",1446
"70–74 Years","Hunua","North Island general electorates","Male",1107
"75–79 Years","Hunua","North Island general electorates","Male",702
"80–84 Years","Hunua","North Island general electorates","Male",441
"85 Years And Over","Hunua","North Island general electorates","Male",306
"18 Years And Over","Hunua","North Island general electorates","Male",22662
"0–4 Years","Hutt South","North Island general electorates","Male",2472
"5–9 Years","Hutt South","North Island general electorates","Male",2442
"10–14 Years","Hutt South","North Island general electorates","Male",2343
"15–19 Years","Hutt South","North Island general electorates","Male",2340
"20–24 Years","Hutt South","North Island general electorates","Male",2175
"25–29 Years","Hutt South","North Island general electorates","Male",1941
"30–34 Years","Hutt South","North Island general electorates","Male",2145
"35–39 Years","Hutt South","North Island general electorates","Male",2214
"40–44 Years","Hutt South","North Island general electorates","Male",2496
"45–49 Years","Hutt South","North Island general electorates","Male",2454
"50–54 Years","Hutt South","North Island general electorates","Male",2541
"55–59 Years","Hutt South","North Island general electorates","Male",2148
"60–64 Years","Hutt South","North Island general electorates","Male",1827
"65–69 Years","Hutt South","North Island general electorates","Male",1461
"70–74 Years","Hutt South","North Island general electorates","Male",1053
"75–79 Years","Hutt South","North Island general electorates","Male",690
"80–84 Years","Hutt South","North Island general electorates","Male",462
"85 Years And Over","Hutt South","North Island general electorates","Male",336
"18 Years And Over","Hutt South","North Island general electorates","Male",24867
"0–4 Years","Kelston","North Island general electorates","Male",2844
"5–9 Years","Kelston","North Island general electorates","Male",2418
"10–14 Years","Kelston","North Island general electorates","Male",2214
"15–19 Years","Kelston","North Island general electorates","Male",2286
"20–24 Years","Kelston","North Island general electorates","Male",2361
"25–29 Years","Kelston","North Island general electorates","Male",2178
"30–34 Years","Kelston","North Island general electorates","Male",2301
"35–39 Years","Kelston","North Island general electorates","Male",2217
"40–44 Years","Kelston","North Island general electorates","Male",2268
"45–49 Years","Kelston","North Island general electorates","Male",2040
"50–54 Years","Kelston","North Island general electorates","Male",1938
"55–59 Years","Kelston","North Island general electorates","Male",1584
"60–64 Years","Kelston","North Island general electorates","Male",1245
"65–69 Years","Kelston","North Island general electorates","Male",975
"70–74 Years","Kelston","North Island general electorates","Male",711
"75–79 Years","Kelston","North Island general electorates","Male",432
"80–84 Years","Kelston","North Island general electorates","Male",315
"85 Years And Over","Kelston","North Island general electorates","Male",177
"18 Years And Over","Kelston","North Island general electorates","Male",21690
"0–4 Years","Mana","North Island general electorates","Male",2868
"5–9 Years","Mana","North Island general electorates","Male",2742
"10–14 Years","Mana","North Island general electorates","Male",2712
"15–19 Years","Mana","North Island general electorates","Male",2568
"20–24 Years","Mana","North Island general electorates","Male",1977
"25–29 Years","Mana","North Island general electorates","Male",1602
"30–34 Years","Mana","North Island general electorates","Male",1839
"35–39 Years","Mana","North Island general electorates","Male",2172
"40–44 Years","Mana","North Island general electorates","Male",2538
"45–49 Years","Mana","North Island general electorates","Male",2511
"50–54 Years","Mana","North Island general electorates","Male",2250
"55–59 Years","Mana","North Island general electorates","Male",2061
"60–64 Years","Mana","North Island general electorates","Male",1710
"65–69 Years","Mana","North Island general electorates","Male",1395
"70–74 Years","Mana","North Island general electorates","Male",987
"75–79 Years","Mana","North Island general electorates","Male",597
"80–84 Years","Mana","North Island general electorates","Male",429
"85 Years And Over","Mana","North Island general electorates","Male",297
"18 Years And Over","Mana","North Island general electorates","Male",23325
"0–4 Years","Mangere","North Island general electorates","Male",3321
"5–9 Years","Mangere","North Island general electorates","Male",3108
"10–14 Years","Mangere","North Island general electorates","Male",3111
"15–19 Years","Mangere","North Island general electorates","Male",3054
"20–24 Years","Mangere","North Island general electorates","Male",2682
"25–29 Years","Mangere","North Island general electorates","Male",2103
"30–34 Years","Mangere","North Island general electorates","Male",1974
"35–39 Years","Mangere","North Island general electorates","Male",1842
"40–44 Years","Mangere","North Island general electorates","Male",2064
"45–49 Years","Mangere","North Island general electorates","Male",1989
"50–54 Years","Mangere","North Island general electorates","Male",1701
"55–59 Years","Mangere","North Island general electorates","Male",1368
"60–64 Years","Mangere","North Island general electorates","Male",1200
"65–69 Years","Mangere","North Island general electorates","Male",972
"70–74 Years","Mangere","North Island general electorates","Male",711
"75–79 Years","Mangere","North Island general electorates","Male",450
"80–84 Years","Mangere","North Island general electorates","Male",243
"85 Years And Over","Mangere","North Island general electorates","Male",144
"18 Years And Over","Mangere","North Island general electorates","Male",20643
"0–4 Years","Manukau East","North Island general electorates","Male",3057
"5–9 Years","Manukau East","North Island general electorates","Male",2721
"10–14 Years","Manukau East","North Island general electorates","Male",2652
"15–19 Years","Manukau East","North Island general electorates","Male",2775
