"level0","level1","level2","Age group and sex","count"
"0–4 Years","Auckland Central","North Island general electorates","Female",1074
"5–9 Years","Auckland Central","North Island general electorates","Female",849
"10–14 Years","Auckland Central","North Island general electorates","Female",741
"15–19 Years","Auckland Central","North Island general electorates","Female",2547
"20–24 Years","Auckland Central","North Island general electorates","Female",4974
"25–29 Years","Auckland Central","North Island general electorates","Female",4575
"30–34 Years","Auckland Central","North Island general electorates","Female",3153
"35–39 Years","Auckland Central","North Island general electorates","Female",2073
"40–44 Years","Auckland Central","North Island general electorates","Female",1755
"45–49 Years","Auckland Central","North Island general electorates","Female",1590
"50–54 Years","Auckland Central","North Island general electorates","Female",1569
"55–59 Years","Auckland Central","North Island general electorates","Female",1386
"60–64 Years","Auckland Central","North Island general electorates","Female",1257
"65–69 Years","Auckland Central","North Island general electorates","Female",939
"70–74 Years","Auckland Central","North Island general electorates","Female",540
"75–79 Years","Auckland Central","North Island general electorates","Female",276
"80–84 Years","Auckland Central","North Island general electorates","Female",225
"85 Years And Over","Auckland Central","North Island general electorates","Female",213
"18 Years And Over","Auckland Central","North Island general electorates","Female",26400
"0–4 Years","Bay of Plenty","North Island general electorates","Female",2223
"5–9 Years","Bay of Plenty","North Island general electorates","Female",2394
"10–14 Years","Bay of Plenty","North Island general electorates","Female",2319
"15–19 Years","Bay of Plenty","North Island general electorates","Female",1905
"20–24 Years","Bay of Plenty","North Island general electorates","Female",1539
"25–29 Years","Bay of Plenty","North Island general electorates","Female",1602
"30–34 Years","Bay of Plenty","North Island general electorates","Female",1767
"35–39 Years","Bay of Plenty","North Island general electorates","Female",2145
"40–44 Years","Bay of Plenty","North Island general electorates","Female",2511
"45–49 Years","Bay of Plenty","North Island general electorates","Female",2427
"50–54 Years","Bay of Plenty","North Island general electorates","Female",2397
"55–59 Years","Bay of Plenty","North Island general electorates","Female",2232
"60–64 Years","Bay of Plenty","North Island general electorates","Female",1965
"65–69 Years","Bay of Plenty","North Island general electorates","Female",1968
"70–74 Years","Bay of Plenty","North Island general electorates","Female",1659
"75–79 Years","Bay of Plenty","North Island general electorates","Female",1104
"80–84 Years","Bay of Plenty","North Island general electorates","Female",828
"85 Years And Over","Bay of Plenty","North Island general electorates","Female",744
"18 Years And Over","Bay of Plenty","North Island general electorates","Female",25473
"0–4 Years","Botany","North Island general electorates","Female",2028
"5–9 Years","Botany","North Island general electorates","Female",2172
"10–14 Years","Botany","North Island general electorates","Female",2325
"15–19 Years","Botany","North Island general electorates","Female",2343
"20–24 Years","Botany","North Island general electorates","Female",2169
"25–29 Years","Botany","North Island general electorates","Female",2205
"30–34 Years","Botany","North Island general electorates","Female",2325
"35–39 Years","Botany","North Island general electorates","Female",2175
"40–44 Years","Botany","North Island general electorates","Female",2613
"45–49 Years","Botany","North Island general electorates","Female",2664
"50–54 Years","Botany","North Island general electorates","Female",2328
"55–59 Years","Botany","North Island general electorates","Female",2019
"60–64 Years","Botany","North Island general electorates","Female",1716
"65–69 Years","Botany","North Island general electorates","Female",1317
"70–74 Years","Botany","North Island general electorates","Female",930
"75–79 Years","Botany","North Island general electorates","Female",642
"80–84 Years","Botany","North Island general electorates","Female",432
"85 Years And Over","Botany","North Island general electorates","Female",363
"18 Years And Over","Botany","North Island general electorates","Female",24795
"0–4 Years","Coromandel","North Island general electorates","Female",1881
"5–9 Years","Coromandel","North Island general electorates","Female",1950
"10–14 Years","Coromandel","North Island general electorates","Female",2058
"15–19 Years","Coromandel","North Island general electorates","Female",1659
"20–24 Years","Coromandel","North Island general electorates","Female",1251
"25–29 Years","Coromandel","North Island general electorates","Female",1338
"30–34 Years","Coromandel","North Island general electorates","Female",1317
"35–39 Years","Coromandel","North Island general electorates","Female",1737
"40–44 Years","Coromandel","North Island general electorates","Female",2124
"45–49 Years","Coromandel","North Island general electorates","Female",2361
"50–54 Years","Coromandel","North Island general electorates","Female",2598
"55–59 Years","Coromandel","North Island general electorates","Female",2538
"60–64 Years","Coromandel","North Island general electorates","Female",2703
"65–69 Years","Coromandel","North Island general electorates","Female",2661
"70–74 Years","Coromandel","North Island general electorates","Female",2103
"75–79 Years","Coromandel","North Island general electorates","Female",1422
"80–84 Years","Coromandel","North Island general electorates","Female",1002
"85 Years And Over","Coromandel","North Island general electorates","Female",981
"18 Years And Over","Coromandel","North Island general electorates","Female",26637
"0–4 Years","East Coast","North Island general electorates","Female",3582
"5–9 Years","East Coast","North Island general electorates","Female",3726
"10–14 Years","East Coast","North Island general electorates","Female",3693
"15–19 Years","East Coast","North Island general electorates","Female",3204
"20–24 Years","East Coast","North Island general electorates","Female",2643
"25–29 Years","East Coast","North Island general electorates","Female",2508
"30–34 Years","East Coast","North Island general electorates","Female",2646
"35–39 Years","East Coast","North Island general electorates","Female",2838
"40–44 Years","East Coast","North Island general electorates","Female",3411
"45–49 Years","East Coast","North Island general electorates","Female",3315
"50–54 Years","East Coast","North Island general electorates","Female",3573
"55–59 Years","East Coast","North Island general electorates","Female",3267
"60–64 Years","East Coast","North Island general electorates","Female",2847
"65–69 Years","East Coast","North Island general electorates","Female",2385
"70–74 Years","East Coast","North Island general electorates","Female",1923
"75–79 Years","East Coast","North Island general electorates","Female",1329
"80–84 Years","East Coast","North Island general electorates","Female",1005
"85 Years And Over","East Coast","North Island general electorates","Female",900
"18 Years And Over","East Coast","North Island general electorates","Female",35613
"0–4 Years","East Coast Bays","North Island general electorates","Female",1767
"5–9 Years","East Coast Bays","North Island general electorates","Female",1839
"10–14 Years","East Coast Bays","North Island general electorates","Female",2010
"15–19 Years","East Coast Bays","North Island general electorates","Female",2349
"20–24 Years","East Coast Bays","North Island general electorates","Female",2097
"25–29 Years","East Coast Bays","North Island general electorates","Female",1770
"30–34 Years","East Coast Bays","North Island general electorates","Female",1806
"35–39 Years","East Coast Bays","North Island general electorates","Female",1950
"40–44 Years","East Coast Bays","North Island general electorates","Female",2715
"45–49 Years","East Coast Bays","North Island general electorates","Female",2520
"50–54 Years","East Coast Bays","North Island general electorates","Female",2301
"55–59 Years","East Coast Bays","North Island general electorates","Female",1911
"60–64 Years","East Coast Bays","North Island general electorates","Female",1548
"65–69 Years","East Coast Bays","North Island general electorates","Female",1224
"70–74 Years","East Coast Bays","North Island general electorates","Female",939
"75–79 Years","East Coast Bays","North Island general electorates","Female",699
"80–84 Years","East Coast Bays","North Island general electorates","Female",558
"85 Years And Over","East Coast Bays","North Island general electorates","Female",744
"18 Years And Over","East Coast Bays","North Island general electorates","Female",23742
"0–4 Years","Epsom","North Island general electorates","Female",1083
"5–9 Years","Epsom","North Island general electorates","Female",1740
"10–14 Years","Epsom","North Island general electorates","Female",2403
"15–19 Years","Epsom","North Island general electorates","Female",2532
"20–24 Years","Epsom","North Island general electorates","Female",2682
"25–29 Years","Epsom","North Island general electorates","Female",2298
"30–34 Years","Epsom","North Island general electorates","Female",1881
"35–39 Years","Epsom","North Island general electorates","Female",1794
"40–44 Years","Epsom","North Island general electorates","Female",2640
"45–49 Years","Epsom","North Island general electorates","Female",2907
"50–54 Years","Epsom","North Island general electorates","Female",2481
"55–59 Years","Epsom","North Island general electorates","Female",1875
"60–64 Years","Epsom","North Island general electorates","Female",1662
"65–69 Years","Epsom","North Island general electorates","Female",1230
"70–74 Years","Epsom","North Island general electorates","Female",930
"75–79 Years","Epsom","North Island general electorates","Female",603
"80–84 Years","Epsom","North Island general electorates","Female",516
"85 Years And Over","Epsom","North Island general electorates","Female",750
"18 Years And Over","Epsom","North Island general electorates","Female",25140
"0–4 Years","Hamilton East","North Island general electorates","Female",2475
"5–9 Years","Hamilton East","North Island general electorates","Female",2355
"10–14 Years","Hamilton East","North Island general electorates","Female",2346
"15–19 Years","Hamilton East","North Island general electorates","Female",3375
"20–24 Years","Hamilton East","North Island general electorates","Female",3789
"25–29 Years","Hamilton East","North Island general electorates","Female",2430
"30–34 Years","Hamilton East","North Island general electorates","Female",2424
"35–39 Years","Hamilton East","North Island general electorates","Female",2358
"40–44 Years","Hamilton East","North Island general electorates","Female",2586
"45–49 Years","Hamilton East","North Island general electorates","Female",2355
"50–54 Years","Hamilton East","North Island general electorates","Female",2247
"55–59 Years","Hamilton East","North Island general electorates","Female",1881
"60–64 Years","Hamilton East","North Island general electorates","Female",1629
"65–69 Years","Hamilton East","North Island general electorates","Female",1353
"70–74 Years","Hamilton East","North Island general electorates","Female",1086
"75–79 Years","Hamilton East","North Island general electorates","Female",843
"80–84 Years","Hamilton East","North Island general electorates","Female",765
"85 Years And Over","Hamilton East","North Island general electorates","Female",789
"18 Years And Over","Hamilton East","North Island general electorates","Female",28293
"0–4 Years","Hamilton West","North Island general electorates","Female",2889
"5–9 Years","Hamilton West","North Island general electorates","Female",2571
"10–14 Years","Hamilton West","North Island general electorates","Female",2355
"15–19 Years","Hamilton West","North Island general electorates","Female",2448
"20–24 Years","Hamilton West","North Island general electorates","Female",3168
"25–29 Years","Hamilton West","North Island general electorates","Female",3273
"30–34 Years","Hamilton West","North Island general electorates","Female",2733
"35–39 Years","Hamilton West","North Island general electorates","Female",2418
"40–44 Years","Hamilton West","North Island general electorates","Female",2433
"45–49 Years","Hamilton West","North Island general electorates","Female",2265
"50–54 Years","Hamilton West","North Island general electorates","Female",2292
"55–59 Years","Hamilton West","North Island general electorates","Female",2034
"60–64 Years","Hamilton West","North Island general electorates","Female",1770
"65–69 Years","Hamilton West","North Island general electorates","Female",1368
"70–74 Years","Hamilton West","North Island general electorates","Female",1002
"75–79 Years","Hamilton West","North Island general electorates","Female",735
"80–84 Years","Hamilton West","North Island general electorates","Female",660
"85 Years And Over","Hamilton West","North Island general electorates","Female",555
"18 Years And Over","Hamilton West","North Island general electorates","Female",27729
"0–4 Years","Helensville","North Island general electorates","Female",1803
"5–9 Years","Helensville","North Island general electorates","Female",2151
"10–14 Years","Helensville","North Island general electorates","Female",2187
"15–19 Years","Helensville","North Island general electorates","Female",2046
"20–24 Years","Helensville","North Island general electorates","Female",1647
"25–29 Years","Helensville","North Island general electorates","Female",1380
"30–34 Years","Helensville","North Island general electorates","Female",1620
"35–39 Years","Helensville","North Island general electorates","Female",2115
"40–44 Years","Helensville","North Island general electorates","Female",2877
"45–49 Years","Helensville","North Island general electorates","Female",2796
"50–54 Years","Helensville","North Island general electorates","Female",2604
"55–59 Years","Helensville","North Island general electorates","Female",2049
"60–64 Years","Helensville","North Island general electorates","Female",1731
"65–69 Years","Helensville","North Island general electorates","Female",1296
"70–74 Years","Helensville","North Island general electorates","Female",801
"75–79 Years","Helensville","North Island general electorates","Female",459
"80–84 Years","Helensville","North Island general electorates","Female",282
"85 Years And Over","Helensville","North Island general electorates","Female",267
"18 Years And Over","Helensville","North Island general electorates","Female",22680
"0–4 Years","Hunua","North Island general electorates","Female",2277
"5–9 Years","Hunua","North Island general electorates","Female",2364
"10–14 Years","Hunua","North Island general electorates","Female",2496
"15–19 Years","Hunua","North Island general electorates","Female",2115
"20–24 Years","Hunua","North Island general electorates","Female",1662
"25–29 Years","Hunua","North Island general electorates","Female",1545
"30–34 Years","Hunua","North Island general electorates","Female",1848
"35–39 Years","Hunua","North Island general electorates","Female",2292
"40–44 Years","Hunua","North Island general electorates","Female",2877
"45–49 Years","Hunua","North Island general electorates","Female",2622
"50–54 Years","Hunua","North Island general electorates","Female",2466
"55–59 Years","Hunua","North Island general electorates","Female",1971
"60–64 Years","Hunua","North Island general electorates","Female",1830
"65–69 Years","Hunua","North Island general electorates","Female",1512
"70–74 Years","Hunua","North Island general electorates","Female",1152
"75–79 Years","Hunua","North Island general electorates","Female",705
"80–84 Years","Hunua","North Island general electorates","Female",531
"85 Years And Over","Hunua","North Island general electorates","Female",546
"18 Years And Over","Hunua","North Island general electorates","Female",24315
"0–4 Years","Hutt South","North Island general electorates","Female",2430
"5–9 Years","Hutt South","North Island general electorates","Female",2343
"10–14 Years","Hutt South","North Island general electorates","Female",2289
"15–19 Years","Hutt South","North Island general electorates","Female",2214
"20–24 Years","Hutt South","North Island general electorates","Female",2235
"25–29 Years","Hutt South","North Island general electorates","Female",2106
"30–34 Years","Hutt South","North Island general electorates","Female",2358
"35–39 Years","Hutt South","North Island general electorates","Female",2493
"40–44 Years","Hutt South","North Island general electorates","Female",2859
"45–49 Years","Hutt South","North Island general electorates","Female",2712
"50–54 Years","Hutt South","North Island general electorates","Female",2670
"55–59 Years","Hutt South","North Island general electorates","Female",2241
"60–64 Years","Hutt South","North Island general electorates","Female",1869
"65–69 Years","Hutt South","North Island general electorates","Female",1491
"70–74 Years","Hutt South","North Island general electorates","Female",1218
"75–79 Years","Hutt South","North Island general electorates","Female",831
"80–84 Years","Hutt South","North Island general electorates","Female",654
"85 Years And Over","Hutt South","North Island general electorates","Female",564
"18 Years And Over","Hutt South","North Island general electorates","Female",27144
"0–4 Years","Kelston","North Island general electorates","Female",2649
"5–9 Years","Kelston","North Island general electorates","Female",2166
"10–14 Years","Kelston","North Island general electorates","Female",2139
"15–19 Years","Kelston","North Island general electorates","Female",2340
"20–24 Years","Kelston","North Island general electorates","Female",2514
"25–29 Years","Kelston","North Island general electorates","Female",2514
"30–34 Years","Kelston","North Island general electorates","Female",2583
"35–39 Years","Kelston","North Island general electorates","Female",2415
"40–44 Years","Kelston","North Island general electorates","Female",2496
"45–49 Years","Kelston","North Island general electorates","Female",2286
"50–54 Years","Kelston","North Island general electorates","Female",2181
"55–59 Years","Kelston","North Island general electorates","Female",1788
"60–64 Years","Kelston","North Island general electorates","Female",1326
"65–69 Years","Kelston","North Island general electorates","Female",1080
"70–74 Years","Kelston","North Island general electorates","Female",768
"75–79 Years","Kelston","North Island general electorates","Female",582
"80–84 Years","Kelston","North Island general electorates","Female",402
"85 Years And Over","Kelston","North Island general electorates","Female",360
"18 Years And Over","Kelston","North Island general electorates","Female",24285
"0–4 Years","Mana","North Island general electorates","Female",2751
"5–9 Years","Mana","North Island general electorates","Female",2754
"10–14 Years","Mana","North Island general electorates","Female",2586
"15–19 Years","Mana","North Island general electorates","Female",2403
"20–24 Years","Mana","North Island general electorates","Female",2172
"25–29 Years","Mana","North Island general electorates","Female",1857
"30–34 Years","Mana","North Island general electorates","Female",2208
"35–39 Years","Mana","North Island general electorates","Female",2598
"40–44 Years","Mana","North Island general electorates","Female",2925
"45–49 Years","Mana","North Island general electorates","Female",2691
"50–54 Years","Mana","North Island general electorates","Female",2604
"55–59 Years","Mana","North Island general electorates","Female",2118
"60–64 Years","Mana","North Island general electorates","Female",1887
"65–69 Years","Mana","North Island general electorates","Female",1434
"70–74 Years","Mana","North Island general electorates","Female",1080
"75–79 Years","Mana","North Island general electorates","Female",732
"80–84 Years","Mana","North Island general electorates","Female",585
"85 Years And Over","Mana","North Island general electorates","Female",534
"18 Years And Over","Mana","North Island general electorates","Female",26334
"0–4 Years","Mangere","North Island general electorates","Female",3183
"5–9 Years","Mangere","North Island general electorates","Female",3021
"10–14 Years","Mangere","North Island general electorates","Female",3030
"15–19 Years","Mangere","North Island general electorates","Female",2949
"20–24 Years","Mangere","North Island general electorates","Female",2844
"25–29 Years","Mangere","North Island general electorates","Female",2493
"30–34 Years","Mangere","North Island general electorates","Female",2295
"35–39 Years","Mangere","North Island general electorates","Female",2175
"40–44 Years","Mangere","North Island general electorates","Female",2310
"45–49 Years","Mangere","North Island general electorates","Female",2103
"50–54 Years","Mangere","North Island general electorates","Female",1857
"55–59 Years","Mangere","North Island general electorates","Female",1503
"60–64 Years","Mangere","North Island general electorates","Female",1332
"65–69 Years","Mangere","North Island general electorates","Female",1038
"70–74 Years","Mangere","North Island general electorates","Female",792
"75–79 Years","Mangere","North Island general electorates","Female",516
"80–84 Years","Mangere","North Island general electorates","Female",318
"85 Years And Over","Mangere","North Island general electorates","Female",228
"18 Years And Over","Mangere","North Island general electorates","Female",22953
"0–4 Years","Manukau East","North Island general electorates","Female",2925
"5–9 Years","Manukau East","North Island general electorates","Female",2559
"10–14 Years","Manukau East","North Island general electorates","Female",2592
"15–19 Years","Manukau East","North Island general electorates","Female",2670
"20–24 Years","Manukau East","North Island general electorates","Female",2880
"25–29 Years","Manukau East","North Island general electorates","Female",2610
"30–34 Years","Manukau East","North Island general electorates","Female",2448
"35–39 Years","Manukau East","North Island general electorates","Female",2250
"40–44 Years","Manukau East","North Island general electorates","Female",2223
"45–49 Years","Manukau East","North Island general electorates","Female",2100
"50–54 Years","Manukau East","North Island general electorates","Female",1953
"55–59 Years","Manukau East","North Island general electorates","Female",1557
"60–64 Years","Manukau East","North Island general electorates","Female",1290
"65–69 Years","Manukau East","North Island general electorates","Female",1020
"70–74 Years","Manukau East","North Island general electorates","Female",825
"75–79 Years","Manukau East","North Island general electorates","Female",600
"80–84 Years","Manukau East","North Island general electorates","Female",408
"85 Years And Over","Manukau East","North Island general electorates","Female",336
"18 Years And Over","Manukau East","North Island general electorates","Female",23616
"0–4 Years","Manurewa","North Island general electorates","Female",3507
"5–9 Years","Manurewa","North Island general electorates","Female",3150
"10–14 Years","Manurewa","North Island general electorates","Female",2949
"15–19 Years","Manurewa","North Island general electorates","Female",3051
"20–24 Years","Manurewa","North Island general electorates","Female",3174
"25–29 Years","Manurewa","North Island general electorates","Female",2967
"30–34 Years","Manurewa","North Island general electorates","Female",2739
"35–39 Years","Manurewa","North Island general electorates","Female",2421
"40–44 Years","Manurewa","North Island general electorates","Female",2472
"45–49 Years","Manurewa","North Island general electorates","Female",2406
"50–54 Years","Manurewa","North Island general electorates","Female",2292
"55–59 Years","Manurewa","North Island general electorates","Female",1866
"60–64 Years","Manurewa","North Island general electorates","Female",1491
"65–69 Years","Manurewa","North Island general electorates","Female",1116
"70–74 Years","Manurewa","North Island general electorates","Female",741
"75–79 Years","Manurewa","North Island general electorates","Female",480
"80–84 Years","Manurewa","North Island general electorates","Female",399
"85 Years And Over","Manurewa","North Island general electorates","Female",306
"18 Years And Over","Manurewa","North Island general electorates","Female",26106
"0–4 Years","Maungakiekie","North Island general electorates","Female",2808
"5–9 Years","Maungakiekie","North Island general electorates","Female",2208
"10–14 Years","Maungakiekie","North Island general electorates","Female",1827
"15–19 Years","Maungakiekie","North Island general electorates","Female",1938
"20–24 Years","Maungakiekie","North Island general electorates","Female",2754
"25–29 Years","Maungakiekie","North Island general electorates","Female",3174
"30–34 Years","Maungakiekie","North Island general electorates","Female",3363
"35–39 Years","Maungakiekie","North Island general electorates","Female",2859
"40–44 Years","Maungakiekie","North Island general electorates","Female",2538
"45–49 Years","Maungakiekie","North Island general electorates","Female",2214
"50–54 Years","Maungakiekie","North Island general electorates","Female",2064
"55–59 Years","Maungakiekie","North Island general electorates","Female",1860
"60–64 Years","Maungakiekie","North Island general electorates","Female",1560
"65–69 Years","Maungakiekie","North Island general electorates","Female",1173
"70–74 Years","Maungakiekie","North Island general electorates","Female",927
"75–79 Years","Maungakiekie","North Island general electorates","Female",600
"80–84 Years","Maungakiekie","North Island general electorates","Female",501
"85 Years And Over","Maungakiekie","North Island general electorates","Female",645
"18 Years And Over","Maungakiekie","North Island general electorates","Female",27087
"0–4 Years","Mt Albert","North Island general electorates","Female",2277
"5–9 Years","Mt Albert","North Island general electorates","Female",1983
"10–14 Years","Mt Albert","North Island general electorates","Female",1578
"15–19 Years","Mt Albert","North Island general electorates","Female",1770
"20–24 Years","Mt Albert","North Island general electorates","Female",2808
"25–29 Years","Mt Albert","North Island general electorates","Female",3225
"30–34 Years","Mt Albert","North Island general electorates","Female",3078
"35–39 Years","Mt Albert","North Island general electorates","Female",2964
"40–44 Years","Mt Albert","North Island general electorates","Female",2817
"45–49 Years","Mt Albert","North Island general electorates","Female",2307
"50–54 Years","Mt Albert","North Island general electorates","Female",2028
"55–59 Years","Mt Albert","North Island general electorates","Female",1575
"60–64 Years","Mt Albert","North Island general electorates","Female",1206
"65–69 Years","Mt Albert","North Island general electorates","Female",822
"70–74 Years","Mt Albert","North Island general electorates","Female",639
"75–79 Years","Mt Albert","North Island general electorates","Female",495
"80–84 Years","Mt Albert","North Island general electorates","Female",405
"85 Years And Over","Mt Albert","North Island general electorates","Female",570
"18 Years And Over","Mt Albert","North Island general electorates","Female",25785
"0–4 Years","Mt Roskill","North Island general electorates","Female",2037
"5–9 Years","Mt Roskill","North Island general electorates","Female",1938
"10–14 Years","Mt Roskill","North Island general electorates","Female",1815
"15–19 Years","Mt Roskill","North Island general electorates","Female",2172
"20–24 Years","Mt Roskill","North Island general electorates","Female",2694
"25–29 Years","Mt Roskill","North Island general electorates","Female",2532
"30–34 Years","Mt Roskill","North Island general electorates","Female",2373
"35–39 Years","Mt Roskill","North Island general electorates","Female",2217
"40–44 Years","Mt Roskill","North Island general electorates","Female",2364
"45–49 Years","Mt Roskill","North Island general electorates","Female",2244
"50–54 Years","Mt Roskill","North Island general electorates","Female",2235
"55–59 Years","Mt Roskill","North Island general electorates","Female",1824
"60–64 Years","Mt Roskill","North Island general electorates","Female",1446
"65–69 Years","Mt Roskill","North Island general electorates","Female",1122
"70–74 Years","Mt Roskill","North Island general electorates","Female",885
"75–79 Years","Mt Roskill","North Island general electorates","Female",663
"80–84 Years","Mt Roskill","North Island general electorates","Female",516
"85 Years And Over","Mt Roskill","North Island general electorates","Female",705
"18 Years And Over","Mt Roskill","North Island general electorates","Female",24759
"0–4 Years","Napier","North Island general electorates","Female",2385
"5–9 Years","Napier","North Island general electorates","Female",2478
"10–14 Years","Napier","North Island general electorates","Female",2466
"15–19 Years","Napier","North Island general electorates","Female",2265
"20–24 Years","Napier","North Island general electorates","Female",1956
"25–29 Years","Napier","North Island general electorates","Female",1779
"30–34 Years","Napier","North Island general electorates","Female",1881
"35–39 Years","Napier","North Island general electorates","Female",2223
"40–44 Years","Napier","North Island general electorates","Female",2517
"45–49 Years","Napier","North Island general electorates","Female",2580
"50–54 Years","Napier","North Island general electorates","Female",2763
"55–59 Years","Napier","North Island general electorates","Female",2424
"60–64 Years","Napier","North Island general electorates","Female",2427
"65–69 Years","Napier","North Island general electorates","Female",2022
"70–74 Years","Napier","North Island general electorates","Female",1572
"75–79 Years","Napier","North Island general electorates","Female",1188
"80–84 Years","Napier","North Island general electorates","Female",948
"85 Years And Over","Napier","North Island general electorates","Female",1011
"18 Years And Over","Napier","North Island general electorates","Female",28014
"0–4 Years","New Lynn","North Island general electorates","Female",2088
"5–9 Years","New Lynn","North Island general electorates","Female",1809
"10–14 Years","New Lynn","North Island general electorates","Female",1746
"15–19 Years","New Lynn","North Island general electorates","Female",2034
"20–24 Years","New Lynn","North Island general electorates","Female",2214
"25–29 Years","New Lynn","North Island general electorates","Female",2220
"30–34 Years","New Lynn","North Island general electorates","Female",2427
"35–39 Years","New Lynn","North Island general electorates","Female",2169
"40–44 Years","New Lynn","North Island general electorates","Female",2394
"45–49 Years","New Lynn","North Island general electorates","Female",2331
"50–54 Years","New Lynn","North Island general electorates","Female",2070
"55–59 Years","New Lynn","North Island general electorates","Female",1734
"60–64 Years","New Lynn","North Island general electorates","Female",1464
"65–69 Years","New Lynn","North Island general electorates","Female",1218
"70–74 Years","New Lynn","North Island general electorates","Female",1095
"75–79 Years","New Lynn","North Island general electorates","Female",918
"80–84 Years","New Lynn","North Island general electorates","Female",720
"85 Years And Over","New Lynn","North Island general electorates","Female",726
"18 Years And Over","New Lynn","North Island general electorates","Female",24558
"0–4 Years","New Plymouth","North Island general electorates","Female",2328
"5–9 Years","New Plymouth","North Island general electorates","Female",2238
"10–14 Years","New Plymouth","North Island general electorates","Female",2247
"15–19 Years","New Plymouth","North Island general electorates","Female",2061
"20–24 Years","New Plymouth","North Island general electorates","Female",1872
"25–29 Years","New Plymouth","North Island general electorates","Female",1914
"30–34 Years","New Plymouth","North Island general electorates","Female",1944
"35–39 Years","New Plymouth","North Island general electorates","Female",2289
"40–44 Years","New Plymouth","North Island general electorates","Female",2574
"45–49 Years","New Plymouth","North Island general electorates","Female",2409
"50–54 Years","New Plymouth","North Island general electorates","Female",2625
"55–59 Years","New Plymouth","North Island general electorates","Female",2382
"60–64 Years","New Plymouth","North Island general electorates","Female",2112
"65–69 Years","New Plymouth","North Island general electorates","Female",1797
"70–74 Years","New Plymouth","North Island general electorates","Female",1362
"75–79 Years","New Plymouth","North Island general electorates","Female",1182
"80–84 Years","New Plymouth","North Island general electorates","Female",993
"85 Years And Over","New Plymouth","North Island general electorates","Female",1125
"18 Years And Over","New Plymouth","North Island general electorates","Female",27234
"0–4 Years","North Shore","North Island general electorates","Female",1833
"5–9 Years","North Shore","North Island general electorates","Female",1935
"10–14 Years","North Shore","North Island general electorates","Female",2013
"15–19 Years","North Shore","North Island general electorates","Female",2232
"20–24 Years","North Shore","North Island general electorates","Female",2103
"25–29 Years","North Shore","North Island general electorates","Female",1785
"30–34 Years","North Shore","North Island general electorates","Female",1902
"35–39 Years","North Shore","North Island general electorates","Female",2154
"40–44 Years","North Shore","North Island general electorates","Female",2646
"45–49 Years","North Shore","North Island general electorates","Female",2739
"50–54 Years","North Shore","North Island general electorates","Female",2565
"55–59 Years","North Shore","North Island general electorates","Female",2106
"60–64 Years","North Shore","North Island general electorates","Female",1896
"65–69 Years","North Shore","North Island general electorates","Female",1623
"70–74 Years","North Shore","North Island general electorates","Female",1191
"75–79 Years","North Shore","North Island general electorates","Female",885
"80–84 Years","North Shore","North Island general electorates","Female",795
"85 Years And Over","North Shore","North Island general electorates","Female",996
"18 Years And Over","North Shore","North Island general electorates","Female",26241
"0–4 Years","Northcote","North Island general electorates","Female",2346
"5–9 Years","Northcote","North Island general electorates","Female",1995
"10–14 Years","Northcote","North Island general electorates","Female",1785
"15–19 Years","Northcote","North Island general electorates","Female",2058
"20–24 Years","Northcote","North Island general electorates","Female",2397
"25–29 Years","Northcote","North Island general electorates","Female",2421
"30–34 Years","Northcote","North Island general electorates","Female",2775
"35–39 Years","Northcote","North Island general electorates","Female",2628
"40–44 Years","Northcote","North Island general electorates","Female",2655
"45–49 Years","Northcote","North Island general electorates","Female",2301
"50–54 Years","Northcote","North Island general electorates","Female",2151
"55–59 Years","Northcote","North Island general electorates","Female",1887
"60–64 Years","Northcote","North Island general electorates","Female",1563
"65–69 Years","Northcote","North Island general electorates","Female",1410
"70–74 Years","Northcote","North Island general electorates","Female",1092
"75–79 Years","Northcote","North Island general electorates","Female",693
"80–84 Years","Northcote","North Island general electorates","Female",528
"85 Years And Over","Northcote","North Island general electorates","Female",657
"18 Years And Over","Northcote","North Island general electorates","Female",26052
"0–4 Years","Northland","North Island general electorates","Female",2796
"5–9 Years","Northland","North Island general electorates","Female",3021
"10–14 Years","Northland","North Island general electorates","Female",3090
"15–19 Years","Northland","North Island general electorates","Female",2550
"20–24 Years","Northland","North Island general electorates","Female",1848
"25–29 Years","Northland","North Island general electorates","Female",1740
"30–34 Years","Northland","North Island general electorates","Female",1872
"35–39 Years","Northland","North Island general electorates","Female",2280
"40–44 Years","Northland","North Island general electorates","Female",2694
"45–49 Years","Northland","North Island general electorates","Female",3144
"50–54 Years","Northland","North Island general electorates","Female",3444
"55–59 Years","Northland","North Island general electorates","Female",3288
"60–64 Years","Northland","North Island general electorates","Female",3150
"65–69 Years","Northland","North Island general electorates","Female",2748
"70–74 Years","Northland","North Island general electorates","Female",1968
"75–79 Years","Northland","North Island general electorates","Female",1242
"80–84 Years","Northland","North Island general electorates","Female",828
"85 Years And Over","Northland","North Island general electorates","Female",792
"18 Years And Over","Northland","North Island general electorates","Female",31809
"0–4 Years","Ohariu","North Island general electorates","Female",2241
"5–9 Years","Ohariu","North Island general electorates","Female",2145
"10–14 Years","Ohariu","North Island general electorates","Female",2115
"15–19 Years","Ohariu","North Island general electorates","Female",1839
"20–24 Years","Ohariu","North Island general electorates","Female",1668
"25–29 Years","Ohariu","North Island general electorates","Female",1851
"30–34 Years","Ohariu","North Island general electorates","Female",2226
