"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Europe (excluding United Kingdom and Ireland)","Waitaki","South Island general electorates","4 Years",27
"North America","Waitaki","South Island general electorates","4 Years",36
"Asia","Waitaki","South Island general electorates","4 Years",141
"Middle East and Africa","Waitaki","South Island general electorates","4 Years",33
"Other","Waitaki","South Island general electorates","4 Years",21
"Not elsewhere included(7)","Waitaki","South Island general electorates","4 Years",NA
"Australia(3)","West Coast-Tasman","South Island general electorates","4 Years",33
"Pacific Islands(4)","West Coast-Tasman","South Island general electorates","4 Years",24
"United Kingdom and Ireland(5)","West Coast-Tasman","South Island general electorates","4 Years",144
"Europe (excluding United Kingdom and Ireland)","West Coast-Tasman","South Island general electorates","4 Years",54
"North America","West Coast-Tasman","South Island general electorates","4 Years",12
"Asia","West Coast-Tasman","South Island general electorates","4 Years",72
"Middle East and Africa","West Coast-Tasman","South Island general electorates","4 Years",69
"Other","West Coast-Tasman","South Island general electorates","4 Years",9
"Not elsewhere included(7)","West Coast-Tasman","South Island general electorates","4 Years",NA
"Australia(3)","Wigram","South Island general electorates","4 Years",12
"Pacific Islands(4)","Wigram","South Island general electorates","4 Years",63
"United Kingdom and Ireland(5)","Wigram","South Island general electorates","4 Years",54
"Europe (excluding United Kingdom and Ireland)","Wigram","South Island general electorates","4 Years",24
"North America","Wigram","South Island general electorates","4 Years",15
"Asia","Wigram","South Island general electorates","4 Years",558
"Middle East and Africa","Wigram","South Island general electorates","4 Years",102
"Other","Wigram","South Island general electorates","4 Years",15
"Not elsewhere included(7)","Wigram","South Island general electorates","4 Years",NA
"Australia(3)","Area Outside General Electorate","South Island general electorates","4 Years",NA
"Pacific Islands(4)","Area Outside General Electorate","South Island general electorates","4 Years",NA
"United Kingdom and Ireland(5)","Area Outside General Electorate","South Island general electorates","4 Years",NA
"Europe (excluding United Kingdom and Ireland)","Area Outside General Electorate","South Island general electorates","4 Years",NA
"North America","Area Outside General Electorate","South Island general electorates","4 Years",NA
"Asia","Area Outside General Electorate","South Island general electorates","4 Years",NA
"Middle East and Africa","Area Outside General Electorate","South Island general electorates","4 Years",NA
"Other","Area Outside General Electorate","South Island general electorates","4 Years",NA
"Not elsewhere included(7)","Area Outside General Electorate","South Island general electorates","4 Years",NA
"Australia(3)","Auckland Central","North Island general electorates","5–9 Years",132
"Pacific Islands(4)","Auckland Central","North Island general electorates","5–9 Years",123
"United Kingdom and Ireland(5)","Auckland Central","North Island general electorates","5–9 Years",612
"Europe (excluding United Kingdom and Ireland)","Auckland Central","North Island general electorates","5–9 Years",360
"North America","Auckland Central","North Island general electorates","5–9 Years",132
"Asia","Auckland Central","North Island general electorates","5–9 Years",2283
"Middle East and Africa","Auckland Central","North Island general electorates","5–9 Years",327
"Other","Auckland Central","North Island general electorates","5–9 Years",165
"Not elsewhere included(7)","Auckland Central","North Island general electorates","5–9 Years",NA
"Australia(3)","Bay of Plenty","North Island general electorates","5–9 Years",138
"Pacific Islands(4)","Bay of Plenty","North Island general electorates","5–9 Years",66
"United Kingdom and Ireland(5)","Bay of Plenty","North Island general electorates","5–9 Years",1362
"Europe (excluding United Kingdom and Ireland)","Bay of Plenty","North Island general electorates","5–9 Years",186
"North America","Bay of Plenty","North Island general electorates","5–9 Years",114
"Asia","Bay of Plenty","North Island general electorates","5–9 Years",354
"Middle East and Africa","Bay of Plenty","North Island general electorates","5–9 Years",339
"Other","Bay of Plenty","North Island general electorates","5–9 Years",66
"Not elsewhere included(7)","Bay of Plenty","North Island general electorates","5–9 Years",NA
"Australia(3)","Botany","North Island general electorates","5–9 Years",102
"Pacific Islands(4)","Botany","North Island general electorates","5–9 Years",762
"United Kingdom and Ireland(5)","Botany","North Island general electorates","5–9 Years",552
"Europe (excluding United Kingdom and Ireland)","Botany","North Island general electorates","5–9 Years",132
"North America","Botany","North Island general electorates","5–9 Years",60
"Asia","Botany","North Island general electorates","5–9 Years",3135
"Middle East and Africa","Botany","North Island general electorates","5–9 Years",1647
"Other","Botany","North Island general electorates","5–9 Years",39
"Not elsewhere included(7)","Botany","North Island general electorates","5–9 Years",NA
"Australia(3)","Coromandel","North Island general electorates","5–9 Years",153
"Pacific Islands(4)","Coromandel","North Island general electorates","5–9 Years",108
"United Kingdom and Ireland(5)","Coromandel","North Island general electorates","5–9 Years",555
"Europe (excluding United Kingdom and Ireland)","Coromandel","North Island general electorates","5–9 Years",135
"North America","Coromandel","North Island general electorates","5–9 Years",78
"Asia","Coromandel","North Island general electorates","5–9 Years",243
"Middle East and Africa","Coromandel","North Island general electorates","5–9 Years",180
"Other","Coromandel","North Island general electorates","5–9 Years",39
"Not elsewhere included(7)","Coromandel","North Island general electorates","5–9 Years",NA
"Australia(3)","East Coast","North Island general electorates","5–9 Years",189
"Pacific Islands(4)","East Coast","North Island general electorates","5–9 Years",81
"United Kingdom and Ireland(5)","East Coast","North Island general electorates","5–9 Years",552
"Europe (excluding United Kingdom and Ireland)","East Coast","North Island general electorates","5–9 Years",114
"North America","East Coast","North Island general electorates","5–9 Years",81
"Asia","East Coast","North Island general electorates","5–9 Years",249
"Middle East and Africa","East Coast","North Island general electorates","5–9 Years",159
"Other","East Coast","North Island general electorates","5–9 Years",21
"Not elsewhere included(7)","East Coast","North Island general electorates","5–9 Years",NA
"Australia(3)","East Coast Bays","North Island general electorates","5–9 Years",99
"Pacific Islands(4)","East Coast Bays","North Island general electorates","5–9 Years",60
"United Kingdom and Ireland(5)","East Coast Bays","North Island general electorates","5–9 Years",1557
"Europe (excluding United Kingdom and Ireland)","East Coast Bays","North Island general electorates","5–9 Years",399
"North America","East Coast Bays","North Island general electorates","5–9 Years",99
"Asia","East Coast Bays","North Island general electorates","5–9 Years",2268
"Middle East and Africa","East Coast Bays","North Island general electorates","5–9 Years",1698
"Other","East Coast Bays","North Island general electorates","5–9 Years",60
"Not elsewhere included(7)","East Coast Bays","North Island general electorates","5–9 Years",NA
"Australia(3)","Epsom","North Island general electorates","5–9 Years",180
"Pacific Islands(4)","Epsom","North Island general electorates","5–9 Years",93
"United Kingdom and Ireland(5)","Epsom","North Island general electorates","5–9 Years",552
"Europe (excluding United Kingdom and Ireland)","Epsom","North Island general electorates","5–9 Years",216
"North America","Epsom","North Island general electorates","5–9 Years",123
"Asia","Epsom","North Island general electorates","5–9 Years",2295
"Middle East and Africa","Epsom","North Island general electorates","5–9 Years",192
"Other","Epsom","North Island general electorates","5–9 Years",84
"Not elsewhere included(7)","Epsom","North Island general electorates","5–9 Years",NA
"Australia(3)","Hamilton East","North Island general electorates","5–9 Years",135
"Pacific Islands(4)","Hamilton East","North Island general electorates","5–9 Years",462
"United Kingdom and Ireland(5)","Hamilton East","North Island general electorates","5–9 Years",585
"Europe (excluding United Kingdom and Ireland)","Hamilton East","North Island general electorates","5–9 Years",159
"North America","Hamilton East","North Island general electorates","5–9 Years",87
"Asia","Hamilton East","North Island general electorates","5–9 Years",1491
"Middle East and Africa","Hamilton East","North Island general electorates","5–9 Years",753
"Other","Hamilton East","North Island general electorates","5–9 Years",78
"Not elsewhere included(7)","Hamilton East","North Island general electorates","5–9 Years",NA
"Australia(3)","Hamilton West","North Island general electorates","5–9 Years",138
"Pacific Islands(4)","Hamilton West","North Island general electorates","5–9 Years",624
"United Kingdom and Ireland(5)","Hamilton West","North Island general electorates","5–9 Years",351
"Europe (excluding United Kingdom and Ireland)","Hamilton West","North Island general electorates","5–9 Years",99
"North America","Hamilton West","North Island general electorates","5–9 Years",57
"Asia","Hamilton West","North Island general electorates","5–9 Years",1290
"Middle East and Africa","Hamilton West","North Island general electorates","5–9 Years",432
"Other","Hamilton West","North Island general electorates","5–9 Years",51
"Not elsewhere included(7)","Hamilton West","North Island general electorates","5–9 Years",NA
"Australia(3)","Helensville","North Island general electorates","5–9 Years",114
"Pacific Islands(4)","Helensville","North Island general electorates","5–9 Years",63
"United Kingdom and Ireland(5)","Helensville","North Island general electorates","5–9 Years",1311
"Europe (excluding United Kingdom and Ireland)","Helensville","North Island general electorates","5–9 Years",234
"North America","Helensville","North Island general electorates","5–9 Years",114
"Asia","Helensville","North Island general electorates","5–9 Years",357
"Middle East and Africa","Helensville","North Island general electorates","5–9 Years",360
"Other","Helensville","North Island general electorates","5–9 Years",39
"Not elsewhere included(7)","Helensville","North Island general electorates","5–9 Years",NA
"Australia(3)","Hunua","North Island general electorates","5–9 Years",123
"Pacific Islands(4)","Hunua","North Island general electorates","5–9 Years",303
"United Kingdom and Ireland(5)","Hunua","North Island general electorates","5–9 Years",1095
"Europe (excluding United Kingdom and Ireland)","Hunua","North Island general electorates","5–9 Years",111
"North America","Hunua","North Island general electorates","5–9 Years",87
"Asia","Hunua","North Island general electorates","5–9 Years",825
"Middle East and Africa","Hunua","North Island general electorates","5–9 Years",606
"Other","Hunua","North Island general electorates","5–9 Years",18
"Not elsewhere included(7)","Hunua","North Island general electorates","5–9 Years",NA
"Australia(3)","Hutt South","North Island general electorates","5–9 Years",144
"Pacific Islands(4)","Hutt South","North Island general electorates","5–9 Years",396
"United Kingdom and Ireland(5)","Hutt South","North Island general electorates","5–9 Years",561
"Europe (excluding United Kingdom and Ireland)","Hutt South","North Island general electorates","5–9 Years",156
"North America","Hutt South","North Island general electorates","5–9 Years",75
"Asia","Hutt South","North Island general electorates","5–9 Years",945
"Middle East and Africa","Hutt South","North Island general electorates","5–9 Years",300
"Other","Hutt South","North Island general electorates","5–9 Years",24
"Not elsewhere included(7)","Hutt South","North Island general electorates","5–9 Years",NA
"Australia(3)","Kelston","North Island general electorates","5–9 Years",105
"Pacific Islands(4)","Kelston","North Island general electorates","5–9 Years",1320
"United Kingdom and Ireland(5)","Kelston","North Island general electorates","5–9 Years",414
"Europe (excluding United Kingdom and Ireland)","Kelston","North Island general electorates","5–9 Years",147
"North America","Kelston","North Island general electorates","5–9 Years",69
"Asia","Kelston","North Island general electorates","5–9 Years",1926
"Middle East and Africa","Kelston","North Island general electorates","5–9 Years",441
"Other","Kelston","North Island general electorates","5–9 Years",105
"Not elsewhere included(7)","Kelston","North Island general electorates","5–9 Years",NA
"Australia(3)","Mana","North Island general electorates","5–9 Years",141
"Pacific Islands(4)","Mana","North Island general electorates","5–9 Years",651
"United Kingdom and Ireland(5)","Mana","North Island general electorates","5–9 Years",957
"Europe (excluding United Kingdom and Ireland)","Mana","North Island general electorates","5–9 Years",132
"North America","Mana","North Island general electorates","5–9 Years",129
"Asia","Mana","North Island general electorates","5–9 Years",537
"Middle East and Africa","Mana","North Island general electorates","5–9 Years",318
"Other","Mana","North Island general electorates","5–9 Years",21
"Not elsewhere included(7)","Mana","North Island general electorates","5–9 Years",NA
"Australia(3)","Mangere","North Island general electorates","5–9 Years",84
"Pacific Islands(4)","Mangere","North Island general electorates","5–9 Years",3693
"United Kingdom and Ireland(5)","Mangere","North Island general electorates","5–9 Years",57
"Europe (excluding United Kingdom and Ireland)","Mangere","North Island general electorates","5–9 Years",42
"North America","Mangere","North Island general electorates","5–9 Years",33
"Asia","Mangere","North Island general electorates","5–9 Years",681
"Middle East and Africa","Mangere","North Island general electorates","5–9 Years",126
"Other","Mangere","North Island general electorates","5–9 Years",21
"Not elsewhere included(7)","Mangere","North Island general electorates","5–9 Years",NA
"Australia(3)","Manukau East","North Island general electorates","5–9 Years",102
"Pacific Islands(4)","Manukau East","North Island general electorates","5–9 Years",4053
"United Kingdom and Ireland(5)","Manukau East","North Island general electorates","5–9 Years",48
"Europe (excluding United Kingdom and Ireland)","Manukau East","North Island general electorates","5–9 Years",33
"North America","Manukau East","North Island general electorates","5–9 Years",36
"Asia","Manukau East","North Island general electorates","5–9 Years",1707
"Middle East and Africa","Manukau East","North Island general electorates","5–9 Years",189
"Other","Manukau East","North Island general electorates","5–9 Years",15
"Not elsewhere included(7)","Manukau East","North Island general electorates","5–9 Years",NA
"Australia(3)","Manurewa","North Island general electorates","5–9 Years",90
"Pacific Islands(4)","Manurewa","North Island general electorates","5–9 Years",3336
"United Kingdom and Ireland(5)","Manurewa","North Island general electorates","5–9 Years",84
"Europe (excluding United Kingdom and Ireland)","Manurewa","North Island general electorates","5–9 Years",45
"North America","Manurewa","North Island general electorates","5–9 Years",27
"Asia","Manurewa","North Island general electorates","5–9 Years",1302
"Middle East and Africa","Manurewa","North Island general electorates","5–9 Years",375
"Other","Manurewa","North Island general electorates","5–9 Years",12
"Not elsewhere included(7)","Manurewa","North Island general electorates","5–9 Years",NA
"Australia(3)","Maungakiekie","North Island general electorates","5–9 Years",102
"Pacific Islands(4)","Maungakiekie","North Island general electorates","5–9 Years",1077
"United Kingdom and Ireland(5)","Maungakiekie","North Island general electorates","5–9 Years",387
"Europe (excluding United Kingdom and Ireland)","Maungakiekie","North Island general electorates","5–9 Years",243
"North America","Maungakiekie","North Island general electorates","5–9 Years",75
"Asia","Maungakiekie","North Island general electorates","5–9 Years",2331
"Middle East and Africa","Maungakiekie","North Island general electorates","5–9 Years",396
"Other","Maungakiekie","North Island general electorates","5–9 Years",78
"Not elsewhere included(7)","Maungakiekie","North Island general electorates","5–9 Years",NA
"Australia(3)","Mt Albert","North Island general electorates","5–9 Years",180
"Pacific Islands(4)","Mt Albert","North Island general electorates","5–9 Years",216
"United Kingdom and Ireland(5)","Mt Albert","North Island general electorates","5–9 Years",585
"Europe (excluding United Kingdom and Ireland)","Mt Albert","North Island general electorates","5–9 Years",261
"North America","Mt Albert","North Island general electorates","5–9 Years",114
"Asia","Mt Albert","North Island general electorates","5–9 Years",1626
"Middle East and Africa","Mt Albert","North Island general electorates","5–9 Years",243
"Other","Mt Albert","North Island general electorates","5–9 Years",99
"Not elsewhere included(7)","Mt Albert","North Island general electorates","5–9 Years",NA
"Australia(3)","Mt Roskill","North Island general electorates","5–9 Years",90
"Pacific Islands(4)","Mt Roskill","North Island general electorates","5–9 Years",750
"United Kingdom and Ireland(5)","Mt Roskill","North Island general electorates","5–9 Years",258
"Europe (excluding United Kingdom and Ireland)","Mt Roskill","North Island general electorates","5–9 Years",114
"North America","Mt Roskill","North Island general electorates","5–9 Years",54
"Asia","Mt Roskill","North Island general electorates","5–9 Years",3282
"Middle East and Africa","Mt Roskill","North Island general electorates","5–9 Years",408
"Other","Mt Roskill","North Island general electorates","5–9 Years",66
"Not elsewhere included(7)","Mt Roskill","North Island general electorates","5–9 Years",NA
"Australia(3)","Napier","North Island general electorates","5–9 Years",144
"Pacific Islands(4)","Napier","North Island general electorates","5–9 Years",114
"United Kingdom and Ireland(5)","Napier","North Island general electorates","5–9 Years",708
"Europe (excluding United Kingdom and Ireland)","Napier","North Island general electorates","5–9 Years",144
"North America","Napier","North Island general electorates","5–9 Years",60
"Asia","Napier","North Island general electorates","5–9 Years",216
"Middle East and Africa","Napier","North Island general electorates","5–9 Years",177
"Other","Napier","North Island general electorates","5–9 Years",15
"Not elsewhere included(7)","Napier","North Island general electorates","5–9 Years",NA
"Australia(3)","New Lynn","North Island general electorates","5–9 Years",75
"Pacific Islands(4)","New Lynn","North Island general electorates","5–9 Years",849
"United Kingdom and Ireland(5)","New Lynn","North Island general electorates","5–9 Years",420
"Europe (excluding United Kingdom and Ireland)","New Lynn","North Island general electorates","5–9 Years",162
"North America","New Lynn","North Island general electorates","5–9 Years",48
"Asia","New Lynn","North Island general electorates","5–9 Years",3114
"Middle East and Africa","New Lynn","North Island general electorates","5–9 Years",333
"Other","New Lynn","North Island general electorates","5–9 Years",75
"Not elsewhere included(7)","New Lynn","North Island general electorates","5–9 Years",NA
"Australia(3)","New Plymouth","North Island general electorates","5–9 Years",186
"Pacific Islands(4)","New Plymouth","North Island general electorates","5–9 Years",183
"United Kingdom and Ireland(5)","New Plymouth","North Island general electorates","5–9 Years",759
"Europe (excluding United Kingdom and Ireland)","New Plymouth","North Island general electorates","5–9 Years",117
"North America","New Plymouth","North Island general electorates","5–9 Years",87
"Asia","New Plymouth","North Island general electorates","5–9 Years",399
"Middle East and Africa","New Plymouth","North Island general electorates","5–9 Years",270
"Other","New Plymouth","North Island general electorates","5–9 Years",27
"Not elsewhere included(7)","New Plymouth","North Island general electorates","5–9 Years",NA
"Australia(3)","North Shore","North Island general electorates","5–9 Years",195
"Pacific Islands(4)","North Shore","North Island general electorates","5–9 Years",54
"United Kingdom and Ireland(5)","North Shore","North Island general electorates","5–9 Years",1266
"Europe (excluding United Kingdom and Ireland)","North Shore","North Island general electorates","5–9 Years",318
"North America","North Shore","North Island general electorates","5–9 Years",135
"Asia","North Shore","North Island general electorates","5–9 Years",1842
"Middle East and Africa","North Shore","North Island general electorates","5–9 Years",549
"Other","North Shore","North Island general electorates","5–9 Years",114
"Not elsewhere included(7)","North Shore","North Island general electorates","5–9 Years",NA
"Australia(3)","Northcote","North Island general electorates","5–9 Years",129
"Pacific Islands(4)","Northcote","North Island general electorates","5–9 Years",252
"United Kingdom and Ireland(5)","Northcote","North Island general electorates","5–9 Years",708
"Europe (excluding United Kingdom and Ireland)","Northcote","North Island general electorates","5–9 Years",342
"North America","Northcote","North Island general electorates","5–9 Years",117
"Asia","Northcote","North Island general electorates","5–9 Years",2496
"Middle East and Africa","Northcote","North Island general electorates","5–9 Years",699
"Other","Northcote","North Island general electorates","5–9 Years",114
"Not elsewhere included(7)","Northcote","North Island general electorates","5–9 Years",NA
"Australia(3)","Northland","North Island general electorates","5–9 Years",171
"Pacific Islands(4)","Northland","North Island general electorates","5–9 Years",93
"United Kingdom and Ireland(5)","Northland","North Island general electorates","5–9 Years",786
"Europe (excluding United Kingdom and Ireland)","Northland","North Island general electorates","5–9 Years",222
"North America","Northland","North Island general electorates","5–9 Years",117
"Asia","Northland","North Island general electorates","5–9 Years",174
"Middle East and Africa","Northland","North Island general electorates","5–9 Years",159
"Other","Northland","North Island general electorates","5–9 Years",24
"Not elsewhere included(7)","Northland","North Island general electorates","5–9 Years",NA
"Australia(3)","Ohariu","North Island general electorates","5–9 Years",156
"Pacific Islands(4)","Ohariu","North Island general electorates","5–9 Years",237
"United Kingdom and Ireland(5)","Ohariu","North Island general electorates","5–9 Years",855
"Europe (excluding United Kingdom and Ireland)","Ohariu","North Island general electorates","5–9 Years",231
"North America","Ohariu","North Island general electorates","5–9 Years",132
"Asia","Ohariu","North Island general electorates","5–9 Years",1401
"Middle East and Africa","Ohariu","North Island general electorates","5–9 Years",321
"Other","Ohariu","North Island general electorates","5–9 Years",63
"Not elsewhere included(7)","Ohariu","North Island general electorates","5–9 Years",NA
"Australia(3)","Otaki","North Island general electorates","5–9 Years",114
"Pacific Islands(4)","Otaki","North Island general electorates","5–9 Years",117
"United Kingdom and Ireland(5)","Otaki","North Island general electorates","5–9 Years",912
"Europe (excluding United Kingdom and Ireland)","Otaki","North Island general electorates","5–9 Years",147
"North America","Otaki","North Island general electorates","5–9 Years",75
"Asia","Otaki","North Island general electorates","5–9 Years",204
"Middle East and Africa","Otaki","North Island general electorates","5–9 Years",165
"Other","Otaki","North Island general electorates","5–9 Years",21
"Not elsewhere included(7)","Otaki","North Island general electorates","5–9 Years",NA
"Australia(3)","Pakuranga","North Island general electorates","5–9 Years",96
"Pacific Islands(4)","Pakuranga","North Island general electorates","5–9 Years",234
"United Kingdom and Ireland(5)","Pakuranga","North Island general electorates","5–9 Years",909
"Europe (excluding United Kingdom and Ireland)","Pakuranga","North Island general electorates","5–9 Years",219
"North America","Pakuranga","North Island general electorates","5–9 Years",69
"Asia","Pakuranga","North Island general electorates","5–9 Years",3009
"Middle East and Africa","Pakuranga","North Island general electorates","5–9 Years",1152
"Other","Pakuranga","North Island general electorates","5–9 Years",45
"Not elsewhere included(7)","Pakuranga","North Island general electorates","5–9 Years",NA
"Australia(3)","Palmerston North","North Island general electorates","5–9 Years",111
"Pacific Islands(4)","Palmerston North","North Island general electorates","5–9 Years",201
"United Kingdom and Ireland(5)","Palmerston North","North Island general electorates","5–9 Years",468
"Europe (excluding United Kingdom and Ireland)","Palmerston North","North Island general electorates","5–9 Years",114
"North America","Palmerston North","North Island general electorates","5–9 Years",105
"Asia","Palmerston North","North Island general electorates","5–9 Years",819
"Middle East and Africa","Palmerston North","North Island general electorates","5–9 Years",315
"Other","Palmerston North","North Island general electorates","5–9 Years",42
"Not elsewhere included(7)","Palmerston North","North Island general electorates","5–9 Years",NA
"Australia(3)","Papakura","North Island general electorates","5–9 Years",87
"Pacific Islands(4)","Papakura","North Island general electorates","5–9 Years",1002
"United Kingdom and Ireland(5)","Papakura","North Island general electorates","5–9 Years",375
"Europe (excluding United Kingdom and Ireland)","Papakura","North Island general electorates","5–9 Years",102
"North America","Papakura","North Island general electorates","5–9 Years",57
"Asia","Papakura","North Island general electorates","5–9 Years",1200
"Middle East and Africa","Papakura","North Island general electorates","5–9 Years",624
"Other","Papakura","North Island general electorates","5–9 Years",57
"Not elsewhere included(7)","Papakura","North Island general electorates","5–9 Years",NA
"Australia(3)","Rangitikei","North Island general electorates","5–9 Years",120
"Pacific Islands(4)","Rangitikei","North Island general electorates","5–9 Years",114
"United Kingdom and Ireland(5)","Rangitikei","North Island general electorates","5–9 Years",741
"Europe (excluding United Kingdom and Ireland)","Rangitikei","North Island general electorates","5–9 Years",81
"North America","Rangitikei","North Island general electorates","5–9 Years",63
"Asia","Rangitikei","North Island general electorates","5–9 Years",186
"Middle East and Africa","Rangitikei","North Island general electorates","5–9 Years",132
"Other","Rangitikei","North Island general electorates","5–9 Years",12
"Not elsewhere included(7)","Rangitikei","North Island general electorates","5–9 Years",NA
"Australia(3)","Rimutaka","North Island general electorates","5–9 Years",123
"Pacific Islands(4)","Rimutaka","North Island general electorates","5–9 Years",423
"United Kingdom and Ireland(5)","Rimutaka","North Island general electorates","5–9 Years",687
"Europe (excluding United Kingdom and Ireland)","Rimutaka","North Island general electorates","5–9 Years",105
"North America","Rimutaka","North Island general electorates","5–9 Years",63
"Asia","Rimutaka","North Island general electorates","5–9 Years",780
"Middle East and Africa","Rimutaka","North Island general electorates","5–9 Years",522
"Other","Rimutaka","North Island general electorates","5–9 Years",27
"Not elsewhere included(7)","Rimutaka","North Island general electorates","5–9 Years",NA
"Australia(3)","Rodney","North Island general electorates","5–9 Years",129
"Pacific Islands(4)","Rodney","North Island general electorates","5–9 Years",132
"United Kingdom and Ireland(5)","Rodney","North Island general electorates","5–9 Years",1797
"Europe (excluding United Kingdom and Ireland)","Rodney","North Island general electorates","5–9 Years",288
"North America","Rodney","North Island general electorates","5–9 Years",99
"Asia","Rodney","North Island general electorates","5–9 Years",282
"Middle East and Africa","Rodney","North Island general electorates","5–9 Years",708
"Other","Rodney","North Island general electorates","5–9 Years",39
"Not elsewhere included(7)","Rodney","North Island general electorates","5–9 Years",NA
"Australia(3)","Rongotai","North Island general electorates","5–9 Years",192
"Pacific Islands(4)","Rongotai","North Island general electorates","5–9 Years",192
"United Kingdom and Ireland(5)","Rongotai","North Island general electorates","5–9 Years",879
"Europe (excluding United Kingdom and Ireland)","Rongotai","North Island general electorates","5–9 Years",309
"North America","Rongotai","North Island general electorates","5–9 Years",246
"Asia","Rongotai","North Island general electorates","5–9 Years",762
"Middle East and Africa","Rongotai","North Island general electorates","5–9 Years",342
"Other","Rongotai","North Island general electorates","5–9 Years",60
"Not elsewhere included(7)","Rongotai","North Island general electorates","5–9 Years",NA
"Australia(3)","Rotorua","North Island general electorates","5–9 Years",189
"Pacific Islands(4)","Rotorua","North Island general electorates","5–9 Years",225
"United Kingdom and Ireland(5)","Rotorua","North Island general electorates","5–9 Years",600
"Europe (excluding United Kingdom and Ireland)","Rotorua","North Island general electorates","5–9 Years",105
"North America","Rotorua","North Island general electorates","5–9 Years",60
"Asia","Rotorua","North Island general electorates","5–9 Years",693
"Middle East and Africa","Rotorua","North Island general electorates","5–9 Years",252
"Other","Rotorua","North Island general electorates","5–9 Years",51
"Not elsewhere included(7)","Rotorua","North Island general electorates","5–9 Years",NA
"Australia(3)","Tamaki","North Island general electorates","5–9 Years",183
"Pacific Islands(4)","Tamaki","North Island general electorates","5–9 Years",219
"United Kingdom and Ireland(5)","Tamaki","North Island general electorates","5–9 Years",792
"Europe (excluding United Kingdom and Ireland)","Tamaki","North Island general electorates","5–9 Years",360
"North America","Tamaki","North Island general electorates","5–9 Years",135
"Asia","Tamaki","North Island general electorates","5–9 Years",978
"Middle East and Africa","Tamaki","North Island general electorates","5–9 Years",345
"Other","Tamaki","North Island general electorates","5–9 Years",123
"Not elsewhere included(7)","Tamaki","North Island general electorates","5–9 Years",NA
"Australia(3)","Taranaki-King Country","North Island general electorates","5–9 Years",156
"Pacific Islands(4)","Taranaki-King Country","North Island general electorates","5–9 Years",120
"United Kingdom and Ireland(5)","Taranaki-King Country","North Island general electorates","5–9 Years",705
"Europe (excluding United Kingdom and Ireland)","Taranaki-King Country","North Island general electorates","5–9 Years",105
"North America","Taranaki-King Country","North Island general electorates","5–9 Years",69
"Asia","Taranaki-King Country","North Island general electorates","5–9 Years",117
"Middle East and Africa","Taranaki-King Country","North Island general electorates","5–9 Years",222
"Other","Taranaki-King Country","North Island general electorates","5–9 Years",18
"Not elsewhere included(7)","Taranaki-King Country","North Island general electorates","5–9 Years",NA
"Australia(3)","Taupo","North Island general electorates","5–9 Years",165
"Pacific Islands(4)","Taupo","North Island general electorates","5–9 Years",69
"United Kingdom and Ireland(5)","Taupo","North Island general electorates","5–9 Years",966
"Europe (excluding United Kingdom and Ireland)","Taupo","North Island general electorates","5–9 Years",135
"North America","Taupo","North Island general electorates","5–9 Years",57
"Asia","Taupo","North Island general electorates","5–9 Years",261
"Middle East and Africa","Taupo","North Island general electorates","5–9 Years",354
"Other","Taupo","North Island general electorates","5–9 Years",21
"Not elsewhere included(7)","Taupo","North Island general electorates","5–9 Years",NA
"Australia(3)","Tauranga","North Island general electorates","5–9 Years",123
"Pacific Islands(4)","Tauranga","North Island general electorates","5–9 Years",138
"United Kingdom and Ireland(5)","Tauranga","North Island general electorates","5–9 Years",852
"Europe (excluding United Kingdom and Ireland)","Tauranga","North Island general electorates","5–9 Years",144
"North America","Tauranga","North Island general electorates","5–9 Years",90
"Asia","Tauranga","North Island general electorates","5–9 Years",507
"Middle East and Africa","Tauranga","North Island general electorates","5–9 Years",261
"Other","Tauranga","North Island general electorates","5–9 Years",93
"Not elsewhere included(7)","Tauranga","North Island general electorates","5–9 Years",NA
"Australia(3)","Te Atatu","North Island general electorates","5–9 Years",90
"Pacific Islands(4)","Te Atatu","North Island general electorates","5–9 Years",1215
"United Kingdom and Ireland(5)","Te Atatu","North Island general electorates","5–9 Years",333
"Europe (excluding United Kingdom and Ireland)","Te Atatu","North Island general electorates","5–9 Years",222
"North America","Te Atatu","North Island general electorates","5–9 Years",66
"Asia","Te Atatu","North Island general electorates","5–9 Years",2112
"Middle East and Africa","Te Atatu","North Island general electorates","5–9 Years",537
"Other","Te Atatu","North Island general electorates","5–9 Years",87
"Not elsewhere included(7)","Te Atatu","North Island general electorates","5–9 Years",NA
"Australia(3)","Tukituki","North Island general electorates","5–9 Years",135
"Pacific Islands(4)","Tukituki","North Island general electorates","5–9 Years",261
"United Kingdom and Ireland(5)","Tukituki","North Island general electorates","5–9 Years",822
"Europe (excluding United Kingdom and Ireland)","Tukituki","North Island general electorates","5–9 Years",156
"North America","Tukituki","North Island general electorates","5–9 Years",87
"Asia","Tukituki","North Island general electorates","5–9 Years",396
"Middle East and Africa","Tukituki","North Island general electorates","5–9 Years",219
"Other","Tukituki","North Island general electorates","5–9 Years",30
"Not elsewhere included(7)","Tukituki","North Island general electorates","5–9 Years",NA
"Australia(3)","Upper Harbour","North Island general electorates","5–9 Years",93
"Pacific Islands(4)","Upper Harbour","North Island general electorates","5–9 Years",648
"United Kingdom and Ireland(5)","Upper Harbour","North Island general electorates","5–9 Years",648
