"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"North America","Manukau East","North Island general electorates","Less than 1 Year",12
"Asia","Manukau East","North Island general electorates","Less than 1 Year",504
"Middle East and Africa","Manukau East","North Island general electorates","Less than 1 Year",24
"Other","Manukau East","North Island general electorates","Less than 1 Year",6
"Not elsewhere included(7)","Manukau East","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Manurewa","North Island general electorates","Less than 1 Year",30
"Pacific Islands(4)","Manurewa","North Island general electorates","Less than 1 Year",363
"United Kingdom and Ireland(5)","Manurewa","North Island general electorates","Less than 1 Year",6
"Europe (excluding United Kingdom and Ireland)","Manurewa","North Island general electorates","Less than 1 Year",15
"North America","Manurewa","North Island general electorates","Less than 1 Year",18
"Asia","Manurewa","North Island general electorates","Less than 1 Year",456
"Middle East and Africa","Manurewa","North Island general electorates","Less than 1 Year",39
"Other","Manurewa","North Island general electorates","Less than 1 Year",0
"Not elsewhere included(7)","Manurewa","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Maungakiekie","North Island general electorates","Less than 1 Year",39
"Pacific Islands(4)","Maungakiekie","North Island general electorates","Less than 1 Year",183
"United Kingdom and Ireland(5)","Maungakiekie","North Island general electorates","Less than 1 Year",90
"Europe (excluding United Kingdom and Ireland)","Maungakiekie","North Island general electorates","Less than 1 Year",39
"North America","Maungakiekie","North Island general electorates","Less than 1 Year",27
"Asia","Maungakiekie","North Island general electorates","Less than 1 Year",621
"Middle East and Africa","Maungakiekie","North Island general electorates","Less than 1 Year",60
"Other","Maungakiekie","North Island general electorates","Less than 1 Year",9
"Not elsewhere included(7)","Maungakiekie","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Mt Albert","North Island general electorates","Less than 1 Year",63
"Pacific Islands(4)","Mt Albert","North Island general electorates","Less than 1 Year",57
"United Kingdom and Ireland(5)","Mt Albert","North Island general electorates","Less than 1 Year",165
"Europe (excluding United Kingdom and Ireland)","Mt Albert","North Island general electorates","Less than 1 Year",123
"North America","Mt Albert","North Island general electorates","Less than 1 Year",63
"Asia","Mt Albert","North Island general electorates","Less than 1 Year",777
"Middle East and Africa","Mt Albert","North Island general electorates","Less than 1 Year",69
"Other","Mt Albert","North Island general electorates","Less than 1 Year",33
"Not elsewhere included(7)","Mt Albert","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Mt Roskill","North Island general electorates","Less than 1 Year",36
"Pacific Islands(4)","Mt Roskill","North Island general electorates","Less than 1 Year",111
"United Kingdom and Ireland(5)","Mt Roskill","North Island general electorates","Less than 1 Year",60
"Europe (excluding United Kingdom and Ireland)","Mt Roskill","North Island general electorates","Less than 1 Year",51
"North America","Mt Roskill","North Island general electorates","Less than 1 Year",15
"Asia","Mt Roskill","North Island general electorates","Less than 1 Year",822
"Middle East and Africa","Mt Roskill","North Island general electorates","Less than 1 Year",78
"Other","Mt Roskill","North Island general electorates","Less than 1 Year",21
"Not elsewhere included(7)","Mt Roskill","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Napier","North Island general electorates","Less than 1 Year",51
"Pacific Islands(4)","Napier","North Island general electorates","Less than 1 Year",66
"United Kingdom and Ireland(5)","Napier","North Island general electorates","Less than 1 Year",75
"Europe (excluding United Kingdom and Ireland)","Napier","North Island general electorates","Less than 1 Year",66
"North America","Napier","North Island general electorates","Less than 1 Year",24
"Asia","Napier","North Island general electorates","Less than 1 Year",147
"Middle East and Africa","Napier","North Island general electorates","Less than 1 Year",39
"Other","Napier","North Island general electorates","Less than 1 Year",18
"Not elsewhere included(7)","Napier","North Island general electorates","Less than 1 Year",NA
"Australia(3)","New Lynn","North Island general electorates","Less than 1 Year",33
"Pacific Islands(4)","New Lynn","North Island general electorates","Less than 1 Year",105
"United Kingdom and Ireland(5)","New Lynn","North Island general electorates","Less than 1 Year",51
"Europe (excluding United Kingdom and Ireland)","New Lynn","North Island general electorates","Less than 1 Year",51
"North America","New Lynn","North Island general electorates","Less than 1 Year",27
"Asia","New Lynn","North Island general electorates","Less than 1 Year",780
"Middle East and Africa","New Lynn","North Island general electorates","Less than 1 Year",51
"Other","New Lynn","North Island general electorates","Less than 1 Year",15
"Not elsewhere included(7)","New Lynn","North Island general electorates","Less than 1 Year",NA
"Australia(3)","New Plymouth","North Island general electorates","Less than 1 Year",72
"Pacific Islands(4)","New Plymouth","North Island general electorates","Less than 1 Year",18
"United Kingdom and Ireland(5)","New Plymouth","North Island general electorates","Less than 1 Year",126
"Europe (excluding United Kingdom and Ireland)","New Plymouth","North Island general electorates","Less than 1 Year",60
"North America","New Plymouth","North Island general electorates","Less than 1 Year",51
"Asia","New Plymouth","North Island general electorates","Less than 1 Year",279
"Middle East and Africa","New Plymouth","North Island general electorates","Less than 1 Year",45
