"level0","level1","Total household income(1)","count"
"Dunedin North","South Island general electorates","$1–$5,000",489
"Dunedin South","South Island general electorates","$1–$5,000",273
"Ilam","South Island general electorates","$1–$5,000",309
"Invercargill","South Island general electorates","$1–$5,000",342
"Kaikoura","South Island general electorates","$1–$5,000",312
"Nelson","South Island general electorates","$1–$5,000",396
"Port Hills","South Island general electorates","$1–$5,000",207
"Rangitata","South Island general electorates","$1–$5,000",252
"Selwyn","South Island general electorates","$1–$5,000",144
"Waimakariri","South Island general electorates","$1–$5,000",159
"Waitaki","South Island general electorates","$1–$5,000",258
"West Coast-Tasman","South Island general electorates","$1–$5,000",327
"Wigram","South Island general electorates","$1–$5,000",336
"Area Outside General Electorate","South Island general electorates","$1–$5,000",NA
"Auckland Central","North Island general electorates","$5,001– $10,000",960
"Bay of Plenty","North Island general electorates","$5,001– $10,000",411
"Botany","North Island general electorates","$5,001– $10,000",468
"Coromandel","North Island general electorates","$5,001– $10,000",648
"East Coast","North Island general electorates","$5,001– $10,000",993
"East Coast Bays","North Island general electorates","$5,001– $10,000",357
"Epsom","North Island general electorates","$5,001– $10,000",414
"Hamilton East","North Island general electorates","$5,001– $10,000",672
"Hamilton West","North Island general electorates","$5,001– $10,000",609
"Helensville","North Island general electorates","$5,001– $10,000",312
"Hunua","North Island general electorates","$5,001– $10,000",300
"Hutt South","North Island general electorates","$5,001– $10,000",381
"Kelston","North Island general electorates","$5,001– $10,000",531
"Mana","North Island general electorates","$5,001– $10,000",471
"Mangere","North Island general electorates","$5,001– $10,000",861
"Manukau East","North Island general electorates","$5,001– $10,000",876
"Manurewa","North Island general electorates","$5,001– $10,000",903
"Maungakiekie","North Island general electorates","$5,001– $10,000",768
"Mt Albert","North Island general electorates","$5,001– $10,000",432
"Mt Roskill","North Island general electorates","$5,001– $10,000",594
"Napier","North Island general electorates","$5,001– $10,000",624
"New Lynn","North Island general electorates","$5,001– $10,000",546
