"level0","level1","level2","level3","Total personal income(1)","count"
"Female","60–64 Years","Rangitata","South Island general electorates","$35,001– $40,000",99
"Male","65–69 Years","Rangitata","South Island general electorates","$35,001– $40,000",93
"Female","65–69 Years","Rangitata","South Island general electorates","$35,001– $40,000",78
"Male","70–74 Years","Rangitata","South Island general electorates","$35,001– $40,000",66
"Female","70–74 Years","Rangitata","South Island general electorates","$35,001– $40,000",45
"Male","75–79 Years","Rangitata","South Island general electorates","$35,001– $40,000",42
"Female","75–79 Years","Rangitata","South Island general electorates","$35,001– $40,000",24
"Male","80–84 Years","Rangitata","South Island general electorates","$35,001– $40,000",21
"Female","80–84 Years","Rangitata","South Island general electorates","$35,001– $40,000",27
"Male","85 Years And Over","Rangitata","South Island general electorates","$35,001– $40,000",21
"Female","85 Years And Over","Rangitata","South Island general electorates","$35,001– $40,000",24
"Male","15–19 Years","Selwyn","South Island general electorates","$35,001– $40,000",63
"Female","15–19 Years","Selwyn","South Island general electorates","$35,001– $40,000",18
"Male","20–24 Years","Selwyn","South Island general electorates","$35,001– $40,000",186
"Female","20–24 Years","Selwyn","South Island general electorates","$35,001– $40,000",111
"Male","25–29 Years","Selwyn","South Island general electorates","$35,001– $40,000",126
"Female","25–29 Years","Selwyn","South Island general electorates","$35,001– $40,000",105
"Male","30–34 Years","Selwyn","South Island general electorates","$35,001– $40,000",78
"Female","30–34 Years","Selwyn","South Island general electorates","$35,001– $40,000",102
"Male","35–39 Years","Selwyn","South Island general electorates","$35,001– $40,000",96
"Female","35–39 Years","Selwyn","South Island general electorates","$35,001– $40,000",141
"Male","40–44 Years","Selwyn","South Island general electorates","$35,001– $40,000",108
"Female","40–44 Years","Selwyn","South Island general electorates","$35,001– $40,000",153
"Male","45–49 Years","Selwyn","South Island general electorates","$35,001– $40,000",120
"Female","45–49 Years","Selwyn","South Island general electorates","$35,001– $40,000",153
"Male","50–54 Years","Selwyn","South Island general electorates","$35,001– $40,000",132
"Female","50–54 Years","Selwyn","South Island general electorates","$35,001– $40,000",165
"Male","55–59 Years","Selwyn","South Island general electorates","$35,001– $40,000",132
"Female","55–59 Years","Selwyn","South Island general electorates","$35,001– $40,000",141
"Male","60–64 Years","Selwyn","South Island general electorates","$35,001– $40,000",114
"Female","60–64 Years","Selwyn","South Island general electorates","$35,001– $40,000",99
"Male","65–69 Years","Selwyn","South Island general electorates","$35,001– $40,000",84
"Female","65–69 Years","Selwyn","South Island general electorates","$35,001– $40,000",66
"Male","70–74 Years","Selwyn","South Island general electorates","$35,001– $40,000",54
"Female","70–74 Years","Selwyn","South Island general electorates","$35,001– $40,000",36
"Male","75–79 Years","Selwyn","South Island general electorates","$35,001– $40,000",39
"Female","75–79 Years","Selwyn","South Island general electorates","$35,001– $40,000",15
"Male","80–84 Years","Selwyn","South Island general electorates","$35,001– $40,000",12
"Female","80–84 Years","Selwyn","South Island general electorates","$35,001– $40,000",12
"Male","85 Years And Over","Selwyn","South Island general electorates","$35,001– $40,000",15
"Female","85 Years And Over","Selwyn","South Island general electorates","$35,001– $40,000",3
"Male","15–19 Years","Waimakariri","South Island general electorates","$35,001– $40,000",42
"Female","15–19 Years","Waimakariri","South Island general electorates","$35,001– $40,000",18
"Male","20–24 Years","Waimakariri","South Island general electorates","$35,001– $40,000",177
"Female","20–24 Years","Waimakariri","South Island general electorates","$35,001– $40,000",90
"Male","25–29 Years","Waimakariri","South Island general electorates","$35,001– $40,000",135
"Female","25–29 Years","Waimakariri","South Island general electorates","$35,001– $40,000",96
"Male","30–34 Years","Waimakariri","South Island general electorates","$35,001– $40,000",93
"Female","30–34 Years","Waimakariri","South Island general electorates","$35,001– $40,000",78
"Male","35–39 Years","Waimakariri","South Island general electorates","$35,001– $40,000",81
"Female","35–39 Years","Waimakariri","South Island general electorates","$35,001– $40,000",114
"Male","40–44 Years","Waimakariri","South Island general electorates","$35,001– $40,000",105
"Female","40–44 Years","Waimakariri","South Island general electorates","$35,001– $40,000",165
"Male","45–49 Years","Waimakariri","South Island general electorates","$35,001– $40,000",126
"Female","45–49 Years","Waimakariri","South Island general electorates","$35,001– $40,000",174
"Male","50–54 Years","Waimakariri","South Island general electorates","$35,001– $40,000",126
"Female","50–54 Years","Waimakariri","South Island general electorates","$35,001– $40,000",165
"Male","55–59 Years","Waimakariri","South Island general electorates","$35,001– $40,000",117
"Female","55–59 Years","Waimakariri","South Island general electorates","$35,001– $40,000",153
"Male","60–64 Years","Waimakariri","South Island general electorates","$35,001– $40,000",114
"Female","60–64 Years","Waimakariri","South Island general electorates","$35,001– $40,000",126
"Male","65–69 Years","Waimakariri","South Island general electorates","$35,001– $40,000",102
"Female","65–69 Years","Waimakariri","South Island general electorates","$35,001– $40,000",87
"Male","70–74 Years","Waimakariri","South Island general electorates","$35,001– $40,000",51
"Female","70–74 Years","Waimakariri","South Island general electorates","$35,001– $40,000",45
"Male","75–79 Years","Waimakariri","South Island general electorates","$35,001– $40,000",33
"Female","75–79 Years","Waimakariri","South Island general electorates","$35,001– $40,000",27
"Male","80–84 Years","Waimakariri","South Island general electorates","$35,001– $40,000",27
"Female","80–84 Years","Waimakariri","South Island general electorates","$35,001– $40,000",9
"Male","85 Years And Over","Waimakariri","South Island general electorates","$35,001– $40,000",6
"Female","85 Years And Over","Waimakariri","South Island general electorates","$35,001– $40,000",12
"Male","15–19 Years","Waitaki","South Island general electorates","$35,001– $40,000",42
"Female","15–19 Years","Waitaki","South Island general electorates","$35,001– $40,000",12
"Male","20–24 Years","Waitaki","South Island general electorates","$35,001– $40,000",168
"Female","20–24 Years","Waitaki","South Island general electorates","$35,001– $40,000",81
"Male","25–29 Years","Waitaki","South Island general electorates","$35,001– $40,000",168
"Female","25–29 Years","Waitaki","South Island general electorates","$35,001– $40,000",102
"Male","30–34 Years","Waitaki","South Island general electorates","$35,001– $40,000",153
"Female","30–34 Years","Waitaki","South Island general electorates","$35,001– $40,000",117
"Male","35–39 Years","Waitaki","South Island general electorates","$35,001– $40,000",132
"Female","35–39 Years","Waitaki","South Island general electorates","$35,001– $40,000",138
"Male","40–44 Years","Waitaki","South Island general electorates","$35,001– $40,000",159
"Female","40–44 Years","Waitaki","South Island general electorates","$35,001– $40,000",156
"Male","45–49 Years","Waitaki","South Island general electorates","$35,001– $40,000",144
"Female","45–49 Years","Waitaki","South Island general electorates","$35,001– $40,000",189
"Male","50–54 Years","Waitaki","South Island general electorates","$35,001– $40,000",168
"Female","50–54 Years","Waitaki","South Island general electorates","$35,001– $40,000",195
"Male","55–59 Years","Waitaki","South Island general electorates","$35,001– $40,000",186
"Female","55–59 Years","Waitaki","South Island general electorates","$35,001– $40,000",171
"Male","60–64 Years","Waitaki","South Island general electorates","$35,001– $40,000",189
"Female","60–64 Years","Waitaki","South Island general electorates","$35,001– $40,000",138
"Male","65–69 Years","Waitaki","South Island general electorates","$35,001– $40,000",156
"Female","65–69 Years","Waitaki","South Island general electorates","$35,001– $40,000",108
"Male","70–74 Years","Waitaki","South Island general electorates","$35,001– $40,000",78
"Female","70–74 Years","Waitaki","South Island general electorates","$35,001– $40,000",57
"Male","75–79 Years","Waitaki","South Island general electorates","$35,001– $40,000",51
"Female","75–79 Years","Waitaki","South Island general electorates","$35,001– $40,000",33
"Male","80–84 Years","Waitaki","South Island general electorates","$35,001– $40,000",27
"Female","80–84 Years","Waitaki","South Island general electorates","$35,001– $40,000",18
"Male","85 Years And Over","Waitaki","South Island general electorates","$35,001– $40,000",9
"Female","85 Years And Over","Waitaki","South Island general electorates","$35,001– $40,000",12
"Male","15–19 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",48
"Female","15–19 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",12
"Male","20–24 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",165
"Female","20–24 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",69
"Male","25–29 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",120
"Female","25–29 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",81
"Male","30–34 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",102
"Female","30–34 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",93
"Male","35–39 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",123
"Female","35–39 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",138
"Male","40–44 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",147
"Female","40–44 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",159
"Male","45–49 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",159
"Female","45–49 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",159
"Male","50–54 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",195
"Female","50–54 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",198
"Male","55–59 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",180
"Female","55–59 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",162
"Male","60–64 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",165
"Female","60–64 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",114
"Male","65–69 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",108
"Female","65–69 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",69
"Male","70–74 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",57
"Female","70–74 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",45
"Male","75–79 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",33
"Female","75–79 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",24
"Male","80–84 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",15
"Female","80–84 Years","West Coast-Tasman","South Island general electorates","$35,001– $40,000",15
"Male","85 Years And Over","West Coast-Tasman","South Island general electorates","$35,001– $40,000",12
"Female","85 Years And Over","West Coast-Tasman","South Island general electorates","$35,001– $40,000",6
"Male","15–19 Years","Wigram","South Island general electorates","$35,001– $40,000",36
"Female","15–19 Years","Wigram","South Island general electorates","$35,001– $40,000",15
"Male","20–24 Years","Wigram","South Island general electorates","$35,001– $40,000",282
"Female","20–24 Years","Wigram","South Island general electorates","$35,001– $40,000",195
"Male","25–29 Years","Wigram","South Island general electorates","$35,001– $40,000",264
"Female","25–29 Years","Wigram","South Island general electorates","$35,001– $40,000",213
"Male","30–34 Years","Wigram","South Island general electorates","$35,001– $40,000",186
"Female","30–34 Years","Wigram","South Island general electorates","$35,001– $40,000",147
"Male","35–39 Years","Wigram","South Island general electorates","$35,001– $40,000",165
"Female","35–39 Years","Wigram","South Island general electorates","$35,001– $40,000",129
"Male","40–44 Years","Wigram","South Island general electorates","$35,001– $40,000",144
"Female","40–44 Years","Wigram","South Island general electorates","$35,001– $40,000",156
"Male","45–49 Years","Wigram","South Island general electorates","$35,001– $40,000",126
"Female","45–49 Years","Wigram","South Island general electorates","$35,001– $40,000",153
"Male","50–54 Years","Wigram","South Island general electorates","$35,001– $40,000",135
"Female","50–54 Years","Wigram","South Island general electorates","$35,001– $40,000",162
"Male","55–59 Years","Wigram","South Island general electorates","$35,001– $40,000",135
"Female","55–59 Years","Wigram","South Island general electorates","$35,001– $40,000",135
"Male","60–64 Years","Wigram","South Island general electorates","$35,001– $40,000",114
"Female","60–64 Years","Wigram","South Island general electorates","$35,001– $40,000",81
"Male","65–69 Years","Wigram","South Island general electorates","$35,001– $40,000",60
"Female","65–69 Years","Wigram","South Island general electorates","$35,001– $40,000",69
"Male","70–74 Years","Wigram","South Island general electorates","$35,001– $40,000",45
"Female","70–74 Years","Wigram","South Island general electorates","$35,001– $40,000",27
"Male","75–79 Years","Wigram","South Island general electorates","$35,001– $40,000",18
"Female","75–79 Years","Wigram","South Island general electorates","$35,001– $40,000",12
"Male","80–84 Years","Wigram","South Island general electorates","$35,001– $40,000",12
"Female","80–84 Years","Wigram","South Island general electorates","$35,001– $40,000",6
"Male","85 Years And Over","Wigram","South Island general electorates","$35,001– $40,000",27
"Female","85 Years And Over","Wigram","South Island general electorates","$35,001– $40,000",12
"Male","15–19 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","15–19 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","20–24 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","20–24 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","25–29 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","25–29 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","30–34 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","30–34 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","35–39 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","35–39 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","40–44 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","40–44 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","45–49 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","45–49 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","50–54 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","50–54 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","55–59 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","55–59 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","60–64 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","60–64 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","65–69 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","65–69 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","70–74 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","70–74 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","75–79 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","75–79 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","80–84 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","80–84 Years","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","85 Years And Over","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Female","85 Years And Over","Area Outside General Electorate","South Island general electorates","$35,001– $40,000",NA
"Male","15–19 Years","Auckland Central","North Island general electorates","$40,001– $50,000",6
"Female","15–19 Years","Auckland Central","North Island general electorates","$40,001– $50,000",12
"Male","20–24 Years","Auckland Central","North Island general electorates","$40,001– $50,000",315
"Female","20–24 Years","Auckland Central","North Island general electorates","$40,001– $50,000",294
"Male","25–29 Years","Auckland Central","North Island general electorates","$40,001– $50,000",564
"Female","25–29 Years","Auckland Central","North Island general electorates","$40,001– $50,000",534
"Male","30–34 Years","Auckland Central","North Island general electorates","$40,001– $50,000",363
"Female","30–34 Years","Auckland Central","North Island general electorates","$40,001– $50,000",297
"Male","35–39 Years","Auckland Central","North Island general electorates","$40,001– $50,000",186
"Female","35–39 Years","Auckland Central","North Island general electorates","$40,001– $50,000",177
"Male","40–44 Years","Auckland Central","North Island general electorates","$40,001– $50,000",141
"Female","40–44 Years","Auckland Central","North Island general electorates","$40,001– $50,000",117
"Male","45–49 Years","Auckland Central","North Island general electorates","$40,001– $50,000",120
"Female","45–49 Years","Auckland Central","North Island general electorates","$40,001– $50,000",126
"Male","50–54 Years","Auckland Central","North Island general electorates","$40,001– $50,000",108
"Female","50–54 Years","Auckland Central","North Island general electorates","$40,001– $50,000",102
"Male","55–59 Years","Auckland Central","North Island general electorates","$40,001– $50,000",87
"Female","55–59 Years","Auckland Central","North Island general electorates","$40,001– $50,000",96
"Male","60–64 Years","Auckland Central","North Island general electorates","$40,001– $50,000",96
"Female","60–64 Years","Auckland Central","North Island general electorates","$40,001– $50,000",93
"Male","65–69 Years","Auckland Central","North Island general electorates","$40,001– $50,000",81
"Female","65–69 Years","Auckland Central","North Island general electorates","$40,001– $50,000",81
"Male","70–74 Years","Auckland Central","North Island general electorates","$40,001– $50,000",45
"Female","70–74 Years","Auckland Central","North Island general electorates","$40,001– $50,000",27
"Male","75–79 Years","Auckland Central","North Island general electorates","$40,001– $50,000",15
"Female","75–79 Years","Auckland Central","North Island general electorates","$40,001– $50,000",6
"Male","80–84 Years","Auckland Central","North Island general electorates","$40,001– $50,000",9
"Female","80–84 Years","Auckland Central","North Island general electorates","$40,001– $50,000",3
"Male","85 Years And Over","Auckland Central","North Island general electorates","$40,001– $50,000",6
"Female","85 Years And Over","Auckland Central","North Island general electorates","$40,001– $50,000",3
"Male","15–19 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",9
"Female","15–19 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",0
"Male","20–24 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",114
"Female","20–24 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",66
"Male","25–29 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",231
"Female","25–29 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",153
"Male","30–34 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",222
"Female","30–34 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",174
"Male","35–39 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",207
"Female","35–39 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",186
"Male","40–44 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",282
"Female","40–44 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",273
"Male","45–49 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",258
"Female","45–49 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",288
"Male","50–54 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",234
"Female","50–54 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",279
"Male","55–59 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",231
"Female","55–59 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",231
"Male","60–64 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",201
"Female","60–64 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",186
"Male","65–69 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",147
"Female","65–69 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",111
"Male","70–74 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",111
"Female","70–74 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",60
"Male","75–79 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",51
"Female","75–79 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",39
"Male","80–84 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",42
"Female","80–84 Years","Bay of Plenty","North Island general electorates","$40,001– $50,000",24
"Male","85 Years And Over","Bay of Plenty","North Island general electorates","$40,001– $50,000",15
"Female","85 Years And Over","Bay of Plenty","North Island general electorates","$40,001– $50,000",24
"Male","15–19 Years","Botany","North Island general electorates","$40,001– $50,000",3
"Female","15–19 Years","Botany","North Island general electorates","$40,001– $50,000",6
"Male","20–24 Years","Botany","North Island general electorates","$40,001– $50,000",183
"Female","20–24 Years","Botany","North Island general electorates","$40,001– $50,000",171
"Male","25–29 Years","Botany","North Island general electorates","$40,001– $50,000",285
"Female","25–29 Years","Botany","North Island general electorates","$40,001– $50,000",324
"Male","30–34 Years","Botany","North Island general electorates","$40,001– $50,000",264
"Female","30–34 Years","Botany","North Island general electorates","$40,001– $50,000",267
"Male","35–39 Years","Botany","North Island general electorates","$40,001– $50,000",177
"Female","35–39 Years","Botany","North Island general electorates","$40,001– $50,000",249
"Male","40–44 Years","Botany","North Island general electorates","$40,001– $50,000",222
"Female","40–44 Years","Botany","North Island general electorates","$40,001– $50,000",255
"Male","45–49 Years","Botany","North Island general electorates","$40,001– $50,000",216
"Female","45–49 Years","Botany","North Island general electorates","$40,001– $50,000",303
"Male","50–54 Years","Botany","North Island general electorates","$40,001– $50,000",204
"Female","50–54 Years","Botany","North Island general electorates","$40,001– $50,000",252
"Male","55–59 Years","Botany","North Island general electorates","$40,001– $50,000",162
"Female","55–59 Years","Botany","North Island general electorates","$40,001– $50,000",177
"Male","60–64 Years","Botany","North Island general electorates","$40,001– $50,000",138
"Female","60–64 Years","Botany","North Island general electorates","$40,001– $50,000",150
"Male","65–69 Years","Botany","North Island general electorates","$40,001– $50,000",93
"Female","65–69 Years","Botany","North Island general electorates","$40,001– $50,000",78
"Male","70–74 Years","Botany","North Island general electorates","$40,001– $50,000",51
"Female","70–74 Years","Botany","North Island general electorates","$40,001– $50,000",36
"Male","75–79 Years","Botany","North Island general electorates","$40,001– $50,000",15
"Female","75–79 Years","Botany","North Island general electorates","$40,001– $50,000",15
"Male","80–84 Years","Botany","North Island general electorates","$40,001– $50,000",15
"Female","80–84 Years","Botany","North Island general electorates","$40,001– $50,000",12
"Male","85 Years And Over","Botany","North Island general electorates","$40,001– $50,000",18
"Female","85 Years And Over","Botany","North Island general electorates","$40,001– $50,000",12
"Male","15–19 Years","Coromandel","North Island general electorates","$40,001– $50,000",12
"Female","15–19 Years","Coromandel","North Island general electorates","$40,001– $50,000",3
"Male","20–24 Years","Coromandel","North Island general electorates","$40,001– $50,000",156
"Female","20–24 Years","Coromandel","North Island general electorates","$40,001– $50,000",51
"Male","25–29 Years","Coromandel","North Island general electorates","$40,001– $50,000",198
"Female","25–29 Years","Coromandel","North Island general electorates","$40,001– $50,000",120
"Male","30–34 Years","Coromandel","North Island general electorates","$40,001– $50,000",201
"Female","30–34 Years","Coromandel","North Island general electorates","$40,001– $50,000",87
"Male","35–39 Years","Coromandel","North Island general electorates","$40,001– $50,000",225
"Female","35–39 Years","Coromandel","North Island general electorates","$40,001– $50,000",126
"Male","40–44 Years","Coromandel","North Island general electorates","$40,001– $50,000",237
"Female","40–44 Years","Coromandel","North Island general electorates","$40,001– $50,000",165
"Male","45–49 Years","Coromandel","North Island general electorates","$40,001– $50,000",243
"Female","45–49 Years","Coromandel","North Island general electorates","$40,001– $50,000",219
"Male","50–54 Years","Coromandel","North Island general electorates","$40,001– $50,000",279
"Female","50–54 Years","Coromandel","North Island general electorates","$40,001– $50,000",207
"Male","55–59 Years","Coromandel","North Island general electorates","$40,001– $50,000",270
"Female","55–59 Years","Coromandel","North Island general electorates","$40,001– $50,000",210
"Male","60–64 Years","Coromandel","North Island general electorates","$40,001– $50,000",264
"Female","60–64 Years","Coromandel","North Island general electorates","$40,001– $50,000",174
"Male","65–69 Years","Coromandel","North Island general electorates","$40,001– $50,000",210
"Female","65–69 Years","Coromandel","North Island general electorates","$40,001– $50,000",120
"Male","70–74 Years","Coromandel","North Island general electorates","$40,001– $50,000",105
"Female","70–74 Years","Coromandel","North Island general electorates","$40,001– $50,000",84
"Male","75–79 Years","Coromandel","North Island general electorates","$40,001– $50,000",63
"Female","75–79 Years","Coromandel","North Island general electorates","$40,001– $50,000",33
"Male","80–84 Years","Coromandel","North Island general electorates","$40,001– $50,000",27
"Female","80–84 Years","Coromandel","North Island general electorates","$40,001– $50,000",33
"Male","85 Years And Over","Coromandel","North Island general electorates","$40,001– $50,000",18
"Female","85 Years And Over","Coromandel","North Island general electorates","$40,001– $50,000",12
"Male","15–19 Years","East Coast","North Island general electorates","$40,001– $50,000",30
"Female","15–19 Years","East Coast","North Island general electorates","$40,001– $50,000",6
"Male","20–24 Years","East Coast","North Island general electorates","$40,001– $50,000",189
"Female","20–24 Years","East Coast","North Island general electorates","$40,001– $50,000",114
"Male","25–29 Years","East Coast","North Island general electorates","$40,001– $50,000",270
"Female","25–29 Years","East Coast","North Island general electorates","$40,001– $50,000",165
"Male","30–34 Years","East Coast","North Island general electorates","$40,001– $50,000",282
"Female","30–34 Years","East Coast","North Island general electorates","$40,001– $50,000",201
"Male","35–39 Years","East Coast","North Island general electorates","$40,001– $50,000",273
"Female","35–39 Years","East Coast","North Island general electorates","$40,001– $50,000",213
"Male","40–44 Years","East Coast","North Island general electorates","$40,001– $50,000",306
"Female","40–44 Years","East Coast","North Island general electorates","$40,001– $50,000",279
"Male","45–49 Years","East Coast","North Island general electorates","$40,001– $50,000",324
"Female","45–49 Years","East Coast","North Island general electorates","$40,001– $50,000",306
"Male","50–54 Years","East Coast","North Island general electorates","$40,001– $50,000",345
"Female","50–54 Years","East Coast","North Island general electorates","$40,001– $50,000",294
"Male","55–59 Years","East Coast","North Island general electorates","$40,001– $50,000",324
"Female","55–59 Years","East Coast","North Island general electorates","$40,001– $50,000",249
"Male","60–64 Years","East Coast","North Island general electorates","$40,001– $50,000",276
"Female","60–64 Years","East Coast","North Island general electorates","$40,001– $50,000",204
"Male","65–69 Years","East Coast","North Island general electorates","$40,001– $50,000",180
"Female","65–69 Years","East Coast","North Island general electorates","$40,001– $50,000",123
"Male","70–74 Years","East Coast","North Island general electorates","$40,001– $50,000",105
"Female","70–74 Years","East Coast","North Island general electorates","$40,001– $50,000",57
"Male","75–79 Years","East Coast","North Island general electorates","$40,001– $50,000",36
"Female","75–79 Years","East Coast","North Island general electorates","$40,001– $50,000",39
"Male","80–84 Years","East Coast","North Island general electorates","$40,001– $50,000",36
"Female","80–84 Years","East Coast","North Island general electorates","$40,001– $50,000",12
"Male","85 Years And Over","East Coast","North Island general electorates","$40,001– $50,000",18
"Female","85 Years And Over","East Coast","North Island general electorates","$40,001– $50,000",18
"Male","15–19 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",18
"Female","15–19 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",3
"Male","20–24 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",180
"Female","20–24 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",150
"Male","25–29 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",231
"Female","25–29 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",234
"Male","30–34 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",189
"Female","30–34 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",183
"Male","35–39 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",153
"Female","35–39 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",168
"Male","40–44 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",180
"Female","40–44 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",279
"Male","45–49 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",186
"Female","45–49 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",258
"Male","50–54 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",165
"Female","50–54 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",246
"Male","55–59 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",138
"Female","55–59 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",198
"Male","60–64 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",123
"Female","60–64 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",144
"Male","65–69 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",93
"Female","65–69 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",90
"Male","70–74 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",81
"Female","70–74 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",54
"Male","75–79 Years","East Coast Bays","North Island general electorates","$40,001– $50,000",36
