"level0","level1","level2","level3","Total personal income(1)","count"
"Female","20–24 Years","Epsom","North Island general electorates","Loss",18
"Male","25–29 Years","Epsom","North Island general electorates","Loss",6
"Female","25–29 Years","Epsom","North Island general electorates","Loss",9
"Male","30–34 Years","Epsom","North Island general electorates","Loss",15
"Female","30–34 Years","Epsom","North Island general electorates","Loss",12
"Male","35–39 Years","Epsom","North Island general electorates","Loss",6
"Female","35–39 Years","Epsom","North Island general electorates","Loss",9
"Male","40–44 Years","Epsom","North Island general electorates","Loss",12
"Female","40–44 Years","Epsom","North Island general electorates","Loss",18
"Male","45–49 Years","Epsom","North Island general electorates","Loss",21
"Female","45–49 Years","Epsom","North Island general electorates","Loss",18
"Male","50–54 Years","Epsom","North Island general electorates","Loss",24
"Female","50–54 Years","Epsom","North Island general electorates","Loss",18
"Male","55–59 Years","Epsom","North Island general electorates","Loss",15
"Female","55–59 Years","Epsom","North Island general electorates","Loss",9
"Male","60–64 Years","Epsom","North Island general electorates","Loss",15
"Female","60–64 Years","Epsom","North Island general electorates","Loss",12
"Male","65–69 Years","Epsom","North Island general electorates","Loss",3
"Female","65–69 Years","Epsom","North Island general electorates","Loss",0
"Male","70–74 Years","Epsom","North Island general electorates","Loss",3
"Female","70–74 Years","Epsom","North Island general electorates","Loss",0
"Male","75–79 Years","Epsom","North Island general electorates","Loss",3
"Female","75–79 Years","Epsom","North Island general electorates","Loss",3
"Male","80–84 Years","Epsom","North Island general electorates","Loss",0
"Female","80–84 Years","Epsom","North Island general electorates","Loss",0
"Male","85 Years And Over","Epsom","North Island general electorates","Loss",0
"Female","85 Years And Over","Epsom","North Island general electorates","Loss",3
"Male","15–19 Years","Hamilton East","North Island general electorates","Loss",33
"Female","15–19 Years","Hamilton East","North Island general electorates","Loss",9
"Male","20–24 Years","Hamilton East","North Island general electorates","Loss",24
"Female","20–24 Years","Hamilton East","North Island general electorates","Loss",18
"Male","25–29 Years","Hamilton East","North Island general electorates","Loss",9
"Female","25–29 Years","Hamilton East","North Island general electorates","Loss",9
"Male","30–34 Years","Hamilton East","North Island general electorates","Loss",15
"Female","30–34 Years","Hamilton East","North Island general electorates","Loss",12
"Male","35–39 Years","Hamilton East","North Island general electorates","Loss",6
"Female","35–39 Years","Hamilton East","North Island general electorates","Loss",12
"Male","40–44 Years","Hamilton East","North Island general electorates","Loss",9
"Female","40–44 Years","Hamilton East","North Island general electorates","Loss",12
"Male","45–49 Years","Hamilton East","North Island general electorates","Loss",15
"Female","45–49 Years","Hamilton East","North Island general electorates","Loss",15
"Male","50–54 Years","Hamilton East","North Island general electorates","Loss",9
"Female","50–54 Years","Hamilton East","North Island general electorates","Loss",12
"Male","55–59 Years","Hamilton East","North Island general electorates","Loss",9
