"level0","level1","level2","Māori descent indicator(1) ","count"
"20–24 Years","Bay of Plenty","North Island general electorates","Don't Know",126
"25–29 Years","Bay of Plenty","North Island general electorates","Don't Know",102
"30–34 Years","Bay of Plenty","North Island general electorates","Don't Know",69
"35–39 Years","Bay of Plenty","North Island general electorates","Don't Know",96
"40–44 Years","Bay of Plenty","North Island general electorates","Don't Know",102
"45–49 Years","Bay of Plenty","North Island general electorates","Don't Know",87
"50–54 Years","Bay of Plenty","North Island general electorates","Don't Know",84
"55–59 Years","Bay of Plenty","North Island general electorates","Don't Know",75
"60–64 Years","Bay of Plenty","North Island general electorates","Don't Know",60
"65–69 Years","Bay of Plenty","North Island general electorates","Don't Know",39
"70–74 Years","Bay of Plenty","North Island general electorates","Don't Know",27
"75–79 Years","Bay of Plenty","North Island general electorates","Don't Know",12
"80–84 Years","Bay of Plenty","North Island general electorates","Don't Know",6
"85 Years And Over","Bay of Plenty","North Island general electorates","Don't Know",9
"18 Years And Over","Bay of Plenty","North Island general electorates","Don't Know",930
"0–4 Years","Botany","North Island general electorates","Don't Know",57
"5–9 Years","Botany","North Island general electorates","Don't Know",66
"10–14 Years","Botany","North Island general electorates","Don't Know",63
"15–19 Years","Botany","North Island general electorates","Don't Know",72
"20–24 Years","Botany","North Island general electorates","Don't Know",57
"25–29 Years","Botany","North Island general electorates","Don't Know",48
"30–34 Years","Botany","North Island general electorates","Don't Know",54
"35–39 Years","Botany","North Island general electorates","Don't Know",42
"40–44 Years","Botany","North Island general electorates","Don't Know",60
"45–49 Years","Botany","North Island general electorates","Don't Know",57
"50–54 Years","Botany","North Island general electorates","Don't Know",42
"55–59 Years","Botany","North Island general electorates","Don't Know",33
"60–64 Years","Botany","North Island general electorates","Don't Know",27
"65–69 Years","Botany","North Island general electorates","Don't Know",12
"70–74 Years","Botany","North Island general electorates","Don't Know",6
"75–79 Years","Botany","North Island general electorates","Don't Know",3
"80–84 Years","Botany","North Island general electorates","Don't Know",3
"85 Years And Over","Botany","North Island general electorates","Don't Know",3
"18 Years And Over","Botany","North Island general electorates","Don't Know",483
"0–4 Years","Coromandel","North Island general electorates","Don't Know",135
"5–9 Years","Coromandel","North Island general electorates","Don't Know",135
"10–14 Years","Coromandel","North Island general electorates","Don't Know",174
"15–19 Years","Coromandel","North Island general electorates","Don't Know",147
"20–24 Years","Coromandel","North Island general electorates","Don't Know",114
"25–29 Years","Coromandel","North Island general electorates","Don't Know",102
"30–34 Years","Coromandel","North Island general electorates","Don't Know",84
"35–39 Years","Coromandel","North Island general electorates","Don't Know",96
"40–44 Years","Coromandel","North Island general electorates","Don't Know",120
"45–49 Years","Coromandel","North Island general electorates","Don't Know",105
"50–54 Years","Coromandel","North Island general electorates","Don't Know",102
"55–59 Years","Coromandel","North Island general electorates","Don't Know",105
"60–64 Years","Coromandel","North Island general electorates","Don't Know",93
"65–69 Years","Coromandel","North Island general electorates","Don't Know",72
"70–74 Years","Coromandel","North Island general electorates","Don't Know",48
"75–79 Years","Coromandel","North Island general electorates","Don't Know",42
"80–84 Years","Coromandel","North Island general electorates","Don't Know",21
"85 Years And Over","Coromandel","North Island general electorates","Don't Know",18
"18 Years And Over","Coromandel","North Island general electorates","Don't Know",1170
"0–4 Years","East Coast","North Island general electorates","Don't Know",150
"5–9 Years","East Coast","North Island general electorates","Don't Know",135
"10–14 Years","East Coast","North Island general electorates","Don't Know",132
"15–19 Years","East Coast","North Island general electorates","Don't Know",174
"20–24 Years","East Coast","North Island general electorates","Don't Know",165
"25–29 Years","East Coast","North Island general electorates","Don't Know",129
"30–34 Years","East Coast","North Island general electorates","Don't Know",114
"35–39 Years","East Coast","North Island general electorates","Don't Know",102
"40–44 Years","East Coast","North Island general electorates","Don't Know",144
"45–49 Years","East Coast","North Island general electorates","Don't Know",123
"50–54 Years","East Coast","North Island general electorates","Don't Know",102
"55–59 Years","East Coast","North Island general electorates","Don't Know",90
"60–64 Years","East Coast","North Island general electorates","Don't Know",75
"65–69 Years","East Coast","North Island general electorates","Don't Know",72
"70–74 Years","East Coast","North Island general electorates","Don't Know",24
"75–79 Years","East Coast","North Island general electorates","Don't Know",21
"80–84 Years","East Coast","North Island general electorates","Don't Know",9
"85 Years And Over","East Coast","North Island general electorates","Don't Know",6
"18 Years And Over","East Coast","North Island general electorates","Don't Know",1236
"0–4 Years","East Coast Bays","North Island general electorates","Don't Know",39
"5–9 Years","East Coast Bays","North Island general electorates","Don't Know",36
"10–14 Years","East Coast Bays","North Island general electorates","Don't Know",60
"15–19 Years","East Coast Bays","North Island general electorates","Don't Know",75
"20–24 Years","East Coast Bays","North Island general electorates","Don't Know",81
"25–29 Years","East Coast Bays","North Island general electorates","Don't Know",51
"30–34 Years","East Coast Bays","North Island general electorates","Don't Know",39
"35–39 Years","East Coast Bays","North Island general electorates","Don't Know",36
"40–44 Years","East Coast Bays","North Island general electorates","Don't Know",66
"45–49 Years","East Coast Bays","North Island general electorates","Don't Know",60
"50–54 Years","East Coast Bays","North Island general electorates","Don't Know",48
"55–59 Years","East Coast Bays","North Island general electorates","Don't Know",30
"60–64 Years","East Coast Bays","North Island general electorates","Don't Know",36
"65–69 Years","East Coast Bays","North Island general electorates","Don't Know",15
"70–74 Years","East Coast Bays","North Island general electorates","Don't Know",12
"75–79 Years","East Coast Bays","North Island general electorates","Don't Know",6
"80–84 Years","East Coast Bays","North Island general electorates","Don't Know",6
"85 Years And Over","East Coast Bays","North Island general electorates","Don't Know",3
"18 Years And Over","East Coast Bays","North Island general electorates","Don't Know",531
"0–4 Years","Epsom","North Island general electorates","Don't Know",24
"5–9 Years","Epsom","North Island general electorates","Don't Know",30
"10–14 Years","Epsom","North Island general electorates","Don't Know",93
"15–19 Years","Epsom","North Island general electorates","Don't Know",117
"20–24 Years","Epsom","North Island general electorates","Don't Know",81
"25–29 Years","Epsom","North Island general electorates","Don't Know",81
"30–34 Years","Epsom","North Island general electorates","Don't Know",48
"35–39 Years","Epsom","North Island general electorates","Don't Know",45
"40–44 Years","Epsom","North Island general electorates","Don't Know",54
"45–49 Years","Epsom","North Island general electorates","Don't Know",63
"50–54 Years","Epsom","North Island general electorates","Don't Know",42
"55–59 Years","Epsom","North Island general electorates","Don't Know",39
"60–64 Years","Epsom","North Island general electorates","Don't Know",39
"65–69 Years","Epsom","North Island general electorates","Don't Know",39
"70–74 Years","Epsom","North Island general electorates","Don't Know",18
"75–79 Years","Epsom","North Island general electorates","Don't Know",6
"80–84 Years","Epsom","North Island general electorates","Don't Know",3
"85 Years And Over","Epsom","North Island general electorates","Don't Know",6
"18 Years And Over","Epsom","North Island general electorates","Don't Know",594
"0–4 Years","Hamilton East","North Island general electorates","Don't Know",105
"5–9 Years","Hamilton East","North Island general electorates","Don't Know",81
"10–14 Years","Hamilton East","North Island general electorates","Don't Know",123
"15–19 Years","Hamilton East","North Island general electorates","Don't Know",234
"20–24 Years","Hamilton East","North Island general electorates","Don't Know",222
"25–29 Years","Hamilton East","North Island general electorates","Don't Know",108
"30–34 Years","Hamilton East","North Island general electorates","Don't Know",84
"35–39 Years","Hamilton East","North Island general electorates","Don't Know",87
"40–44 Years","Hamilton East","North Island general electorates","Don't Know",84
"45–49 Years","Hamilton East","North Island general electorates","Don't Know",75
"50–54 Years","Hamilton East","North Island general electorates","Don't Know",72
"55–59 Years","Hamilton East","North Island general electorates","Don't Know",57
"60–64 Years","Hamilton East","North Island general electorates","Don't Know",30
"65–69 Years","Hamilton East","North Island general electorates","Don't Know",21
"70–74 Years","Hamilton East","North Island general electorates","Don't Know",12
"75–79 Years","Hamilton East","North Island general electorates","Don't Know",6
"80–84 Years","Hamilton East","North Island general electorates","Don't Know",6
"85 Years And Over","Hamilton East","North Island general electorates","Don't Know",6
"18 Years And Over","Hamilton East","North Island general electorates","Don't Know",1011
"0–4 Years","Hamilton West","North Island general electorates","Don't Know",123
"5–9 Years","Hamilton West","North Island general electorates","Don't Know",93
"10–14 Years","Hamilton West","North Island general electorates","Don't Know",123
"15–19 Years","Hamilton West","North Island general electorates","Don't Know",183
"20–24 Years","Hamilton West","North Island general electorates","Don't Know",189
"25–29 Years","Hamilton West","North Island general electorates","Don't Know",153
"30–34 Years","Hamilton West","North Island general electorates","Don't Know",111
"35–39 Years","Hamilton West","North Island general electorates","Don't Know",102
"40–44 Years","Hamilton West","North Island general electorates","Don't Know",114
"45–49 Years","Hamilton West","North Island general electorates","Don't Know",78
"50–54 Years","Hamilton West","North Island general electorates","Don't Know",81
"55–59 Years","Hamilton West","North Island general electorates","Don't Know",63
"60–64 Years","Hamilton West","North Island general electorates","Don't Know",51
"65–69 Years","Hamilton West","North Island general electorates","Don't Know",33
"70–74 Years","Hamilton West","North Island general electorates","Don't Know",21
"75–79 Years","Hamilton West","North Island general electorates","Don't Know",15
"80–84 Years","Hamilton West","North Island general electorates","Don't Know",6
"85 Years And Over","Hamilton West","North Island general electorates","Don't Know",3
"18 Years And Over","Hamilton West","North Island general electorates","Don't Know",1110
"0–4 Years","Helensville","North Island general electorates","Don't Know",78
"5–9 Years","Helensville","North Island general electorates","Don't Know",105
"10–14 Years","Helensville","North Island general electorates","Don't Know",117
"15–19 Years","Helensville","North Island general electorates","Don't Know",138
"20–24 Years","Helensville","North Island general electorates","Don't Know",108
"25–29 Years","Helensville","North Island general electorates","Don't Know",72
"30–34 Years","Helensville","North Island general electorates","Don't Know",69
"35–39 Years","Helensville","North Island general electorates","Don't Know",114
"40–44 Years","Helensville","North Island general electorates","Don't Know",111
"45–49 Years","Helensville","North Island general electorates","Don't Know",96
"50–54 Years","Helensville","North Island general electorates","Don't Know",90
"55–59 Years","Helensville","North Island general electorates","Don't Know",84
"60–64 Years","Helensville","North Island general electorates","Don't Know",60
"65–69 Years","Helensville","North Island general electorates","Don't Know",33
"70–74 Years","Helensville","North Island general electorates","Don't Know",12
"75–79 Years","Helensville","North Island general electorates","Don't Know",3
"80–84 Years","Helensville","North Island general electorates","Don't Know",6
"85 Years And Over","Helensville","North Island general electorates","Don't Know",12
"18 Years And Over","Helensville","North Island general electorates","Don't Know",912
"0–4 Years","Hunua","North Island general electorates","Don't Know",90
"5–9 Years","Hunua","North Island general electorates","Don't Know",105
"10–14 Years","Hunua","North Island general electorates","Don't Know",126
"15–19 Years","Hunua","North Island general electorates","Don't Know",132
"20–24 Years","Hunua","North Island general electorates","Don't Know",93
"25–29 Years","Hunua","North Island general electorates","Don't Know",78
"30–34 Years","Hunua","North Island general electorates","Don't Know",69
"35–39 Years","Hunua","North Island general electorates","Don't Know",84
"40–44 Years","Hunua","North Island general electorates","Don't Know",93
"45–49 Years","Hunua","North Island general electorates","Don't Know",105
"50–54 Years","Hunua","North Island general electorates","Don't Know",87
"55–59 Years","Hunua","North Island general electorates","Don't Know",45
"60–64 Years","Hunua","North Island general electorates","Don't Know",60
"65–69 Years","Hunua","North Island general electorates","Don't Know",30
"70–74 Years","Hunua","North Island general electorates","Don't Know",27
"75–79 Years","Hunua","North Island general electorates","Don't Know",9
"80–84 Years","Hunua","North Island general electorates","Don't Know",6
"85 Years And Over","Hunua","North Island general electorates","Don't Know",3
"18 Years And Over","Hunua","North Island general electorates","Don't Know",840
"0–4 Years","Hutt South","North Island general electorates","Don't Know",108
"5–9 Years","Hutt South","North Island general electorates","Don't Know",108
"10–14 Years","Hutt South","North Island general electorates","Don't Know",90
"15–19 Years","Hutt South","North Island general electorates","Don't Know",117
"20–24 Years","Hutt South","North Island general electorates","Don't Know",111
"25–29 Years","Hutt South","North Island general electorates","Don't Know",90
"30–34 Years","Hutt South","North Island general electorates","Don't Know",81
"35–39 Years","Hutt South","North Island general electorates","Don't Know",90
"40–44 Years","Hutt South","North Island general electorates","Don't Know",126
"45–49 Years","Hutt South","North Island general electorates","Don't Know",72
"50–54 Years","Hutt South","North Island general electorates","Don't Know",63
"55–59 Years","Hutt South","North Island general electorates","Don't Know",60
"60–64 Years","Hutt South","North Island general electorates","Don't Know",42
"65–69 Years","Hutt South","North Island general electorates","Don't Know",27
"70–74 Years","Hutt South","North Island general electorates","Don't Know",12
"75–79 Years","Hutt South","North Island general electorates","Don't Know",9
"80–84 Years","Hutt South","North Island general electorates","Don't Know",3
"85 Years And Over","Hutt South","North Island general electorates","Don't Know",6
"18 Years And Over","Hutt South","North Island general electorates","Don't Know",840
"0–4 Years","Kelston","North Island general electorates","Don't Know",120
"5–9 Years","Kelston","North Island general electorates","Don't Know",108
"10–14 Years","Kelston","North Island general electorates","Don't Know",108
"15–19 Years","Kelston","North Island general electorates","Don't Know",117
"20–24 Years","Kelston","North Island general electorates","Don't Know",120
"25–29 Years","Kelston","North Island general electorates","Don't Know",99
"30–34 Years","Kelston","North Island general electorates","Don't Know",90
"35–39 Years","Kelston","North Island general electorates","Don't Know",90
"40–44 Years","Kelston","North Island general electorates","Don't Know",84
"45–49 Years","Kelston","North Island general electorates","Don't Know",81
"50–54 Years","Kelston","North Island general electorates","Don't Know",60
"55–59 Years","Kelston","North Island general electorates","Don't Know",42
"60–64 Years","Kelston","North Island general electorates","Don't Know",42
"65–69 Years","Kelston","North Island general electorates","Don't Know",21
"70–74 Years","Kelston","North Island general electorates","Don't Know",9
"75–79 Years","Kelston","North Island general electorates","Don't Know",9
"80–84 Years","Kelston","North Island general electorates","Don't Know",3
"85 Years And Over","Kelston","North Island general electorates","Don't Know",9
"18 Years And Over","Kelston","North Island general electorates","Don't Know",804
"0–4 Years","Mana","North Island general electorates","Don't Know",120
"5–9 Years","Mana","North Island general electorates","Don't Know",117
"10–14 Years","Mana","North Island general electorates","Don't Know",129
"15–19 Years","Mana","North Island general electorates","Don't Know",117
"20–24 Years","Mana","North Island general electorates","Don't Know",105
"25–29 Years","Mana","North Island general electorates","Don't Know",72
"30–34 Years","Mana","North Island general electorates","Don't Know",87
"35–39 Years","Mana","North Island general electorates","Don't Know",93
"40–44 Years","Mana","North Island general electorates","Don't Know",99
"45–49 Years","Mana","North Island general electorates","Don't Know",99
"50–54 Years","Mana","North Island general electorates","Don't Know",84
"55–59 Years","Mana","North Island general electorates","Don't Know",66
"60–64 Years","Mana","North Island general electorates","Don't Know",45
"65–69 Years","Mana","North Island general electorates","Don't Know",42
"70–74 Years","Mana","North Island general electorates","Don't Know",21
"75–79 Years","Mana","North Island general electorates","Don't Know",9
"80–84 Years","Mana","North Island general electorates","Don't Know",9
"85 Years And Over","Mana","North Island general electorates","Don't Know",6
"18 Years And Over","Mana","North Island general electorates","Don't Know",873
"0–4 Years","Mangere","North Island general electorates","Don't Know",132
"5–9 Years","Mangere","North Island general electorates","Don't Know",99
"10–14 Years","Mangere","North Island general electorates","Don't Know",114
"15–19 Years","Mangere","North Island general electorates","Don't Know",129
"20–24 Years","Mangere","North Island general electorates","Don't Know",81
"25–29 Years","Mangere","North Island general electorates","Don't Know",72
"30–34 Years","Mangere","North Island general electorates","Don't Know",60
"35–39 Years","Mangere","North Island general electorates","Don't Know",60
"40–44 Years","Mangere","North Island general electorates","Don't Know",63
"45–49 Years","Mangere","North Island general electorates","Don't Know",66
"50–54 Years","Mangere","North Island general electorates","Don't Know",42
"55–59 Years","Mangere","North Island general electorates","Don't Know",39
"60–64 Years","Mangere","North Island general electorates","Don't Know",39
"65–69 Years","Mangere","North Island general electorates","Don't Know",18
"70–74 Years","Mangere","North Island general electorates","Don't Know",9
"75–79 Years","Mangere","North Island general electorates","Don't Know",3
"80–84 Years","Mangere","North Island general electorates","Don't Know",3
"85 Years And Over","Mangere","North Island general electorates","Don't Know",3
"18 Years And Over","Mangere","North Island general electorates","Don't Know",603
"0–4 Years","Manukau East","North Island general electorates","Don't Know",120
"5–9 Years","Manukau East","North Island general electorates","Don't Know",93
"10–14 Years","Manukau East","North Island general electorates","Don't Know",90
"15–19 Years","Manukau East","North Island general electorates","Don't Know",102
"20–24 Years","Manukau East","North Island general electorates","Don't Know",111
"25–29 Years","Manukau East","North Island general electorates","Don't Know",81
"30–34 Years","Manukau East","North Island general electorates","Don't Know",72
"35–39 Years","Manukau East","North Island general electorates","Don't Know",63
"40–44 Years","Manukau East","North Island general electorates","Don't Know",51
"45–49 Years","Manukau East","North Island general electorates","Don't Know",54
"50–54 Years","Manukau East","North Island general electorates","Don't Know",48
"55–59 Years","Manukau East","North Island general electorates","Don't Know",18
"60–64 Years","Manukau East","North Island general electorates","Don't Know",42
"65–69 Years","Manukau East","North Island general electorates","Don't Know",18
"70–74 Years","Manukau East","North Island general electorates","Don't Know",6
"75–79 Years","Manukau East","North Island general electorates","Don't Know",3
"80–84 Years","Manukau East","North Island general electorates","Don't Know",0
"85 Years And Over","Manukau East","North Island general electorates","Don't Know",6
"18 Years And Over","Manukau East","North Island general electorates","Don't Know",624
"0–4 Years","Manurewa","North Island general electorates","Don't Know",153
"5–9 Years","Manurewa","North Island general electorates","Don't Know",138
"10–14 Years","Manurewa","North Island general electorates","Don't Know",120
"15–19 Years","Manurewa","North Island general electorates","Don't Know",117
"20–24 Years","Manurewa","North Island general electorates","Don't Know",111
"25–29 Years","Manurewa","North Island general electorates","Don't Know",96
"30–34 Years","Manurewa","North Island general electorates","Don't Know",69
"35–39 Years","Manurewa","North Island general electorates","Don't Know",78
"40–44 Years","Manurewa","North Island general electorates","Don't Know",78
"45–49 Years","Manurewa","North Island general electorates","Don't Know",72
"50–54 Years","Manurewa","North Island general electorates","Don't Know",57
"55–59 Years","Manurewa","North Island general electorates","Don't Know",30
"60–64 Years","Manurewa","North Island general electorates","Don't Know",30
"65–69 Years","Manurewa","North Island general electorates","Don't Know",21
"70–74 Years","Manurewa","North Island general electorates","Don't Know",15
"75–79 Years","Manurewa","North Island general electorates","Don't Know",6
"80–84 Years","Manurewa","North Island general electorates","Don't Know",3
"85 Years And Over","Manurewa","North Island general electorates","Don't Know",6
"18 Years And Over","Manurewa","North Island general electorates","Don't Know",723
"0–4 Years","Maungakiekie","North Island general electorates","Don't Know",90
"5–9 Years","Maungakiekie","North Island general electorates","Don't Know",63
"10–14 Years","Maungakiekie","North Island general electorates","Don't Know",84
"15–19 Years","Maungakiekie","North Island general electorates","Don't Know",81
"20–24 Years","Maungakiekie","North Island general electorates","Don't Know",105
"25–29 Years","Maungakiekie","North Island general electorates","Don't Know",120
"30–34 Years","Maungakiekie","North Island general electorates","Don't Know",108
"35–39 Years","Maungakiekie","North Island general electorates","Don't Know",87
"40–44 Years","Maungakiekie","North Island general electorates","Don't Know",75
"45–49 Years","Maungakiekie","North Island general electorates","Don't Know",63
"50–54 Years","Maungakiekie","North Island general electorates","Don't Know",60
"55–59 Years","Maungakiekie","North Island general electorates","Don't Know",42
"60–64 Years","Maungakiekie","North Island general electorates","Don't Know",24
"65–69 Years","Maungakiekie","North Island general electorates","Don't Know",24
"70–74 Years","Maungakiekie","North Island general electorates","Don't Know",9
"75–79 Years","Maungakiekie","North Island general electorates","Don't Know",12
"80–84 Years","Maungakiekie","North Island general electorates","Don't Know",12
"85 Years And Over","Maungakiekie","North Island general electorates","Don't Know",24
"18 Years And Over","Maungakiekie","North Island general electorates","Don't Know",795
"0–4 Years","Mt Albert","North Island general electorates","Don't Know",75
"5–9 Years","Mt Albert","North Island general electorates","Don't Know",72
"10–14 Years","Mt Albert","North Island general electorates","Don't Know",72
"15–19 Years","Mt Albert","North Island general electorates","Don't Know",102
"20–24 Years","Mt Albert","North Island general electorates","Don't Know",150
"25–29 Years","Mt Albert","North Island general electorates","Don't Know",141
"30–34 Years","Mt Albert","North Island general electorates","Don't Know",111
"35–39 Years","Mt Albert","North Island general electorates","Don't Know",105
"40–44 Years","Mt Albert","North Island general electorates","Don't Know",90
"45–49 Years","Mt Albert","North Island general electorates","Don't Know",84
"50–54 Years","Mt Albert","North Island general electorates","Don't Know",69
"55–59 Years","Mt Albert","North Island general electorates","Don't Know",45
"60–64 Years","Mt Albert","North Island general electorates","Don't Know",24
"65–69 Years","Mt Albert","North Island general electorates","Don't Know",18
"70–74 Years","Mt Albert","North Island general electorates","Don't Know",15
"75–79 Years","Mt Albert","North Island general electorates","Don't Know",12
"80–84 Years","Mt Albert","North Island general electorates","Don't Know",9
"85 Years And Over","Mt Albert","North Island general electorates","Don't Know",6
"18 Years And Over","Mt Albert","North Island general electorates","Don't Know",912
"0–4 Years","Mt Roskill","North Island general electorates","Don't Know",57
"5–9 Years","Mt Roskill","North Island general electorates","Don't Know",51
"10–14 Years","Mt Roskill","North Island general electorates","Don't Know",54
"15–19 Years","Mt Roskill","North Island general electorates","Don't Know",78
"20–24 Years","Mt Roskill","North Island general electorates","Don't Know",90
"25–29 Years","Mt Roskill","North Island general electorates","Don't Know",78
"30–34 Years","Mt Roskill","North Island general electorates","Don't Know",57
"35–39 Years","Mt Roskill","North Island general electorates","Don't Know",48
"40–44 Years","Mt Roskill","North Island general electorates","Don't Know",54
"45–49 Years","Mt Roskill","North Island general electorates","Don't Know",57
"50–54 Years","Mt Roskill","North Island general electorates","Don't Know",42
"55–59 Years","Mt Roskill","North Island general electorates","Don't Know",42
"60–64 Years","Mt Roskill","North Island general electorates","Don't Know",33
"65–69 Years","Mt Roskill","North Island general electorates","Don't Know",27
"70–74 Years","Mt Roskill","North Island general electorates","Don't Know",15
"75–79 Years","Mt Roskill","North Island general electorates","Don't Know",12
"80–84 Years","Mt Roskill","North Island general electorates","Don't Know",9
"85 Years And Over","Mt Roskill","North Island general electorates","Don't Know",9
"18 Years And Over","Mt Roskill","North Island general electorates","Don't Know",606
"0–4 Years","Napier","North Island general electorates","Don't Know",132
"5–9 Years","Napier","North Island general electorates","Don't Know",141
"10–14 Years","Napier","North Island general electorates","Don't Know",177
"15–19 Years","Napier","North Island general electorates","Don't Know",186
"20–24 Years","Napier","North Island general electorates","Don't Know",147
"25–29 Years","Napier","North Island general electorates","Don't Know",102
"30–34 Years","Napier","North Island general electorates","Don't Know",96
"35–39 Years","Napier","North Island general electorates","Don't Know",108
"40–44 Years","Napier","North Island general electorates","Don't Know",111
"45–49 Years","Napier","North Island general electorates","Don't Know",96
"50–54 Years","Napier","North Island general electorates","Don't Know",111
"55–59 Years","Napier","North Island general electorates","Don't Know",75
"60–64 Years","Napier","North Island general electorates","Don't Know",72
"65–69 Years","Napier","North Island general electorates","Don't Know",42
"70–74 Years","Napier","North Island general electorates","Don't Know",30
"75–79 Years","Napier","North Island general electorates","Don't Know",18
"80–84 Years","Napier","North Island general electorates","Don't Know",9
"85 Years And Over","Napier","North Island general electorates","Don't Know",24
"18 Years And Over","Napier","North Island general electorates","Don't Know",1113
"0–4 Years","New Lynn","North Island general electorates","Don't Know",69
"5–9 Years","New Lynn","North Island general electorates","Don't Know",66
"10–14 Years","New Lynn","North Island general electorates","Don't Know",57
"15–19 Years","New Lynn","North Island general electorates","Don't Know",78
"20–24 Years","New Lynn","North Island general electorates","Don't Know",87
"25–29 Years","New Lynn","North Island general electorates","Don't Know",78
"30–34 Years","New Lynn","North Island general electorates","Don't Know",60
"35–39 Years","New Lynn","North Island general electorates","Don't Know",81
"40–44 Years","New Lynn","North Island general electorates","Don't Know",72
"45–49 Years","New Lynn","North Island general electorates","Don't Know",69
"50–54 Years","New Lynn","North Island general electorates","Don't Know",51
"55–59 Years","New Lynn","North Island general electorates","Don't Know",54
"60–64 Years","New Lynn","North Island general electorates","Don't Know",39
"65–69 Years","New Lynn","North Island general electorates","Don't Know",30
"70–74 Years","New Lynn","North Island general electorates","Don't Know",18
"75–79 Years","New Lynn","North Island general electorates","Don't Know",24
"80–84 Years","New Lynn","North Island general electorates","Don't Know",24
"85 Years And Over","New Lynn","North Island general electorates","Don't Know",27
"18 Years And Over","New Lynn","North Island general electorates","Don't Know",747
"0–4 Years","New Plymouth","North Island general electorates","Don't Know",150
"5–9 Years","New Plymouth","North Island general electorates","Don't Know",135
"10–14 Years","New Plymouth","North Island general electorates","Don't Know",147
"15–19 Years","New Plymouth","North Island general electorates","Don't Know",171
"20–24 Years","New Plymouth","North Island general electorates","Don't Know",174
"25–29 Years","New Plymouth","North Island general electorates","Don't Know",153
"30–34 Years","New Plymouth","North Island general electorates","Don't Know",99
"35–39 Years","New Plymouth","North Island general electorates","Don't Know",123
"40–44 Years","New Plymouth","North Island general electorates","Don't Know",111
"45–49 Years","New Plymouth","North Island general electorates","Don't Know",93
"50–54 Years","New Plymouth","North Island general electorates","Don't Know",96
"55–59 Years","New Plymouth","North Island general electorates","Don't Know",69
"60–64 Years","New Plymouth","North Island general electorates","Don't Know",60
"65–69 Years","New Plymouth","North Island general electorates","Don't Know",33
"70–74 Years","New Plymouth","North Island general electorates","Don't Know",24
"75–79 Years","New Plymouth","North Island general electorates","Don't Know",9
"80–84 Years","New Plymouth","North Island general electorates","Don't Know",12
"85 Years And Over","New Plymouth","North Island general electorates","Don't Know",6
"18 Years And Over","New Plymouth","North Island general electorates","Don't Know",1125
"0–4 Years","North Shore","North Island general electorates","Don't Know",51
"5–9 Years","North Shore","North Island general electorates","Don't Know",54
"10–14 Years","North Shore","North Island general electorates","Don't Know",75
"15–19 Years","North Shore","North Island general electorates","Don't Know",111
"20–24 Years","North Shore","North Island general electorates","Don't Know",108
"25–29 Years","North Shore","North Island general electorates","Don't Know",69
"30–34 Years","North Shore","North Island general electorates","Don't Know",51
"35–39 Years","North Shore","North Island general electorates","Don't Know",51
"40–44 Years","North Shore","North Island general electorates","Don't Know",54
"45–49 Years","North Shore","North Island general electorates","Don't Know",72
"50–54 Years","North Shore","North Island general electorates","Don't Know",81
"55–59 Years","North Shore","North Island general electorates","Don't Know",48
"60–64 Years","North Shore","North Island general electorates","Don't Know",51
"65–69 Years","North Shore","North Island general electorates","Don't Know",39
"70–74 Years","North Shore","North Island general electorates","Don't Know",21
"75–79 Years","North Shore","North Island general electorates","Don't Know",12
"80–84 Years","North Shore","North Island general electorates","Don't Know",12
"85 Years And Over","North Shore","North Island general electorates","Don't Know",3
"18 Years And Over","North Shore","North Island general electorates","Don't Know",717
"0–4 Years","Northcote","North Island general electorates","Don't Know",81
"5–9 Years","Northcote","North Island general electorates","Don't Know",60
"10–14 Years","Northcote","North Island general electorates","Don't Know",60
"15–19 Years","Northcote","North Island general electorates","Don't Know",102
"20–24 Years","Northcote","North Island general electorates","Don't Know",117
"25–29 Years","Northcote","North Island general electorates","Don't Know",78
"30–34 Years","Northcote","North Island general electorates","Don't Know",84
"35–39 Years","Northcote","North Island general electorates","Don't Know",75
"40–44 Years","Northcote","North Island general electorates","Don't Know",87
"45–49 Years","Northcote","North Island general electorates","Don't Know",57
"50–54 Years","Northcote","North Island general electorates","Don't Know",60
"55–59 Years","Northcote","North Island general electorates","Don't Know",33
"60–64 Years","Northcote","North Island general electorates","Don't Know",39
"65–69 Years","Northcote","North Island general electorates","Don't Know",30
"70–74 Years","Northcote","North Island general electorates","Don't Know",15
"75–79 Years","Northcote","North Island general electorates","Don't Know",6
"80–84 Years","Northcote","North Island general electorates","Don't Know",6
"85 Years And Over","Northcote","North Island general electorates","Don't Know",9
"18 Years And Over","Northcote","North Island general electorates","Don't Know",735
"0–4 Years","Northland","North Island general electorates","Don't Know",159
"5–9 Years","Northland","North Island general electorates","Don't Know",165
"10–14 Years","Northland","North Island general electorates","Don't Know",168
"15–19 Years","Northland","North Island general electorates","Don't Know",159
"20–24 Years","Northland","North Island general electorates","Don't Know",120
"25–29 Years","Northland","North Island general electorates","Don't Know",102
"30–34 Years","Northland","North Island general electorates","Don't Know",84
"35–39 Years","Northland","North Island general electorates","Don't Know",123
"40–44 Years","Northland","North Island general electorates","Don't Know",147
"45–49 Years","Northland","North Island general electorates","Don't Know",132
"50–54 Years","Northland","North Island general electorates","Don't Know",141
"55–59 Years","Northland","North Island general electorates","Don't Know",135
"60–64 Years","Northland","North Island general electorates","Don't Know",111
