"level0","level1","level2","Māori descent indicator(1) ","count"
"10–14 Years","Kelston","North Island general electorates","Māori descent",819
"15–19 Years","Kelston","North Island general electorates","Māori descent",921
"20–24 Years","Kelston","North Island general electorates","Māori descent",813
"25–29 Years","Kelston","North Island general electorates","Māori descent",591
"30–34 Years","Kelston","North Island general electorates","Māori descent",558
"35–39 Years","Kelston","North Island general electorates","Māori descent",543
"40–44 Years","Kelston","North Island general electorates","Māori descent",561
"45–49 Years","Kelston","North Island general electorates","Māori descent",507
"50–54 Years","Kelston","North Island general electorates","Māori descent",438
"55–59 Years","Kelston","North Island general electorates","Māori descent",315
"60–64 Years","Kelston","North Island general electorates","Māori descent",219
"65–69 Years","Kelston","North Island general electorates","Māori descent",162
"70–74 Years","Kelston","North Island general electorates","Māori descent",90
"75–79 Years","Kelston","North Island general electorates","Māori descent",54
"80–84 Years","Kelston","North Island general electorates","Māori descent",30
"85 Years And Over","Kelston","North Island general electorates","Māori descent",12
"18 Years And Over","Kelston","North Island general electorates","Māori descent",5280
"0–4 Years","Mana","North Island general electorates","Māori descent",1617
"5–9 Years","Mana","North Island general electorates","Māori descent",1548
"10–14 Years","Mana","North Island general electorates","Māori descent",1401
"15–19 Years","Mana","North Island general electorates","Māori descent",1326
"20–24 Years","Mana","North Island general electorates","Māori descent",1023
"25–29 Years","Mana","North Island general electorates","Māori descent",720
"30–34 Years","Mana","North Island general electorates","Māori descent",744
"35–39 Years","Mana","North Island general electorates","Māori descent",822
"40–44 Years","Mana","North Island general electorates","Māori descent",906
"45–49 Years","Mana","North Island general electorates","Māori descent",741
"50–54 Years","Mana","North Island general electorates","Māori descent",672
"55–59 Years","Mana","North Island general electorates","Māori descent",480
"60–64 Years","Mana","North Island general electorates","Māori descent",372
"65–69 Years","Mana","North Island general electorates","Māori descent",237
"70–74 Years","Mana","North Island general electorates","Māori descent",183
"75–79 Years","Mana","North Island general electorates","Māori descent",99
"80–84 Years","Mana","North Island general electorates","Māori descent",36
"85 Years And Over","Mana","North Island general electorates","Māori descent",15
"18 Years And Over","Mana","North Island general electorates","Māori descent",7524
"0–4 Years","Mangere","North Island general electorates","Māori descent",1272
"5–9 Years","Mangere","North Island general electorates","Māori descent",1134
"10–14 Years","Mangere","North Island general electorates","Māori descent",1089
"15–19 Years","Mangere","North Island general electorates","Māori descent",1074
"20–24 Years","Mangere","North Island general electorates","Māori descent",849
"25–29 Years","Mangere","North Island general electorates","Māori descent",612
"30–34 Years","Mangere","North Island general electorates","Māori descent",504
"35–39 Years","Mangere","North Island general electorates","Māori descent",540
"40–44 Years","Mangere","North Island general electorates","Māori descent",651
"45–49 Years","Mangere","North Island general electorates","Māori descent",555
"50–54 Years","Mangere","North Island general electorates","Māori descent",438
