"level0","level1","Household composition","count"
"Rimutaka","North Island general electorates","Other multi-person household",1854
"Rodney","North Island general electorates","Other multi-person household",1317
"Rongotai","North Island general electorates","Other multi-person household",5460
"Rotorua","North Island general electorates","Other multi-person household",2682
"Tamaki","North Island general electorates","Other multi-person household",2283
"Taranaki-King Country","North Island general electorates","Other multi-person household",1500
"Taupo","North Island general electorates","Other multi-person household",2025
"Tauranga","North Island general electorates","Other multi-person household",2889
"Te Atatu","North Island general electorates","Other multi-person household",2130
"Tukituki","North Island general electorates","Other multi-person household",2319
"Upper Harbour","North Island general electorates","Other multi-person household",2253
"Waikato","North Island general electorates","Other multi-person household",1785
"Wairarapa","North Island general electorates","Other multi-person household",1842
"Wellington Central","North Island general electorates","Other multi-person household",11658
"Whanganui","North Island general electorates","Other multi-person household",2298
"Whangarei","North Island general electorates","Other multi-person household",2217
"Christchurch Central","South Island general electorates","Other multi-person household",5646
"Christchurch East","South Island general electorates","Other multi-person household",2850
"Clutha-Southland","South Island general electorates","Other multi-person household",3084
"Dunedin North","South Island general electorates","Other multi-person household",10773
"Dunedin South","South Island general electorates","Other multi-person household",1905
"Ilam","South Island general electorates","Other multi-person household",4455
"Invercargill","South Island general electorates","Other multi-person household",2454
"Kaikoura","South Island general electorates","Other multi-person household",1824
"Nelson","South Island general electorates","Other multi-person household",2247
"Port Hills","South Island general electorates","Other multi-person household",2328
"Rangitata","South Island general electorates","Other multi-person household",2064
"Selwyn","South Island general electorates","Other multi-person household",1377
"Waimakariri","South Island general electorates","Other multi-person household",1302
"Waitaki","South Island general electorates","Other multi-person household",1788
"West Coast-Tasman","South Island general electorates","Other multi-person household",1788
"Wigram","South Island general electorates","Other multi-person household",6201
"Area Outside General Electorate","South Island general electorates","Other multi-person household",NA
"Auckland Central","North Island general electorates","One-person household",8172
"Bay of Plenty","North Island general electorates","One-person household",5070
"Botany","North Island general electorates","One-person household",2025
"Coromandel","North Island general electorates","One-person household",7713
"East Coast","North Island general electorates","One-person household",8577
"East Coast Bays","North Island general electorates","One-person household",3084
"Epsom","North Island general electorates","One-person household",4371
"Hamilton East","North Island general electorates","One-person household",5385
"Hamilton West","North Island general electorates","One-person household",5778
"Helensville","North Island general electorates","One-person household",3339
"Hunua","North Island general electorates","One-person household",3894
"Hutt South","North Island general electorates","One-person household",5916
"Kelston","North Island general electorates","One-person household",3618
"Mana","North Island general electorates","One-person household",4632
"Mangere","North Island general electorates","One-person household",1704
"Manukau East","North Island general electorates","One-person household",2703
"Manurewa","North Island general electorates","One-person household",2592
"Maungakiekie","North Island general electorates","One-person household",5079
"Mt Albert","North Island general electorates","One-person household",4620
"Mt Roskill","North Island general electorates","One-person household",3771
"Napier","North Island general electorates","One-person household",7503
"New Lynn","North Island general electorates","One-person household",4107
"New Plymouth","North Island general electorates","One-person household",7131
"North Shore","North Island general electorates","One-person household",4794
"Northcote","North Island general electorates","One-person household",4104
"Northland","North Island general electorates","One-person household",8598
"Ohariu","North Island general electorates","One-person household",4251
"Otaki","North Island general electorates","One-person household",8178
"Pakuranga","North Island general electorates","One-person household",3522
"Palmerston North","North Island general electorates","One-person household",6576
"Papakura","North Island general electorates","One-person household",3873
"Rangitikei","North Island general electorates","One-person household",6279
"Rimutaka","North Island general electorates","One-person household",6252
"Rodney","North Island general electorates","One-person household",5487
"Rongotai","North Island general electorates","One-person household",5973
"Rotorua","North Island general electorates","One-person household",6789
"Tamaki","North Island general electorates","One-person household",4527
"Taranaki-King Country","North Island general electorates","One-person household",5664
"Taupo","North Island general electorates","One-person household",7188
"Tauranga","North Island general electorates","One-person household",6858
"Te Atatu","North Island general electorates","One-person household",3936
"Tukituki","North Island general electorates","One-person household",6378
"Upper Harbour","North Island general electorates","One-person household",2796
"Waikato","North Island general electorates","One-person household",5388
"Wairarapa","North Island general electorates","One-person household",7515
"Wellington Central","North Island general electorates","One-person household",6360
"Whanganui","North Island general electorates","One-person household",8679
"Whangarei","North Island general electorates","One-person household",7197
"Christchurch Central","South Island general electorates","One-person household",8379
"Christchurch East","South Island general electorates","One-person household",5967
"Clutha-Southland","South Island general electorates","One-person household",6207
"Dunedin North","South Island general electorates","One-person household",5820
"Dunedin South","South Island general electorates","One-person household",7050
"Ilam","South Island general electorates","One-person household",4893
"Invercargill","South Island general electorates","One-person household",7041
"Kaikoura","South Island general electorates","One-person household",6183
"Nelson","South Island general electorates","One-person household",6312
"Port Hills","South Island general electorates","One-person household",5649
"Rangitata","South Island general electorates","One-person household",7038
"Selwyn","South Island general electorates","One-person household",3276
"Waimakariri","South Island general electorates","One-person household",4419
"Waitaki","South Island general electorates","One-person household",6894
"West Coast-Tasman","South Island general electorates","One-person household",6708
"Wigram","South Island general electorates","One-person household",5466
"Area Outside General Electorate","South Island general electorates","One-person household",NA
"Auckland Central","North Island general electorates","Household composition unidentifiable",2646
"Bay of Plenty","North Island general electorates","Household composition unidentifiable",1695
"Botany","North Island general electorates","Household composition unidentifiable",1392
"Coromandel","North Island general electorates","Household composition unidentifiable",1461
"East Coast","North Island general electorates","Household composition unidentifiable",4314
"East Coast Bays","North Island general electorates","Household composition unidentifiable",1473
"Epsom","North Island general electorates","Household composition unidentifiable",1677
"Hamilton East","North Island general electorates","Household composition unidentifiable",2058
"Hamilton West","North Island general electorates","Household composition unidentifiable",2031
"Helensville","North Island general electorates","Household composition unidentifiable",2481
"Hunua","North Island general electorates","Household composition unidentifiable",1947
"Hutt South","North Island general electorates","Household composition unidentifiable",1692
"Kelston","North Island general electorates","Household composition unidentifiable",2664
"Mana","North Island general electorates","Household composition unidentifiable",2022
"Mangere","North Island general electorates","Household composition unidentifiable",3279
"Manukau East","North Island general electorates","Household composition unidentifiable",2871
"Manurewa","North Island general electorates","Household composition unidentifiable",3888
"Maungakiekie","North Island general electorates","Household composition unidentifiable",2904
