"level0","level1","level2","level3","Years at usual residence","count"
"Female","85 Years And Over","Waitaki","South Island general electorates","15–19 Years",63
"Male","0–4 Years","West Coast-Tasman","South Island general electorates","15–19 Years",0
"Female","0–4 Years","West Coast-Tasman","South Island general electorates","15–19 Years",0
"Male","5–9 Years","West Coast-Tasman","South Island general electorates","15–19 Years",0
"Female","5–9 Years","West Coast-Tasman","South Island general electorates","15–19 Years",0
"Male","10–14 Years","West Coast-Tasman","South Island general electorates","15–19 Years",0
"Female","10–14 Years","West Coast-Tasman","South Island general electorates","15–19 Years",0
"Male","15–19 Years","West Coast-Tasman","South Island general electorates","15–19 Years",390
"Female","15–19 Years","West Coast-Tasman","South Island general electorates","15–19 Years",330
"Male","20–24 Years","West Coast-Tasman","South Island general electorates","15–19 Years",72
"Female","20–24 Years","West Coast-Tasman","South Island general electorates","15–19 Years",39
"Male","25–29 Years","West Coast-Tasman","South Island general electorates","15–19 Years",27
"Female","25–29 Years","West Coast-Tasman","South Island general electorates","15–19 Years",15
"Male","30–34 Years","West Coast-Tasman","South Island general electorates","15–19 Years",12
"Female","30–34 Years","West Coast-Tasman","South Island general electorates","15–19 Years",12
"Male","35–39 Years","West Coast-Tasman","South Island general electorates","15–19 Years",39
"Female","35–39 Years","West Coast-Tasman","South Island general electorates","15–19 Years",69
"Male","40–44 Years","West Coast-Tasman","South Island general electorates","15–19 Years",123
"Female","40–44 Years","West Coast-Tasman","South Island general electorates","15–19 Years",147
"Male","45–49 Years","West Coast-Tasman","South Island general electorates","15–19 Years",192
"Female","45–49 Years","West Coast-Tasman","South Island general electorates","15–19 Years",228
"Male","50–54 Years","West Coast-Tasman","South Island general electorates","15–19 Years",252
"Female","50–54 Years","West Coast-Tasman","South Island general electorates","15–19 Years",279
"Male","55–59 Years","West Coast-Tasman","South Island general electorates","15–19 Years",213
"Female","55–59 Years","West Coast-Tasman","South Island general electorates","15–19 Years",198
"Male","60–64 Years","West Coast-Tasman","South Island general electorates","15–19 Years",189
"Female","60–64 Years","West Coast-Tasman","South Island general electorates","15–19 Years",168
"Male","65–69 Years","West Coast-Tasman","South Island general electorates","15–19 Years",156
"Female","65–69 Years","West Coast-Tasman","South Island general electorates","15–19 Years",174
"Male","70–74 Years","West Coast-Tasman","South Island general electorates","15–19 Years",111
"Female","70–74 Years","West Coast-Tasman","South Island general electorates","15–19 Years",111
"Male","75–79 Years","West Coast-Tasman","South Island general electorates","15–19 Years",90
"Female","75–79 Years","West Coast-Tasman","South Island general electorates","15–19 Years",69
"Male","80–84 Years","West Coast-Tasman","South Island general electorates","15–19 Years",54
"Female","80–84 Years","West Coast-Tasman","South Island general electorates","15–19 Years",48
"Male","85 Years And Over","West Coast-Tasman","South Island general electorates","15–19 Years",36
"Female","85 Years And Over","West Coast-Tasman","South Island general electorates","15–19 Years",45
"Male","0–4 Years","Wigram","South Island general electorates","15–19 Years",0
"Female","0–4 Years","Wigram","South Island general electorates","15–19 Years",0
"Male","5–9 Years","Wigram","South Island general electorates","15–19 Years",0
"Female","5–9 Years","Wigram","South Island general electorates","15–19 Years",0
"Male","10–14 Years","Wigram","South Island general electorates","15–19 Years",0
"Female","10–14 Years","Wigram","South Island general electorates","15–19 Years",0
"Male","15–19 Years","Wigram","South Island general electorates","15–19 Years",237
"Female","15–19 Years","Wigram","South Island general electorates","15–19 Years",195
"Male","20–24 Years","Wigram","South Island general electorates","15–19 Years",63
"Female","20–24 Years","Wigram","South Island general electorates","15–19 Years",60
"Male","25–29 Years","Wigram","South Island general electorates","15–19 Years",36
"Female","25–29 Years","Wigram","South Island general electorates","15–19 Years",24
"Male","30–34 Years","Wigram","South Island general electorates","15–19 Years",12
"Female","30–34 Years","Wigram","South Island general electorates","15–19 Years",15
"Male","35–39 Years","Wigram","South Island general electorates","15–19 Years",21
"Female","35–39 Years","Wigram","South Island general electorates","15–19 Years",36
"Male","40–44 Years","Wigram","South Island general electorates","15–19 Years",72
"Female","40–44 Years","Wigram","South Island general electorates","15–19 Years",111
"Male","45–49 Years","Wigram","South Island general electorates","15–19 Years",135
"Female","45–49 Years","Wigram","South Island general electorates","15–19 Years",150
"Male","50–54 Years","Wigram","South Island general electorates","15–19 Years",165
"Female","50–54 Years","Wigram","South Island general electorates","15–19 Years",177
"Male","55–59 Years","Wigram","South Island general electorates","15–19 Years",153
"Female","55–59 Years","Wigram","South Island general electorates","15–19 Years",165
"Male","60–64 Years","Wigram","South Island general electorates","15–19 Years",150
"Female","60–64 Years","Wigram","South Island general electorates","15–19 Years",138
"Male","65–69 Years","Wigram","South Island general electorates","15–19 Years",117
"Female","65–69 Years","Wigram","South Island general electorates","15–19 Years",138
"Male","70–74 Years","Wigram","South Island general electorates","15–19 Years",87
"Female","70–74 Years","Wigram","South Island general electorates","15–19 Years",102
"Male","75–79 Years","Wigram","South Island general electorates","15–19 Years",60
"Female","75–79 Years","Wigram","South Island general electorates","15–19 Years",69
"Male","80–84 Years","Wigram","South Island general electorates","15–19 Years",36
"Female","80–84 Years","Wigram","South Island general electorates","15–19 Years",66
"Male","85 Years And Over","Wigram","South Island general electorates","15–19 Years",30
"Female","85 Years And Over","Wigram","South Island general electorates","15–19 Years",63
"Male","0–4 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","0–4 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","5–9 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","5–9 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","10–14 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","10–14 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","15–19 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","15–19 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","20–24 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","20–24 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","25–29 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","25–29 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","30–34 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","30–34 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","35–39 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","35–39 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","40–44 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","40–44 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","45–49 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","45–49 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","50–54 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","50–54 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","55–59 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","55–59 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","60–64 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","60–64 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","65–69 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","65–69 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","70–74 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","70–74 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","75–79 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","75–79 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","80–84 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","80–84 Years","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","85 Years And Over","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Female","85 Years And Over","Area Outside General Electorate","South Island general electorates","15–19 Years",NA
"Male","0–4 Years","Auckland Central","North Island general electorates","20–24 Years",0
"Female","0–4 Years","Auckland Central","North Island general electorates","20–24 Years",0
"Male","5–9 Years","Auckland Central","North Island general electorates","20–24 Years",0
"Female","5–9 Years","Auckland Central","North Island general electorates","20–24 Years",0
"Male","10–14 Years","Auckland Central","North Island general electorates","20–24 Years",0
"Female","10–14 Years","Auckland Central","North Island general electorates","20–24 Years",0
"Male","15–19 Years","Auckland Central","North Island general electorates","20–24 Years",0
"Female","15–19 Years","Auckland Central","North Island general electorates","20–24 Years",0
"Male","20–24 Years","Auckland Central","North Island general electorates","20–24 Years",84
"Female","20–24 Years","Auckland Central","North Island general electorates","20–24 Years",63
"Male","25–29 Years","Auckland Central","North Island general electorates","20–24 Years",9
"Female","25–29 Years","Auckland Central","North Island general electorates","20–24 Years",6
"Male","30–34 Years","Auckland Central","North Island general electorates","20–24 Years",6
"Female","30–34 Years","Auckland Central","North Island general electorates","20–24 Years",3
"Male","35–39 Years","Auckland Central","North Island general electorates","20–24 Years",3
"Female","35–39 Years","Auckland Central","North Island general electorates","20–24 Years",3
"Male","40–44 Years","Auckland Central","North Island general electorates","20–24 Years",12
"Female","40–44 Years","Auckland Central","North Island general electorates","20–24 Years",3
"Male","45–49 Years","Auckland Central","North Island general electorates","20–24 Years",21
"Female","45–49 Years","Auckland Central","North Island general electorates","20–24 Years",33
"Male","50–54 Years","Auckland Central","North Island general electorates","20–24 Years",69
"Female","50–54 Years","Auckland Central","North Island general electorates","20–24 Years",72
"Male","55–59 Years","Auckland Central","North Island general electorates","20–24 Years",72
"Female","55–59 Years","Auckland Central","North Island general electorates","20–24 Years",72
"Male","60–64 Years","Auckland Central","North Island general electorates","20–24 Years",57
"Female","60–64 Years","Auckland Central","North Island general electorates","20–24 Years",72
"Male","65–69 Years","Auckland Central","North Island general electorates","20–24 Years",48
"Female","65–69 Years","Auckland Central","North Island general electorates","20–24 Years",48
"Male","70–74 Years","Auckland Central","North Island general electorates","20–24 Years",42
"Female","70–74 Years","Auckland Central","North Island general electorates","20–24 Years",27
"Male","75–79 Years","Auckland Central","North Island general electorates","20–24 Years",21
"Female","75–79 Years","Auckland Central","North Island general electorates","20–24 Years",18
"Male","80–84 Years","Auckland Central","North Island general electorates","20–24 Years",15
"Female","80–84 Years","Auckland Central","North Island general electorates","20–24 Years",21
"Male","85 Years And Over","Auckland Central","North Island general electorates","20–24 Years",12
"Female","85 Years And Over","Auckland Central","North Island general electorates","20–24 Years",15
"Male","0–4 Years","Bay of Plenty","North Island general electorates","20–24 Years",0
"Female","0–4 Years","Bay of Plenty","North Island general electorates","20–24 Years",0
"Male","5–9 Years","Bay of Plenty","North Island general electorates","20–24 Years",0
"Female","5–9 Years","Bay of Plenty","North Island general electorates","20–24 Years",0
"Male","10–14 Years","Bay of Plenty","North Island general electorates","20–24 Years",0
"Female","10–14 Years","Bay of Plenty","North Island general electorates","20–24 Years",0
"Male","15–19 Years","Bay of Plenty","North Island general electorates","20–24 Years",0
"Female","15–19 Years","Bay of Plenty","North Island general electorates","20–24 Years",0
"Male","20–24 Years","Bay of Plenty","North Island general electorates","20–24 Years",75
"Female","20–24 Years","Bay of Plenty","North Island general electorates","20–24 Years",51
"Male","25–29 Years","Bay of Plenty","North Island general electorates","20–24 Years",15
"Female","25–29 Years","Bay of Plenty","North Island general electorates","20–24 Years",9
"Male","30–34 Years","Bay of Plenty","North Island general electorates","20–24 Years",12
"Female","30–34 Years","Bay of Plenty","North Island general electorates","20–24 Years",6
"Male","35–39 Years","Bay of Plenty","North Island general electorates","20–24 Years",6
"Female","35–39 Years","Bay of Plenty","North Island general electorates","20–24 Years",6
"Male","40–44 Years","Bay of Plenty","North Island general electorates","20–24 Years",18
"Female","40–44 Years","Bay of Plenty","North Island general electorates","20–24 Years",24
"Male","45–49 Years","Bay of Plenty","North Island general electorates","20–24 Years",51
"Female","45–49 Years","Bay of Plenty","North Island general electorates","20–24 Years",72
"Male","50–54 Years","Bay of Plenty","North Island general electorates","20–24 Years",102
"Female","50–54 Years","Bay of Plenty","North Island general electorates","20–24 Years",123
"Male","55–59 Years","Bay of Plenty","North Island general electorates","20–24 Years",114
"Female","55–59 Years","Bay of Plenty","North Island general electorates","20–24 Years",138
"Male","60–64 Years","Bay of Plenty","North Island general electorates","20–24 Years",84
"Female","60–64 Years","Bay of Plenty","North Island general electorates","20–24 Years",90
"Male","65–69 Years","Bay of Plenty","North Island general electorates","20–24 Years",108
"Female","65–69 Years","Bay of Plenty","North Island general electorates","20–24 Years",117
"Male","70–74 Years","Bay of Plenty","North Island general electorates","20–24 Years",72
"Female","70–74 Years","Bay of Plenty","North Island general electorates","20–24 Years",93
"Male","75–79 Years","Bay of Plenty","North Island general electorates","20–24 Years",57
"Female","75–79 Years","Bay of Plenty","North Island general electorates","20–24 Years",75
"Male","80–84 Years","Bay of Plenty","North Island general electorates","20–24 Years",69
"Female","80–84 Years","Bay of Plenty","North Island general electorates","20–24 Years",81
"Male","85 Years And Over","Bay of Plenty","North Island general electorates","20–24 Years",42
"Female","85 Years And Over","Bay of Plenty","North Island general electorates","20–24 Years",57
"Male","0–4 Years","Botany","North Island general electorates","20–24 Years",0
"Female","0–4 Years","Botany","North Island general electorates","20–24 Years",0
"Male","5–9 Years","Botany","North Island general electorates","20–24 Years",0
"Female","5–9 Years","Botany","North Island general electorates","20–24 Years",0
"Male","10–14 Years","Botany","North Island general electorates","20–24 Years",0
"Female","10–14 Years","Botany","North Island general electorates","20–24 Years",0
"Male","15–19 Years","Botany","North Island general electorates","20–24 Years",0
"Female","15–19 Years","Botany","North Island general electorates","20–24 Years",0
"Male","20–24 Years","Botany","North Island general electorates","20–24 Years",114
"Female","20–24 Years","Botany","North Island general electorates","20–24 Years",108
"Male","25–29 Years","Botany","North Island general electorates","20–24 Years",30
"Female","25–29 Years","Botany","North Island general electorates","20–24 Years",33
"Male","30–34 Years","Botany","North Island general electorates","20–24 Years",24
"Female","30–34 Years","Botany","North Island general electorates","20–24 Years",24
"Male","35–39 Years","Botany","North Island general electorates","20–24 Years",12
"Female","35–39 Years","Botany","North Island general electorates","20–24 Years",18
"Male","40–44 Years","Botany","North Island general electorates","20–24 Years",15
"Female","40–44 Years","Botany","North Island general electorates","20–24 Years",12
"Male","45–49 Years","Botany","North Island general electorates","20–24 Years",21
"Female","45–49 Years","Botany","North Island general electorates","20–24 Years",51
"Male","50–54 Years","Botany","North Island general electorates","20–24 Years",66
"Female","50–54 Years","Botany","North Island general electorates","20–24 Years",93
"Male","55–59 Years","Botany","North Island general electorates","20–24 Years",87
"Female","55–59 Years","Botany","North Island general electorates","20–24 Years",99
"Male","60–64 Years","Botany","North Island general electorates","20–24 Years",84
"Female","60–64 Years","Botany","North Island general electorates","20–24 Years",111
"Male","65–69 Years","Botany","North Island general electorates","20–24 Years",75
"Female","65–69 Years","Botany","North Island general electorates","20–24 Years",84
"Male","70–74 Years","Botany","North Island general electorates","20–24 Years",63
"Female","70–74 Years","Botany","North Island general electorates","20–24 Years",60
"Male","75–79 Years","Botany","North Island general electorates","20–24 Years",42
"Female","75–79 Years","Botany","North Island general electorates","20–24 Years",39
"Male","80–84 Years","Botany","North Island general electorates","20–24 Years",18
"Female","80–84 Years","Botany","North Island general electorates","20–24 Years",21
"Male","85 Years And Over","Botany","North Island general electorates","20–24 Years",12
"Female","85 Years And Over","Botany","North Island general electorates","20–24 Years",18
"Male","0–4 Years","Coromandel","North Island general electorates","20–24 Years",0
"Female","0–4 Years","Coromandel","North Island general electorates","20–24 Years",0
"Male","5–9 Years","Coromandel","North Island general electorates","20–24 Years",0
"Female","5–9 Years","Coromandel","North Island general electorates","20–24 Years",0
"Male","10–14 Years","Coromandel","North Island general electorates","20–24 Years",0
"Female","10–14 Years","Coromandel","North Island general electorates","20–24 Years",0
"Male","15–19 Years","Coromandel","North Island general electorates","20–24 Years",0
"Female","15–19 Years","Coromandel","North Island general electorates","20–24 Years",0
"Male","20–24 Years","Coromandel","North Island general electorates","20–24 Years",99
"Female","20–24 Years","Coromandel","North Island general electorates","20–24 Years",54
"Male","25–29 Years","Coromandel","North Island general electorates","20–24 Years",15
"Female","25–29 Years","Coromandel","North Island general electorates","20–24 Years",9
"Male","30–34 Years","Coromandel","North Island general electorates","20–24 Years",12
"Female","30–34 Years","Coromandel","North Island general electorates","20–24 Years",6
"Male","35–39 Years","Coromandel","North Island general electorates","20–24 Years",15
"Female","35–39 Years","Coromandel","North Island general electorates","20–24 Years",3
"Male","40–44 Years","Coromandel","North Island general electorates","20–24 Years",36
"Female","40–44 Years","Coromandel","North Island general electorates","20–24 Years",51
"Male","45–49 Years","Coromandel","North Island general electorates","20–24 Years",90
"Female","45–49 Years","Coromandel","North Island general electorates","20–24 Years",114
"Male","50–54 Years","Coromandel","North Island general electorates","20–24 Years",150
"Female","50–54 Years","Coromandel","North Island general electorates","20–24 Years",183
"Male","55–59 Years","Coromandel","North Island general electorates","20–24 Years",183
"Female","55–59 Years","Coromandel","North Island general electorates","20–24 Years",165
"Male","60–64 Years","Coromandel","North Island general electorates","20–24 Years",144
"Female","60–64 Years","Coromandel","North Island general electorates","20–24 Years",141
"Male","65–69 Years","Coromandel","North Island general electorates","20–24 Years",117
"Female","65–69 Years","Coromandel","North Island general electorates","20–24 Years",144
"Male","70–74 Years","Coromandel","North Island general electorates","20–24 Years",126
"Female","70–74 Years","Coromandel","North Island general electorates","20–24 Years",126
"Male","75–79 Years","Coromandel","North Island general electorates","20–24 Years",105
"Female","75–79 Years","Coromandel","North Island general electorates","20–24 Years",111
"Male","80–84 Years","Coromandel","North Island general electorates","20–24 Years",84
"Female","80–84 Years","Coromandel","North Island general electorates","20–24 Years",93
"Male","85 Years And Over","Coromandel","North Island general electorates","20–24 Years",33
"Female","85 Years And Over","Coromandel","North Island general electorates","20–24 Years",33
"Male","0–4 Years","East Coast","North Island general electorates","20–24 Years",0
"Female","0–4 Years","East Coast","North Island general electorates","20–24 Years",0
"Male","5–9 Years","East Coast","North Island general electorates","20–24 Years",0
"Female","5–9 Years","East Coast","North Island general electorates","20–24 Years",0
"Male","10–14 Years","East Coast","North Island general electorates","20–24 Years",0
"Female","10–14 Years","East Coast","North Island general electorates","20–24 Years",0
"Male","15–19 Years","East Coast","North Island general electorates","20–24 Years",0
"Female","15–19 Years","East Coast","North Island general electorates","20–24 Years",0
"Male","20–24 Years","East Coast","North Island general electorates","20–24 Years",261
"Female","20–24 Years","East Coast","North Island general electorates","20–24 Years",186
"Male","25–29 Years","East Coast","North Island general electorates","20–24 Years",54
"Female","25–29 Years","East Coast","North Island general electorates","20–24 Years",36
"Male","30–34 Years","East Coast","North Island general electorates","20–24 Years",33
"Female","30–34 Years","East Coast","North Island general electorates","20–24 Years",15
"Male","35–39 Years","East Coast","North Island general electorates","20–24 Years",24
"Female","35–39 Years","East Coast","North Island general electorates","20–24 Years",33
"Male","40–44 Years","East Coast","North Island general electorates","20–24 Years",63
"Female","40–44 Years","East Coast","North Island general electorates","20–24 Years",93
"Male","45–49 Years","East Coast","North Island general electorates","20–24 Years",150
"Female","45–49 Years","East Coast","North Island general electorates","20–24 Years",255
"Male","50–54 Years","East Coast","North Island general electorates","20–24 Years",285
"Female","50–54 Years","East Coast","North Island general electorates","20–24 Years",342
"Male","55–59 Years","East Coast","North Island general electorates","20–24 Years",255
"Female","55–59 Years","East Coast","North Island general electorates","20–24 Years",285
"Male","60–64 Years","East Coast","North Island general electorates","20–24 Years",270
"Female","60–64 Years","East Coast","North Island general electorates","20–24 Years",243
"Male","65–69 Years","East Coast","North Island general electorates","20–24 Years",192
"Female","65–69 Years","East Coast","North Island general electorates","20–24 Years",192
"Male","70–74 Years","East Coast","North Island general electorates","20–24 Years",174
"Female","70–74 Years","East Coast","North Island general electorates","20–24 Years",150
"Male","75–79 Years","East Coast","North Island general electorates","20–24 Years",90
"Female","75–79 Years","East Coast","North Island general electorates","20–24 Years",102
"Male","80–84 Years","East Coast","North Island general electorates","20–24 Years",72
"Female","80–84 Years","East Coast","North Island general electorates","20–24 Years",90
"Male","85 Years And Over","East Coast","North Island general electorates","20–24 Years",39
"Female","85 Years And Over","East Coast","North Island general electorates","20–24 Years",48
"Male","0–4 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Female","0–4 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Male","5–9 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Female","5–9 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Male","10–14 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Female","10–14 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Male","15–19 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Female","15–19 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Male","20–24 Years","East Coast Bays","North Island general electorates","20–24 Years",114
"Female","20–24 Years","East Coast Bays","North Island general electorates","20–24 Years",102
"Male","25–29 Years","East Coast Bays","North Island general electorates","20–24 Years",30
"Female","25–29 Years","East Coast Bays","North Island general electorates","20–24 Years",15
"Male","30–34 Years","East Coast Bays","North Island general electorates","20–24 Years",12
"Female","30–34 Years","East Coast Bays","North Island general electorates","20–24 Years",3
"Male","35–39 Years","East Coast Bays","North Island general electorates","20–24 Years",0
"Female","35–39 Years","East Coast Bays","North Island general electorates","20–24 Years",3
"Male","40–44 Years","East Coast Bays","North Island general electorates","20–24 Years",6
"Female","40–44 Years","East Coast Bays","North Island general electorates","20–24 Years",12
"Male","45–49 Years","East Coast Bays","North Island general electorates","20–24 Years",27
"Female","45–49 Years","East Coast Bays","North Island general electorates","20–24 Years",45
"Male","50–54 Years","East Coast Bays","North Island general electorates","20–24 Years",78
"Female","50–54 Years","East Coast Bays","North Island general electorates","20–24 Years",111
"Male","55–59 Years","East Coast Bays","North Island general electorates","20–24 Years",111
"Female","55–59 Years","East Coast Bays","North Island general electorates","20–24 Years",132
"Male","60–64 Years","East Coast Bays","North Island general electorates","20–24 Years",105
"Female","60–64 Years","East Coast Bays","North Island general electorates","20–24 Years",111
"Male","65–69 Years","East Coast Bays","North Island general electorates","20–24 Years",81
"Female","65–69 Years","East Coast Bays","North Island general electorates","20–24 Years",66
"Male","70–74 Years","East Coast Bays","North Island general electorates","20–24 Years",45
"Female","70–74 Years","East Coast Bays","North Island general electorates","20–24 Years",66
"Male","75–79 Years","East Coast Bays","North Island general electorates","20–24 Years",39
"Female","75–79 Years","East Coast Bays","North Island general electorates","20–24 Years",27
"Male","80–84 Years","East Coast Bays","North Island general electorates","20–24 Years",24
"Female","80–84 Years","East Coast Bays","North Island general electorates","20–24 Years",30
"Male","85 Years And Over","East Coast Bays","North Island general electorates","20–24 Years",18
"Female","85 Years And Over","East Coast Bays","North Island general electorates","20–24 Years",45
"Male","0–4 Years","Epsom","North Island general electorates","20–24 Years",0
"Female","0–4 Years","Epsom","North Island general electorates","20–24 Years",0
"Male","5–9 Years","Epsom","North Island general electorates","20–24 Years",0
"Female","5–9 Years","Epsom","North Island general electorates","20–24 Years",0
"Male","10–14 Years","Epsom","North Island general electorates","20–24 Years",0
"Female","10–14 Years","Epsom","North Island general electorates","20–24 Years",0
"Male","15–19 Years","Epsom","North Island general electorates","20–24 Years",0
"Female","15–19 Years","Epsom","North Island general electorates","20–24 Years",0
"Male","20–24 Years","Epsom","North Island general electorates","20–24 Years",168
"Female","20–24 Years","Epsom","North Island general electorates","20–24 Years",141
"Male","25–29 Years","Epsom","North Island general electorates","20–24 Years",36
"Female","25–29 Years","Epsom","North Island general electorates","20–24 Years",30
"Male","30–34 Years","Epsom","North Island general electorates","20–24 Years",12
"Female","30–34 Years","Epsom","North Island general electorates","20–24 Years",9
"Male","35–39 Years","Epsom","North Island general electorates","20–24 Years",15
"Female","35–39 Years","Epsom","North Island general electorates","20–24 Years",6
"Male","40–44 Years","Epsom","North Island general electorates","20–24 Years",12
"Female","40–44 Years","Epsom","North Island general electorates","20–24 Years",9
"Male","45–49 Years","Epsom","North Island general electorates","20–24 Years",39
"Female","45–49 Years","Epsom","North Island general electorates","20–24 Years",51
"Male","50–54 Years","Epsom","North Island general electorates","20–24 Years",93
"Female","50–54 Years","Epsom","North Island general electorates","20–24 Years",147
"Male","55–59 Years","Epsom","North Island general electorates","20–24 Years",162
"Female","55–59 Years","Epsom","North Island general electorates","20–24 Years",207
"Male","60–64 Years","Epsom","North Island general electorates","20–24 Years",180
"Female","60–64 Years","Epsom","North Island general electorates","20–24 Years",174
"Male","65–69 Years","Epsom","North Island general electorates","20–24 Years",96
"Female","65–69 Years","Epsom","North Island general electorates","20–24 Years",111
"Male","70–74 Years","Epsom","North Island general electorates","20–24 Years",78
"Female","70–74 Years","Epsom","North Island general electorates","20–24 Years",78
"Male","75–79 Years","Epsom","North Island general electorates","20–24 Years",33
"Female","75–79 Years","Epsom","North Island general electorates","20–24 Years",42
"Male","80–84 Years","Epsom","North Island general electorates","20–24 Years",33
"Female","80–84 Years","Epsom","North Island general electorates","20–24 Years",30
"Male","85 Years And Over","Epsom","North Island general electorates","20–24 Years",30
"Female","85 Years And Over","Epsom","North Island general electorates","20–24 Years",39
"Male","0–4 Years","Hamilton East","North Island general electorates","20–24 Years",0
"Female","0–4 Years","Hamilton East","North Island general electorates","20–24 Years",0
"Male","5–9 Years","Hamilton East","North Island general electorates","20–24 Years",0
"Female","5–9 Years","Hamilton East","North Island general electorates","20–24 Years",0
"Male","10–14 Years","Hamilton East","North Island general electorates","20–24 Years",0
"Female","10–14 Years","Hamilton East","North Island general electorates","20–24 Years",0
"Male","15–19 Years","Hamilton East","North Island general electorates","20–24 Years",0
"Female","15–19 Years","Hamilton East","North Island general electorates","20–24 Years",0
"Male","20–24 Years","Hamilton East","North Island general electorates","20–24 Years",81
"Female","20–24 Years","Hamilton East","North Island general electorates","20–24 Years",63
"Male","25–29 Years","Hamilton East","North Island general electorates","20–24 Years",18
"Female","25–29 Years","Hamilton East","North Island general electorates","20–24 Years",9
"Male","30–34 Years","Hamilton East","North Island general electorates","20–24 Years",9
"Female","30–34 Years","Hamilton East","North Island general electorates","20–24 Years",6
"Male","35–39 Years","Hamilton East","North Island general electorates","20–24 Years",6
"Female","35–39 Years","Hamilton East","North Island general electorates","20–24 Years",3
"Male","40–44 Years","Hamilton East","North Island general electorates","20–24 Years",9
"Female","40–44 Years","Hamilton East","North Island general electorates","20–24 Years",15
"Male","45–49 Years","Hamilton East","North Island general electorates","20–24 Years",27
"Female","45–49 Years","Hamilton East","North Island general electorates","20–24 Years",45
"Male","50–54 Years","Hamilton East","North Island general electorates","20–24 Years",57
"Female","50–54 Years","Hamilton East","North Island general electorates","20–24 Years",93
"Male","55–59 Years","Hamilton East","North Island general electorates","20–24 Years",96
"Female","55–59 Years","Hamilton East","North Island general electorates","20–24 Years",111
"Male","60–64 Years","Hamilton East","North Island general electorates","20–24 Years",96
"Female","60–64 Years","Hamilton East","North Island general electorates","20–24 Years",105
"Male","65–69 Years","Hamilton East","North Island general electorates","20–24 Years",81
"Female","65–69 Years","Hamilton East","North Island general electorates","20–24 Years",93
"Male","70–74 Years","Hamilton East","North Island general electorates","20–24 Years",51
"Female","70–74 Years","Hamilton East","North Island general electorates","20–24 Years",66
"Male","75–79 Years","Hamilton East","North Island general electorates","20–24 Years",27
"Female","75–79 Years","Hamilton East","North Island general electorates","20–24 Years",39
"Male","80–84 Years","Hamilton East","North Island general electorates","20–24 Years",30
"Female","80–84 Years","Hamilton East","North Island general electorates","20–24 Years",45
"Male","85 Years And Over","Hamilton East","North Island general electorates","20–24 Years",21
"Female","85 Years And Over","Hamilton East","North Island general electorates","20–24 Years",39
