"level0","level1","level2","level3","Years at usual residence","count"
"Female","35–39 Years","Epsom","North Island general electorates","Less than 1 Year",492
"Male","40–44 Years","Epsom","North Island general electorates","Less than 1 Year",492
"Female","40–44 Years","Epsom","North Island general electorates","Less than 1 Year",603
"Male","45–49 Years","Epsom","North Island general electorates","Less than 1 Year",432
"Female","45–49 Years","Epsom","North Island general electorates","Less than 1 Year",450
"Male","50–54 Years","Epsom","North Island general electorates","Less than 1 Year",282
"Female","50–54 Years","Epsom","North Island general electorates","Less than 1 Year",273
"Male","55–59 Years","Epsom","North Island general electorates","Less than 1 Year",210
"Female","55–59 Years","Epsom","North Island general electorates","Less than 1 Year",177
"Male","60–64 Years","Epsom","North Island general electorates","Less than 1 Year",120
"Female","60–64 Years","Epsom","North Island general electorates","Less than 1 Year",144
"Male","65–69 Years","Epsom","North Island general electorates","Less than 1 Year",99
"Female","65–69 Years","Epsom","North Island general electorates","Less than 1 Year",87
"Male","70–74 Years","Epsom","North Island general electorates","Less than 1 Year",60
"Female","70–74 Years","Epsom","North Island general electorates","Less than 1 Year",66
"Male","75–79 Years","Epsom","North Island general electorates","Less than 1 Year",36
"Female","75–79 Years","Epsom","North Island general electorates","Less than 1 Year",54
"Male","80–84 Years","Epsom","North Island general electorates","Less than 1 Year",30
"Female","80–84 Years","Epsom","North Island general electorates","Less than 1 Year",60
"Male","85 Years And Over","Epsom","North Island general electorates","Less than 1 Year",48
"Female","85 Years And Over","Epsom","North Island general electorates","Less than 1 Year",96
"Male","0–4 Years","Hamilton East","North Island general electorates","Less than 1 Year",1095
"Female","0–4 Years","Hamilton East","North Island general electorates","Less than 1 Year",1053
"Male","5–9 Years","Hamilton East","North Island general electorates","Less than 1 Year",564
"Female","5–9 Years","Hamilton East","North Island general electorates","Less than 1 Year",516
"Male","10–14 Years","Hamilton East","North Island general electorates","Less than 1 Year",522
"Female","10–14 Years","Hamilton East","North Island general electorates","Less than 1 Year",531
"Male","15–19 Years","Hamilton East","North Island general electorates","Less than 1 Year",1242
"Female","15–19 Years","Hamilton East","North Island general electorates","Less than 1 Year",1515
"Male","20–24 Years","Hamilton East","North Island general electorates","Less than 1 Year",1860
"Female","20–24 Years","Hamilton East","North Island general electorates","Less than 1 Year",1986
"Male","25–29 Years","Hamilton East","North Island general electorates","Less than 1 Year",1044
"Female","25–29 Years","Hamilton East","North Island general electorates","Less than 1 Year",1014
"Male","30–34 Years","Hamilton East","North Island general electorates","Less than 1 Year",720
"Female","30–34 Years","Hamilton East","North Island general electorates","Less than 1 Year",756
"Male","35–39 Years","Hamilton East","North Island general electorates","Less than 1 Year",591
"Female","35–39 Years","Hamilton East","North Island general electorates","Less than 1 Year",585
"Male","40–44 Years","Hamilton East","North Island general electorates","Less than 1 Year",468
"Female","40–44 Years","Hamilton East","North Island general electorates","Less than 1 Year",528
"Male","45–49 Years","Hamilton East","North Island general electorates","Less than 1 Year",342
"Female","45–49 Years","Hamilton East","North Island general electorates","Less than 1 Year",372
"Male","50–54 Years","Hamilton East","North Island general electorates","Less than 1 Year",267
"Female","50–54 Years","Hamilton East","North Island general electorates","Less than 1 Year",324
"Male","55–59 Years","Hamilton East","North Island general electorates","Less than 1 Year",195
"Female","55–59 Years","Hamilton East","North Island general electorates","Less than 1 Year",243
"Male","60–64 Years","Hamilton East","North Island general electorates","Less than 1 Year",135
"Female","60–64 Years","Hamilton East","North Island general electorates","Less than 1 Year",165
"Male","65–69 Years","Hamilton East","North Island general electorates","Less than 1 Year",99
"Female","65–69 Years","Hamilton East","North Island general electorates","Less than 1 Year",111
"Male","70–74 Years","Hamilton East","North Island general electorates","Less than 1 Year",84
"Female","70–74 Years","Hamilton East","North Island general electorates","Less than 1 Year",84
"Male","75–79 Years","Hamilton East","North Island general electorates","Less than 1 Year",60
"Female","75–79 Years","Hamilton East","North Island general electorates","Less than 1 Year",57
"Male","80–84 Years","Hamilton East","North Island general electorates","Less than 1 Year",45
"Female","80–84 Years","Hamilton East","North Island general electorates","Less than 1 Year",54
"Male","85 Years And Over","Hamilton East","North Island general electorates","Less than 1 Year",48
"Female","85 Years And Over","Hamilton East","North Island general electorates","Less than 1 Year",72
"Male","0–4 Years","Hamilton West","North Island general electorates","Less than 1 Year",1284
"Female","0–4 Years","Hamilton West","North Island general electorates","Less than 1 Year",1236
"Male","5–9 Years","Hamilton West","North Island general electorates","Less than 1 Year",540
"Female","5–9 Years","Hamilton West","North Island general electorates","Less than 1 Year",552
"Male","10–14 Years","Hamilton West","North Island general electorates","Less than 1 Year",435
"Female","10–14 Years","Hamilton West","North Island general electorates","Less than 1 Year",447
"Male","15–19 Years","Hamilton West","North Island general electorates","Less than 1 Year",621
