"level0","level1","Access to telecommunication systems(1) ","count"
"West Coast-Tasman","South Island general electorates","Access to a Cellphone/Mobile Phone",46137
"Wigram","South Island general electorates","Access to a Cellphone/Mobile Phone",47370
"Area Outside General Electorate","South Island general electorates","Access to a Cellphone/Mobile Phone",NA
"Auckland Central","North Island general electorates","Access to a Telephone",34107
"Bay of Plenty","North Island general electorates","Access to a Telephone",53817
"Botany","North Island general electorates","Access to a Telephone",56874
"Coromandel","North Island general electorates","Access to a Telephone",51105
"East Coast","North Island general electorates","Access to a Telephone",67779
"East Coast Bays","North Island general electorates","Access to a Telephone",53205
"Epsom","North Island general electorates","Access to a Telephone",50622
"Hamilton East","North Island general electorates","Access to a Telephone",54795
"Hamilton West","North Island general electorates","Access to a Telephone",55092
"Helensville","North Island general electorates","Access to a Telephone",51546
"Hunua","North Island general electorates","Access to a Telephone",54660
"Hutt South","North Island general electorates","Access to a Telephone",58005
"Kelston","North Island general electorates","Access to a Telephone",50676
"Mana","North Island general electorates","Access to a Telephone",56592
"Mangere","North Island general electorates","Access to a Telephone",48216
"Manukau East","North Island general electorates","Access to a Telephone",46947
"Manurewa","North Island general electorates","Access to a Telephone",52206
"Maungakiekie","North Island general electorates","Access to a Telephone",52044
"Mt Albert","North Island general electorates","Access to a Telephone",49998
"Mt Roskill","North Island general electorates","Access to a Telephone",52149
"Napier","North Island general electorates","Access to a Telephone",55992
"New Lynn","North Island general electorates","Access to a Telephone",52542
"New Plymouth","North Island general electorates","Access to a Telephone",56241
"North Shore","North Island general electorates","Access to a Telephone",56673
"Northcote","North Island general electorates","Access to a Telephone",54759
"Northland","North Island general electorates","Access to a Telephone",60009
"Ohariu","North Island general electorates","Access to a Telephone",53364
"Otaki","North Island general electorates","Access to a Telephone",51267
"Pakuranga","North Island general electorates","Access to a Telephone",55611
"Palmerston North","North Island general electorates","Access to a Telephone",51879
"Papakura","North Island general electorates","Access to a Telephone",57090
"Rangitikei","North Island general electorates","Access to a Telephone",54630
"Rimutaka","North Island general electorates","Access to a Telephone",55518
"Rodney","North Island general electorates","Access to a Telephone",52989
"Rongotai","North Island general electorates","Access to a Telephone",50154
"Rotorua","North Island general electorates","Access to a Telephone",56178
"Tamaki","North Island general electorates","Access to a Telephone",50118
"Taranaki-King Country","North Island general electorates","Access to a Telephone",54144
"Taupo","North Island general electorates","Access to a Telephone",56997
"Tauranga","North Island general electorates","Access to a Telephone",51831
"Te Atatu","North Island general electorates","Access to a Telephone",55920
"Tukituki","North Island general electorates","Access to a Telephone",56895
"Upper Harbour","North Island general electorates","Access to a Telephone",56082
"Waikato","North Island general electorates","Access to a Telephone",56454
"Wairarapa","North Island general electorates","Access to a Telephone",54102
"Wellington Central","North Island general electorates","Access to a Telephone",41505
"Whanganui","North Island general electorates","Access to a Telephone",55488
"Whangarei","North Island general electorates","Access to a Telephone",55809
"Christchurch Central","South Island general electorates","Access to a Telephone",49338
"Christchurch East","South Island general electorates","Access to a Telephone",52542
"Clutha-Southland","South Island general electorates","Access to a Telephone",51915
"Dunedin North","South Island general electorates","Access to a Telephone",41622
"Dunedin South","South Island general electorates","Access to a Telephone",51969
"Ilam","South Island general electorates","Access to a Telephone",52293
"Invercargill","South Island general electorates","Access to a Telephone",51111
"Kaikoura","South Island general electorates","Access to a Telephone",52890
"Nelson","South Island general electorates","Access to a Telephone",53442
"Port Hills","South Island general electorates","Access to a Telephone",55788
"Rangitata","South Island general electorates","Access to a Telephone",53805
"Selwyn","South Island general electorates","Access to a Telephone",51705
"Waimakariri","South Island general electorates","Access to a Telephone",52551
"Waitaki","South Island general electorates","Access to a Telephone",53982
"West Coast-Tasman","South Island general electorates","Access to a Telephone",50079
"Wigram","South Island general electorates","Access to a Telephone",47559
"Area Outside General Electorate","South Island general electorates","Access to a Telephone",NA
"Auckland Central","North Island general electorates","Access to a Fax Machine",4797
"Bay of Plenty","North Island general electorates","Access to a Fax Machine",11010
"Botany","North Island general electorates","Access to a Fax Machine",13041
"Coromandel","North Island general electorates","Access to a Fax Machine",12180
"East Coast","North Island general electorates","Access to a Fax Machine",11268
"East Coast Bays","North Island general electorates","Access to a Fax Machine",12390
"Epsom","North Island general electorates","Access to a Fax Machine",13542
"Hamilton East","North Island general electorates","Access to a Fax Machine",7791
"Hamilton West","North Island general electorates","Access to a Fax Machine",7194
"Helensville","North Island general electorates","Access to a Fax Machine",13380
"Hunua","North Island general electorates","Access to a Fax Machine",12981
"Hutt South","North Island general electorates","Access to a Fax Machine",8214
"Kelston","North Island general electorates","Access to a Fax Machine",6240
"Mana","North Island general electorates","Access to a Fax Machine",7869
"Mangere","North Island general electorates","Access to a Fax Machine",4200
"Manukau East","North Island general electorates","Access to a Fax Machine",4299
