"level0","level1","level2","Ethnic group (grouped total responses)(1)","count"
"Female","18 Years And Over","Te Tai Tokerau","European",17622
"Male","0–4 Years","Te Tai Tonga","European",5745
"Female","0–4 Years","Te Tai Tonga","European",5361
"Male","5–9 Years","Te Tai Tonga","European",5160
"Female","5–9 Years","Te Tai Tonga","European",4860
"Male","10–14 Years","Te Tai Tonga","European",4569
"Female","10–14 Years","Te Tai Tonga","European",4506
"Male","15–19 Years","Te Tai Tonga","European",4317
"Female","15–19 Years","Te Tai Tonga","European",4548
"Male","20–24 Years","Te Tai Tonga","European",3894
"Female","20–24 Years","Te Tai Tonga","European",4386
"Male","25–29 Years","Te Tai Tonga","European",2598
"Female","25–29 Years","Te Tai Tonga","European",3144
"Male","30–34 Years","Te Tai Tonga","European",2376
"Female","30–34 Years","Te Tai Tonga","European",2919
"Male","35–39 Years","Te Tai Tonga","European",2355
"Female","35–39 Years","Te Tai Tonga","European",2925
"Male","40–44 Years","Te Tai Tonga","European",2340
"Female","40–44 Years","Te Tai Tonga","European",2964
"Male","45–49 Years","Te Tai Tonga","European",1977
"Female","45–49 Years","Te Tai Tonga","European",2505
"Male","50–54 Years","Te Tai Tonga","European",1662
"Female","50–54 Years","Te Tai Tonga","European",2130
"Male","55–59 Years","Te Tai Tonga","European",1221
"Female","55–59 Years","Te Tai Tonga","European",1551
"Male","60–64 Years","Te Tai Tonga","European",966
"Female","60–64 Years","Te Tai Tonga","European",1113
"Male","65–69 Years","Te Tai Tonga","European",630
"Female","65–69 Years","Te Tai Tonga","European",750
"Male","70–74 Years","Te Tai Tonga","European",456
"Female","70–74 Years","Te Tai Tonga","European",510
"Male","75–79 Years","Te Tai Tonga","European",216
"Female","75–79 Years","Te Tai Tonga","European",294
"Male","80–84 Years","Te Tai Tonga","European",144
"Female","80–84 Years","Te Tai Tonga","European",204
"Male","85 Years And Over","Te Tai Tonga","European",84
"Female","85 Years And Over","Te Tai Tonga","European",144
"Male","18 Years And Over","Te Tai Tonga","European",22686
"Female","18 Years And Over","Te Tai Tonga","European",27525
"Male","0–4 Years","Waiariki","European",2625
"Female","0–4 Years","Waiariki","European",2397
"Male","5–9 Years","Waiariki","European",2469
"Female","5–9 Years","Waiariki","European",2352
"Male","10–14 Years","Waiariki","European",2322
"Female","10–14 Years","Waiariki","European",2301
"Male","15–19 Years","Waiariki","European",1785
"Female","15–19 Years","Waiariki","European",1917
"Male","20–24 Years","Waiariki","European",1179
"Female","20–24 Years","Waiariki","European",1512
"Male","25–29 Years","Waiariki","European",906
"Female","25–29 Years","Waiariki","European",1269
"Male","30–34 Years","Waiariki","European",879
"Female","30–34 Years","Waiariki","European",1275
"Male","35–39 Years","Waiariki","European",954
"Female","35–39 Years","Waiariki","European",1296
"Male","40–44 Years","Waiariki","European",906
"Female","40–44 Years","Waiariki","European",1275
"Male","45–49 Years","Waiariki","European",813
"Female","45–49 Years","Waiariki","European",1125
"Male","50–54 Years","Waiariki","European",771
"Female","50–54 Years","Waiariki","European",1041
"Male","55–59 Years","Waiariki","European",627
"Female","55–59 Years","Waiariki","European",891
"Male","60–64 Years","Waiariki","European",498
"Female","60–64 Years","Waiariki","European",621
"Male","65–69 Years","Waiariki","European",315
"Female","65–69 Years","Waiariki","European",438
"Male","70–74 Years","Waiariki","European",264
"Female","70–74 Years","Waiariki","European",303
"Male","75–79 Years","Waiariki","European",165
"Female","75–79 Years","Waiariki","European",210
"Male","80–84 Years","Waiariki","European",84
"Female","80–84 Years","Waiariki","European",141
"Male","85 Years And Over","Waiariki","European",45
"Female","85 Years And Over","Waiariki","European",84
"Male","18 Years And Over","Waiariki","European",8979
"Female","18 Years And Over","Waiariki","European",12096
"Male","0–4 Years","Area Outside Māori Electorate","European",NA
"Female","0–4 Years","Area Outside Māori Electorate","European",NA
"Male","5–9 Years","Area Outside Māori Electorate","European",NA
"Female","5–9 Years","Area Outside Māori Electorate","European",NA
"Male","10–14 Years","Area Outside Māori Electorate","European",NA
"Female","10–14 Years","Area Outside Māori Electorate","European",NA
"Male","15–19 Years","Area Outside Māori Electorate","European",NA
"Female","15–19 Years","Area Outside Māori Electorate","European",NA
"Male","20–24 Years","Area Outside Māori Electorate","European",NA
"Female","20–24 Years","Area Outside Māori Electorate","European",NA
"Male","25–29 Years","Area Outside Māori Electorate","European",NA
"Female","25–29 Years","Area Outside Māori Electorate","European",NA
"Male","30–34 Years","Area Outside Māori Electorate","European",NA
"Female","30–34 Years","Area Outside Māori Electorate","European",NA
"Male","35–39 Years","Area Outside Māori Electorate","European",NA
"Female","35–39 Years","Area Outside Māori Electorate","European",NA
"Male","40–44 Years","Area Outside Māori Electorate","European",NA
"Female","40–44 Years","Area Outside Māori Electorate","European",NA
"Male","45–49 Years","Area Outside Māori Electorate","European",NA
"Female","45–49 Years","Area Outside Māori Electorate","European",NA
"Male","50–54 Years","Area Outside Māori Electorate","European",NA
"Female","50–54 Years","Area Outside Māori Electorate","European",NA
"Male","55–59 Years","Area Outside Māori Electorate","European",NA
"Female","55–59 Years","Area Outside Māori Electorate","European",NA
"Male","60–64 Years","Area Outside Māori Electorate","European",NA
"Female","60–64 Years","Area Outside Māori Electorate","European",NA
"Male","65–69 Years","Area Outside Māori Electorate","European",NA
"Female","65–69 Years","Area Outside Māori Electorate","European",NA
"Male","70–74 Years","Area Outside Māori Electorate","European",NA
"Female","70–74 Years","Area Outside Māori Electorate","European",NA
"Male","75–79 Years","Area Outside Māori Electorate","European",NA
"Female","75–79 Years","Area Outside Māori Electorate","European",NA
"Male","80–84 Years","Area Outside Māori Electorate","European",NA
"Female","80–84 Years","Area Outside Māori Electorate","European",NA
"Male","85 Years And Over","Area Outside Māori Electorate","European",NA
"Female","85 Years And Over","Area Outside Māori Electorate","European",NA
"Male","18 Years And Over","Area Outside Māori Electorate","European",NA
"Female","18 Years And Over","Area Outside Māori Electorate","European",NA
"Male","0–4 Years","Hauraki-Waikato","Māori",5082
"Female","0–4 Years","Hauraki-Waikato","Māori",4770
"Male","5–9 Years","Hauraki-Waikato","Māori",4719
"Female","5–9 Years","Hauraki-Waikato","Māori",4518
"Male","10–14 Years","Hauraki-Waikato","Māori",4458
"Female","10–14 Years","Hauraki-Waikato","Māori",4248
"Male","15–19 Years","Hauraki-Waikato","Māori",3891
"Female","15–19 Years","Hauraki-Waikato","Māori",3966
"Male","20–24 Years","Hauraki-Waikato","Māori",3084
"Female","20–24 Years","Hauraki-Waikato","Māori",3639
"Male","25–29 Years","Hauraki-Waikato","Māori",2262
"Female","25–29 Years","Hauraki-Waikato","Māori",2877
"Male","30–34 Years","Hauraki-Waikato","Māori",2001
"Female","30–34 Years","Hauraki-Waikato","Māori",2625
"Male","35–39 Years","Hauraki-Waikato","Māori",2151
"Female","35–39 Years","Hauraki-Waikato","Māori",2673
"Male","40–44 Years","Hauraki-Waikato","Māori",2169
"Female","40–44 Years","Hauraki-Waikato","Māori",2760
"Male","45–49 Years","Hauraki-Waikato","Māori",1959
"Female","45–49 Years","Hauraki-Waikato","Māori",2421
"Male","50–54 Years","Hauraki-Waikato","Māori",1875
"Female","50–54 Years","Hauraki-Waikato","Māori",2268
"Male","55–59 Years","Hauraki-Waikato","Māori",1437
"Female","55–59 Years","Hauraki-Waikato","Māori",1740
"Male","60–64 Years","Hauraki-Waikato","Māori",1098
"Female","60–64 Years","Hauraki-Waikato","Māori",1239
"Male","65–69 Years","Hauraki-Waikato","Māori",771
"Female","65–69 Years","Hauraki-Waikato","Māori",813
"Male","70–74 Years","Hauraki-Waikato","Māori",486
"Female","70–74 Years","Hauraki-Waikato","Māori",558
"Male","75–79 Years","Hauraki-Waikato","Māori",243
"Female","75–79 Years","Hauraki-Waikato","Māori",303
"Male","80–84 Years","Hauraki-Waikato","Māori",132
"Female","80–84 Years","Hauraki-Waikato","Māori",219
"Male","85 Years And Over","Hauraki-Waikato","Māori",45
"Female","85 Years And Over","Hauraki-Waikato","Māori",102
"Male","18 Years And Over","Hauraki-Waikato","Māori",21174
"Female","18 Years And Over","Hauraki-Waikato","Māori",25806
"Male","0–4 Years","Ikaroa-Rāwhiti","Māori",4404
"Female","0–4 Years","Ikaroa-Rāwhiti","Māori",4359
"Male","5–9 Years","Ikaroa-Rāwhiti","Māori",4311
