"level0","level1","level2","Languages spoken(1) (total responses)(2)","count"
"Female","75–79 Years","Te Tai Tokerau","English",606
"Male","80–84 Years","Te Tai Tokerau","English",237
"Female","80–84 Years","Te Tai Tokerau","English",369
"Male","85 Years And Over","Te Tai Tokerau","English",114
"Female","85 Years And Over","Te Tai Tokerau","English",216
"Male","0–4 Years","Te Tai Tonga","English",5508
"Female","0–4 Years","Te Tai Tonga","English",5286
"Male","5–9 Years","Te Tai Tonga","English",6636
"Female","5–9 Years","Te Tai Tonga","English",6174
"Male","10–14 Years","Te Tai Tonga","English",6159
"Female","10–14 Years","Te Tai Tonga","English",6003
"Male","15–19 Years","Te Tai Tonga","English",6165
"Female","15–19 Years","Te Tai Tonga","English",6000
"Male","20–24 Years","Te Tai Tonga","English",5496
"Female","20–24 Years","Te Tai Tonga","English",5715
"Male","25–29 Years","Te Tai Tonga","English",3801
"Female","25–29 Years","Te Tai Tonga","English",4173
"Male","30–34 Years","Te Tai Tonga","English",3522
"Female","30–34 Years","Te Tai Tonga","English",3924
"Male","35–39 Years","Te Tai Tonga","English",3582
"Female","35–39 Years","Te Tai Tonga","English",4014
"Male","40–44 Years","Te Tai Tonga","English",3765
"Female","40–44 Years","Te Tai Tonga","English",4293
"Male","45–49 Years","Te Tai Tonga","English",3420
"Female","45–49 Years","Te Tai Tonga","English",3756
"Male","50–54 Years","Te Tai Tonga","English",2985
"Female","50–54 Years","Te Tai Tonga","English",3423
"Male","55–59 Years","Te Tai Tonga","English",2310
"Female","55–59 Years","Te Tai Tonga","English",2439
"Male","60–64 Years","Te Tai Tonga","English",1875
"Female","60–64 Years","Te Tai Tonga","English",1803
"Male","65–69 Years","Te Tai Tonga","English",1194
"Female","65–69 Years","Te Tai Tonga","English",1209
"Male","70–74 Years","Te Tai Tonga","English",909
"Female","70–74 Years","Te Tai Tonga","English",831
"Male","75–79 Years","Te Tai Tonga","English",432
"Female","75–79 Years","Te Tai Tonga","English",483
"Male","80–84 Years","Te Tai Tonga","English",228
"Female","80–84 Years","Te Tai Tonga","English",315
"Male","85 Years And Over","Te Tai Tonga","English",114
"Female","85 Years And Over","Te Tai Tonga","English",204
"Male","0–4 Years","Waiariki","English",3681
"Female","0–4 Years","Waiariki","English",3522
"Male","5–9 Years","Waiariki","English",4665
"Female","5–9 Years","Waiariki","English",4431
"Male","10–14 Years","Waiariki","English",4560
"Female","10–14 Years","Waiariki","English",4344
"Male","15–19 Years","Waiariki","English",3801
"Female","15–19 Years","Waiariki","English",3783
"Male","20–24 Years","Waiariki","English",2562
"Female","20–24 Years","Waiariki","English",3006
"Male","25–29 Years","Waiariki","English",2049
"Female","25–29 Years","Waiariki","English",2676
"Male","30–34 Years","Waiariki","English",1986
"Female","30–34 Years","Waiariki","English",2622
"Male","35–39 Years","Waiariki","English",2169
"Female","35–39 Years","Waiariki","English",2757
"Male","40–44 Years","Waiariki","English",2262
"Female","40–44 Years","Waiariki","English",2811
"Male","45–49 Years","Waiariki","English",2160
"Female","45–49 Years","Waiariki","English",2700
"Male","50–54 Years","Waiariki","English",2226
"Female","50–54 Years","Waiariki","English",2646
"Male","55–59 Years","Waiariki","English",1737
"Female","55–59 Years","Waiariki","English",2196
"Male","60–64 Years","Waiariki","English",1446
"Female","60–64 Years","Waiariki","English",1608
"Male","65–69 Years","Waiariki","English",969
"Female","65–69 Years","Waiariki","English",1095
"Male","70–74 Years","Waiariki","English",741
"Female","70–74 Years","Waiariki","English",858
"Male","75–79 Years","Waiariki","English",453
"Female","75–79 Years","Waiariki","English",531
"Male","80–84 Years","Waiariki","English",198
"Female","80–84 Years","Waiariki","English",342
"Male","85 Years And Over","Waiariki","English",96
"Female","85 Years And Over","Waiariki","English",180
"Male","0–4 Years","Area Outside Māori Electorate","English",NA
"Female","0–4 Years","Area Outside Māori Electorate","English",NA
"Male","5–9 Years","Area Outside Māori Electorate","English",NA
"Female","5–9 Years","Area Outside Māori Electorate","English",NA
"Male","10–14 Years","Area Outside Māori Electorate","English",NA
"Female","10–14 Years","Area Outside Māori Electorate","English",NA
"Male","15–19 Years","Area Outside Māori Electorate","English",NA
"Female","15–19 Years","Area Outside Māori Electorate","English",NA
"Male","20–24 Years","Area Outside Māori Electorate","English",NA
"Female","20–24 Years","Area Outside Māori Electorate","English",NA
"Male","25–29 Years","Area Outside Māori Electorate","English",NA
"Female","25–29 Years","Area Outside Māori Electorate","English",NA
"Male","30–34 Years","Area Outside Māori Electorate","English",NA
"Female","30–34 Years","Area Outside Māori Electorate","English",NA
"Male","35–39 Years","Area Outside Māori Electorate","English",NA
"Female","35–39 Years","Area Outside Māori Electorate","English",NA
"Male","40–44 Years","Area Outside Māori Electorate","English",NA
"Female","40–44 Years","Area Outside Māori Electorate","English",NA
"Male","45–49 Years","Area Outside Māori Electorate","English",NA
"Female","45–49 Years","Area Outside Māori Electorate","English",NA
"Male","50–54 Years","Area Outside Māori Electorate","English",NA
"Female","50–54 Years","Area Outside Māori Electorate","English",NA
"Male","55–59 Years","Area Outside Māori Electorate","English",NA
"Female","55–59 Years","Area Outside Māori Electorate","English",NA
"Male","60–64 Years","Area Outside Māori Electorate","English",NA
"Female","60–64 Years","Area Outside Māori Electorate","English",NA
"Male","65–69 Years","Area Outside Māori Electorate","English",NA
"Female","65–69 Years","Area Outside Māori Electorate","English",NA
"Male","70–74 Years","Area Outside Māori Electorate","English",NA
"Female","70–74 Years","Area Outside Māori Electorate","English",NA
"Male","75–79 Years","Area Outside Māori Electorate","English",NA
"Female","75–79 Years","Area Outside Māori Electorate","English",NA
"Male","80–84 Years","Area Outside Māori Electorate","English",NA
"Female","80–84 Years","Area Outside Māori Electorate","English",NA
"Male","85 Years And Over","Area Outside Māori Electorate","English",NA
"Female","85 Years And Over","Area Outside Māori Electorate","English",NA
"Male","0–4 Years","Hauraki-Waikato","Māori",666
"Female","0–4 Years","Hauraki-Waikato","Māori",651
"Male","5–9 Years","Hauraki-Waikato","Māori",858
"Female","5–9 Years","Hauraki-Waikato","Māori",861
"Male","10–14 Years","Hauraki-Waikato","Māori",849
"Female","10–14 Years","Hauraki-Waikato","Māori",933
"Male","15–19 Years","Hauraki-Waikato","Māori",771
"Female","15–19 Years","Hauraki-Waikato","Māori",897
"Male","20–24 Years","Hauraki-Waikato","Māori",642
"Female","20–24 Years","Hauraki-Waikato","Māori",864
"Male","25–29 Years","Hauraki-Waikato","Māori",489
"Female","25–29 Years","Hauraki-Waikato","Māori",756
"Male","30–34 Years","Hauraki-Waikato","Māori",462
"Female","30–34 Years","Hauraki-Waikato","Māori",681
"Male","35–39 Years","Hauraki-Waikato","Māori",501
"Female","35–39 Years","Hauraki-Waikato","Māori",678
"Male","40–44 Years","Hauraki-Waikato","Māori",498
"Female","40–44 Years","Hauraki-Waikato","Māori",600
"Male","45–49 Years","Hauraki-Waikato","Māori",480
"Female","45–49 Years","Hauraki-Waikato","Māori",567
"Male","50–54 Years","Hauraki-Waikato","Māori",483
"Female","50–54 Years","Hauraki-Waikato","Māori",585
"Male","55–59 Years","Hauraki-Waikato","Māori",429
"Female","55–59 Years","Hauraki-Waikato","Māori",453
"Male","60–64 Years","Hauraki-Waikato","Māori",339
"Female","60–64 Years","Hauraki-Waikato","Māori",351
"Male","65–69 Years","Hauraki-Waikato","Māori",267
"Female","65–69 Years","Hauraki-Waikato","Māori",282
"Male","70–74 Years","Hauraki-Waikato","Māori",189
"Female","70–74 Years","Hauraki-Waikato","Māori",225
"Male","75–79 Years","Hauraki-Waikato","Māori",114
"Female","75–79 Years","Hauraki-Waikato","Māori",141
"Male","80–84 Years","Hauraki-Waikato","Māori",54
"Female","80–84 Years","Hauraki-Waikato","Māori",120
"Male","85 Years And Over","Hauraki-Waikato","Māori",21
"Female","85 Years And Over","Hauraki-Waikato","Māori",51
"Male","0–4 Years","Ikaroa-Rāwhiti","Māori",780
"Female","0–4 Years","Ikaroa-Rāwhiti","Māori",801
"Male","5–9 Years","Ikaroa-Rāwhiti","Māori",879
"Female","5–9 Years","Ikaroa-Rāwhiti","Māori",921
"Male","10–14 Years","Ikaroa-Rāwhiti","Māori",864
