"level0","level1","Occupied dwelling type","count"
"Botany","North Island general electorates","Other occupied private dwellings(2)",96
"Coromandel","North Island general electorates","Other occupied private dwellings(2)",756
"East Coast","North Island general electorates","Other occupied private dwellings(2)",615
"East Coast Bays","North Island general electorates","Other occupied private dwellings(2)",63
"Epsom","North Island general electorates","Other occupied private dwellings(2)",54
"Hamilton East","North Island general electorates","Other occupied private dwellings(2)",90
"Hamilton West","North Island general electorates","Other occupied private dwellings(2)",84
"Helensville","North Island general electorates","Other occupied private dwellings(2)",459
"Hunua","North Island general electorates","Other occupied private dwellings(2)",369
"Hutt South","North Island general electorates","Other occupied private dwellings(2)",168
"Kelston","North Island general electorates","Other occupied private dwellings(2)",171
"Mana","North Island general electorates","Other occupied private dwellings(2)",132
"Mangere","North Island general electorates","Other occupied private dwellings(2)",318
"Manukau East","North Island general electorates","Other occupied private dwellings(2)",174
"Manurewa","North Island general electorates","Other occupied private dwellings(2)",225
"Maungakiekie","North Island general electorates","Other occupied private dwellings(2)",96
"Mt Albert","North Island general electorates","Other occupied private dwellings(2)",102
"Mt Roskill","North Island general electorates","Other occupied private dwellings(2)",66
"Napier","North Island general electorates","Other occupied private dwellings(2)",300
"New Lynn","North Island general electorates","Other occupied private dwellings(2)",108
"New Plymouth","North Island general electorates","Other occupied private dwellings(2)",231
"North Shore","North Island general electorates","Other occupied private dwellings(2)",129
"Northcote","North Island general electorates","Other occupied private dwellings(2)",69
"Northland","North Island general electorates","Other occupied private dwellings(2)",1089
"Ohariu","North Island general electorates","Other occupied private dwellings(2)",45
"Otaki","North Island general electorates","Other occupied private dwellings(2)",264
"Pakuranga","North Island general electorates","Other occupied private dwellings(2)",84
"Palmerston North","North Island general electorates","Other occupied private dwellings(2)",114
"Papakura","North Island general electorates","Other occupied private dwellings(2)",216
"Rangitikei","North Island general electorates","Other occupied private dwellings(2)",216
"Rimutaka","North Island general electorates","Other occupied private dwellings(2)",105
"Rodney","North Island general electorates","Other occupied private dwellings(2)",273
"Rongotai","North Island general electorates","Other occupied private dwellings(2)",111
"Rotorua","North Island general electorates","Other occupied private dwellings(2)",342
"Tamaki","North Island general electorates","Other occupied private dwellings(2)",54
"Taranaki-King Country","North Island general electorates","Other occupied private dwellings(2)",378
"Taupo","North Island general electorates","Other occupied private dwellings(2)",255
"Tauranga","North Island general electorates","Other occupied private dwellings(2)",393
"Te Atatu","North Island general electorates","Other occupied private dwellings(2)",228
"Tukituki","North Island general electorates","Other occupied private dwellings(2)",321
"Upper Harbour","North Island general electorates","Other occupied private dwellings(2)",195
"Waikato","North Island general electorates","Other occupied private dwellings(2)",378
"Wairarapa","North Island general electorates","Other occupied private dwellings(2)",252
"Wellington Central","North Island general electorates","Other occupied private dwellings(2)",96
"Whanganui","North Island general electorates","Other occupied private dwellings(2)",192
"Whangarei","North Island general electorates","Other occupied private dwellings(2)",591
"Christchurch Central","South Island general electorates","Other occupied private dwellings(2)",150
"Christchurch East","South Island general electorates","Other occupied private dwellings(2)",312
"Clutha-Southland","South Island general electorates","Other occupied private dwellings(2)",321
"Dunedin North","South Island general electorates","Other occupied private dwellings(2)",105
"Dunedin South","South Island general electorates","Other occupied private dwellings(2)",102
"Ilam","South Island general electorates","Other occupied private dwellings(2)",69
"Invercargill","South Island general electorates","Other occupied private dwellings(2)",177
"Kaikoura","South Island general electorates","Other occupied private dwellings(2)",597
"Nelson","South Island general electorates","Other occupied private dwellings(2)",549
"Port Hills","South Island general electorates","Other occupied private dwellings(2)",135
"Rangitata","South Island general electorates","Other occupied private dwellings(2)",231
"Selwyn","South Island general electorates","Other occupied private dwellings(2)",504
"Waimakariri","South Island general electorates","Other occupied private dwellings(2)",756
"Waitaki","South Island general electorates","Other occupied private dwellings(2)",405
"West Coast-Tasman","South Island general electorates","Other occupied private dwellings(2)",912
"Wigram","South Island general electorates","Other occupied private dwellings(2)",174
"Area Outside General Electorate","South Island general electorates","Other occupied private dwellings(2)",NA
"Auckland Central","North Island general electorates","Occupied private dwelling not further defined(3)",4698
"Bay of Plenty","North Island general electorates","Occupied private dwelling not further defined(3)",2796
"Botany","North Island general electorates","Occupied private dwelling not further defined(3)",2673
"Coromandel","North Island general electorates","Occupied private dwelling not further defined(3)",2814
"East Coast","North Island general electorates","Occupied private dwelling not further defined(3)",7905
"East Coast Bays","North Island general electorates","Occupied private dwelling not further defined(3)",2499
"Epsom","North Island general electorates","Occupied private dwelling not further defined(3)",2790
"Hamilton East","North Island general electorates","Occupied private dwelling not further defined(3)",3612
"Hamilton West","North Island general electorates","Occupied private dwelling not further defined(3)",3600
"Helensville","North Island general electorates","Occupied private dwelling not further defined(3)",3606
"Hunua","North Island general electorates","Occupied private dwelling not further defined(3)",3234
"Hutt South","North Island general electorates","Occupied private dwelling not further defined(3)",2946
"Kelston","North Island general electorates","Occupied private dwelling not further defined(3)",4614
"Mana","North Island general electorates","Occupied private dwelling not further defined(3)",3441
"Mangere","North Island general electorates","Occupied private dwelling not further defined(3)",6723
"Manukau East","North Island general electorates","Occupied private dwelling not further defined(3)",6060
"Manurewa","North Island general electorates","Occupied private dwelling not further defined(3)",7041
"Maungakiekie","North Island general electorates","Occupied private dwelling not further defined(3)",5193
"Mt Albert","North Island general electorates","Occupied private dwelling not further defined(3)",3216
"Mt Roskill","North Island general electorates","Occupied private dwelling not further defined(3)",3294
"Napier","North Island general electorates","Occupied private dwelling not further defined(3)",3492
"New Lynn","North Island general electorates","Occupied private dwelling not further defined(3)",3576
"New Plymouth","North Island general electorates","Occupied private dwelling not further defined(3)",2700
"North Shore","North Island general electorates","Occupied private dwelling not further defined(3)",2136
"Northcote","North Island general electorates","Occupied private dwelling not further defined(3)",3099
"Northland","North Island general electorates","Occupied private dwelling not further defined(3)",8079
"Ohariu","North Island general electorates","Occupied private dwelling not further defined(3)",1845
"Otaki","North Island general electorates","Occupied private dwelling not further defined(3)",2811
"Pakuranga","North Island general electorates","Occupied private dwelling not further defined(3)",2100
"Palmerston North","North Island general electorates","Occupied private dwelling not further defined(3)",3222
"Papakura","North Island general electorates","Occupied private dwelling not further defined(3)",4914
"Rangitikei","North Island general electorates","Occupied private dwelling not further defined(3)",2400
"Rimutaka","North Island general electorates","Occupied private dwelling not further defined(3)",3627
"Rodney","North Island general electorates","Occupied private dwelling not further defined(3)",2682
"Rongotai","North Island general electorates","Occupied private dwelling not further defined(3)",3147
"Rotorua","North Island general electorates","Occupied private dwelling not further defined(3)",5964
"Tamaki","North Island general electorates","Occupied private dwelling not further defined(3)",3510
"Taranaki-King Country","North Island general electorates","Occupied private dwelling not further defined(3)",3369
"Taupo","North Island general electorates","Occupied private dwelling not further defined(3)",3723
"Tauranga","North Island general electorates","Occupied private dwelling not further defined(3)",2820
"Te Atatu","North Island general electorates","Occupied private dwelling not further defined(3)",4392
"Tukituki","North Island general electorates","Occupied private dwelling not further defined(3)",4080
"Upper Harbour","North Island general electorates","Occupied private dwelling not further defined(3)",3438
"Waikato","North Island general electorates","Occupied private dwelling not further defined(3)",3963
"Wairarapa","North Island general electorates","Occupied private dwelling not further defined(3)",2778
"Wellington Central","North Island general electorates","Occupied private dwelling not further defined(3)",2772
"Whanganui","North Island general electorates","Occupied private dwelling not further defined(3)",3627
"Whangarei","North Island general electorates","Occupied private dwelling not further defined(3)",4941
"Christchurch Central","South Island general electorates","Occupied private dwelling not further defined(3)",3249
"Christchurch East","South Island general electorates","Occupied private dwelling not further defined(3)",3477
"Clutha-Southland","South Island general electorates","Occupied private dwelling not further defined(3)",3045
"Dunedin North","South Island general electorates","Occupied private dwelling not further defined(3)",2997
"Dunedin South","South Island general electorates","Occupied private dwelling not further defined(3)",2097
"Ilam","South Island general electorates","Occupied private dwelling not further defined(3)",1596
"Invercargill","South Island general electorates","Occupied private dwelling not further defined(3)",2418
"Kaikoura","South Island general electorates","Occupied private dwelling not further defined(3)",2619
"Nelson","South Island general electorates","Occupied private dwelling not further defined(3)",2097
"Port Hills","South Island general electorates","Occupied private dwelling not further defined(3)",2226
"Rangitata","South Island general electorates","Occupied private dwelling not further defined(3)",2124
"Selwyn","South Island general electorates","Occupied private dwelling not further defined(3)",1980
"Waimakariri","South Island general electorates","Occupied private dwelling not further defined(3)",1824
